"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
143,1859,4133,6673,9601,13020,15281,19157,14829,12844,8246,13007,18113,12543,9788,10034,3639,5282,14003,4738,4694,8698,23879,10321,5052,623,2400,4236,1745,914
144,1338,1304,862,508,549,400,322,214,531,412,982,1109,851,964,819,895,841,648,403,649,548,935,732,567,265,173,314,230,228
145,1510,10437,25423,14807,17961,14202,19468,17406,14741,8547,57740,8481,3935,4958,4296,2229,3393,4231,3362,7544,9440,15106,15089,15344,3053,7447,5801,3200,2535
146,2998,2188,2216,2698,2955,2431,2682,1744,1535,1131,1251,1321,654,656,553,370,396,636,399,624,589,720,729,600,114,132,685,124,136
147,740,706,672,455,463,364,373,167,222,145,168,134,94,113,100,73,93,122,152,265,284,540,321,378,81,137,353,223,249
148,11631,21276,25030,36525,36504,22045,32817,29494,22238,13849,8926,25061,14911,14579,11961,6261,9048,11238,8747,18612,25632,28672,29326,28769,5936,6095,12010,8133,5909
149,493,436,323,194,200,184,148,104,111,109,106,75,60,62,74,70,63,75,56,72,48,96,70,68,12,25,66,32,40
150,2866,2815,2026,1251,1058,936,1392,600,853,1195,1621,908,858,493,702,835,796,1961,1199,1892,3564,3426,2102,5108,885,4209,3885,1717,3162
151,NA,NA,66,62,143,124,119,73,89,71,76,49,45,37,55,40,46,63,37,75,56,119,421,1568,433,668,1539,2685,2725
152,14728,13150,14031,15867,23901,9764,5179,3848,5542,3955,9240,4899,5739,5351,8380,5474,3204,8134,2920,6294,3181,4996,3839,5613,922,1083,2942,3138,1685
153,1048,635,467,212,360,578,321,127,142,88,122,65,58,69,82,47,47,63,36,62,27,73,56,57,15,42,103,63,86
154,3992,34159,27334,21691,30127,20090,19300,15766,22548,12567,20715,16326,22957,11461,9974,18742,7746,50824,9431,43918,41482,52593,19928,24022,7912,15849,34437,17205,24541
155,12172,20649,9880,7377,9995,8532,6835,4877,6781,3804,7803,4166,5153,2907,3205,4768,3829,11076,4548,9882,8053,42093,16339,8719,1585,1912,2394,720,1231
156,16073,16623,19873,14173,18747,13740,11474,7900,10983,5745,12452,5774,8197,4536,4279,6007,5352,18159,21499,41153,18804,22429,7751,3977,953,1125,2842,1418,3965
157,9481,30018,26397,11639,12737,13097,13147,7282,7141,5529,6408,2161,3074,3788,3130,3044,2159,5165,3568,5729,12532,21234,16045,16785,5182,4511,7958,4649,3454
158,7272,5246,4392,2582,2100,1444,1030,381,471,326,319,236,152,159,180,103,82,144,99,141,56,212,110,111,18,43,99,26,29
159,NA,22,75,68,100,80,67,49,65,46,47,39,43,33,60,38,30,60,36,69,27,78,45,52,22,26,52,15,18
160,1566,2075,12241,14057,19669,9787,10235,4187,9011,6124,8519,21773,7917,4193,22988,5207,30449,16009,10608,43428,32707,43537,21379,20401,3310,16997,33362,26262,26293
161,3896,2081,3161,1727,2669,2493,2192,1265,1638,1367,2373,2810,2284,8119,4887,2184,2033,5111,4084,8256,16508,27943,30242,38128,9710,9369,9342,6754,6174
162,7562,13754,6179,7241,15092,5123,4279,1088,3522,4662,1389,803,1987,720,1244,1309,1081,2711,3262,10125,4719,8093,7380,7181,376,700,3256,3590,1273
163,12487,9115,9298,11386,22454,12537,9934,2939,6941,3549,10322,27122,4538,11096,19008,8354,6782,5733,2653,1513,1868,4166,1984,2179,445,1073,1587,1189,3271
164,46705,22996,46766,33221,22663,20723,16516,7812,8447,2729,5938,4714,2395,2708,2729,1761,4112,3823,1547,2833,1122,2763,2253,1954,228,430,1858,1641,1189
165,7888,19317,9335,8473,13375,7315,9931,4096,7963,4901,7174,10749,5960,4187,70579,61845,37394,29230,20224,15040,5849,7662,3554,2483,576,927,2378,1360,1380
166,15532,8899,16738,12755,8983,10732,8860,5175,5280,3711,3575,2057,1542,1666,1022,654,1701,1697,1577,5381,11120,21346,7339,9793,1429,1847,5729,2596,14416
167,17203,14443,11768,7016,3407,4578,4238,2815,3925,4271,11068,5557,7978,4081,5045,2626,6022,5585,8172,9126,7318,15883,21918,16312,12363,7155,9493,12486,14548
168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,124,234,185,218,54,127,251,122,143
169,13461,31019,33159,19665,60260,22596,29464,25536,25118,12339,8369,5860,4247,3918,2985,2258,1570,3140,1717,3283,5942,16341,10417,16588,3811,1311,11781,3302,7844
170,989,388,213,95,69,58,44,22,32,23,18,5,14,10,11,14,7,14,9,21,10,23,22,14,3,3,13,2,1
171,9965,18290,62010,46836,28250,21684,15048,6464,8169,3966,3109,1077,1362,1952,7405,8172,4372,3087,751,4309,1705,2900,1509,842,168,268,1161,426,1438
172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662,7788,19170,17398,4871
173,4158,3273,2506,5626,7358,59480,16916,3168,2061,922,772,459,294,301,331,223,182,287,170,224,94,256,160,146,39,60,142,75,57
174,13453,26058,45041,17141,21997,42949,28126,41369,19487,44963,352068,23965,29094,22309,35551,5207,17288,23413,14054,17720,28055,91614,63982,83201,13024,22217,114043,33346,13542
175,9656,18857,46065,11694,16461,23912,16854,23097,27643,26923,18612,234932,73543,37328,22648,10711,9524,8352,4663,5442,2397,10434,6303,9840,12106,9050,9451,6244,6135
176,29019,386966,64830,16244,18830,34465,23316,23129,30239,24930,22723,11100,17697,18944,48065,29503,39219,26314,14895,20409,22576,70493,19508,22802,3471,6609,25751,27643,7548
177,18599,22871,28320,33283,36716,30554,103084,167709,122713,10337,10862,71232,45407,34588,25979,12749,18535,16662,7939,9108,2789,8786,4727,3759,819,1308,2292,780,1545
178,5648,12062,13645,22420,36899,23227,20063,8818,9039,5173,3684,3021,2481,2186,2087,1259,1184,1502,1064,1569,786,1389,1422,1740,260,397,785,308,322
179,9094,8943,3112,904,1310,1194,987,503,1147,610,572,506,397,363,298,231,244,349,448,509,158,203,134,147,38,48,123,61,67
180,6188,16767,22248,19924,20272,105951,49986,21445,67566,12485,153125,161141,86069,85104,44008,12156,5067,14290,11819,34021,42638,38063,36050,45155,15233,47100,246011,166072,101123
181,82681,82744,31579,11162,10240,7184,5258,1748,2544,2075,1624,965,817,1532,2031,2136,6288,6692,2472,5685,2666,4408,8356,5407,835,948,1459,592,1189
182,511,318,175,82,88,93,53,50,50,47,171,544,1314,896,879,1665,1920,750,727,1412,1140,1661,2624,1662,225,227,1983,1025,590
183,878,533,381,173,209,311,333,206,263,177,221,188,133,140,227,203,294,1368,1040,1216,2043,6073,5217,21332,4313,1249,11985,9242,7198
184,13177,16859,7984,3447,3675,2850,2489,1748,5483,2255,3736,5148,8536,17262,13307,5172,5305,10618,59593,59648,29791,11932,4915,7080,1269,2208,24850,5994,14222
185,8462,12468,11153,8249,11139,10226,6651,4083,4205,3299,3805,2839,1895,1986,2263,1966,2244,2852,1664,2785,2331,5104,2711,4923,1253,1387,2083,994,907
186,19688,39577,25464,30074,19189,53969,37253,10830,48251,23290,18792,29376,19160,38592,21847,12604,10439,164440,133637,119753,47134,72867,12520,13110,3135,4575,45726,12662,26157
187,2183,3333,10751,13437,17968,16899,13892,9873,21802,14621,11234,5785,5558,2899,3909,3355,6409,6428,3524,4746,3960,8053,9384,7670,1850,5273,12072,3768,4601
