"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27"
28,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
29,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
30,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
31,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
32,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
33,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
34,NA,NA,NA,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
35,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
36,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
37,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
38,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
39,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
40,"GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK","GLK"
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLK"
