"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
6.665,4.13152219514663,4.42841664203301,7.07165699539788,4.2184702064217,7.96993272544111,6.35084704436001,3.55289320356903,3.08938006417251,4.99021863988468,3.03369444388589,4.96553302182755,3.36408072792555,4.75386692546669,4.73377057831621,2.39796976411974,2.51084813780088,4.82528173842695,5.42240707716806,3.348768412215,2.61246290711345,3.52446462915244,1.9318225853967,3.26996461224198,2.0904481078014,2.69557669787502,1.34783631851192,2.37653169072995,1.45996547464254,2.54823993065981,0,4.02124740406358,3.56606140225206,2.31529221334389,3.59263055246722
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.24,0.1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084090946575022,0.137201018096088,0.084090946575022,0.137201018096088,0,0.137201018096088,0.981316345132661,0.589542013795763,0.810634653055757
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,2.73438595370475,5.11578279651048,3.19867091550215,5.25225408318432,3.18215642008111,5.57420049923224,5.56553901807033,3.01681558107898,2.91867390527526,4.16112199441828,5.70162230299263,3.53250588111163,3.49386506640983,6.15260865145843,3.17840562598019,5.28817399295791,3.32182043597817,5.37411530101427,2.38484307402115,4.23677985901938,4.14533288874702,2.39290742997886,0,4.34215388111928,4.09728497089272,8.60408433075881,0
0.19,0.772465172548077,1.07494546373332,0.889800845161075,1.97408566046027,1.39596513600189,2.41768637498092,2.01748584540522,2.21937049422501,3.47596701682428,2.27644763633239,4.62826942958362,3.26107639784936,5.99684555130997,5.75679693729582,3.16149431812831,3.72033860961931,6.05123347515385,3.45035835738959,4.2005938085654,3.18699021381782,1.65474935729923,2.84638521014982,1.76385135808197,1.30721831476936,3.05686139058509,1.9311201393248,3.11926721451991,1.89016068794077,3.30239079659198,3.14469193807791,2.00597826615538,3.10813065526697,4.32214419639703,0
2.375,3.3759,3.038,1.4744,1.488,0.27075,0.2945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.66,3.77357318597013,1.8386431978935,3.22529446361799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.185610942379587,0.995846151836044,1.14184353247315,3.37023641494915,2.40444524206653,4.46226498871501,3.62015811762211,7.23889436555627,8.23581811615334,4.68503580423861,4.35214068653629,5.95769393799658,6.32090786855137,4.62478464782539,7.09658328478139,3.67024227615003,3.01071614112438,5.52984512529635,3.3799647209961,5.50219852384106,3.02428303048958,4.94870736671162,3.08454336299652,5.04206009670823,5.32754024603913,3.02868203404013,0,3.43441091388686,3.27542745428577,8.51287163634191,2.65157305409561
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.03,1.881,3.038,1.843,2.8272,1.53425,1.61975,0.5415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.919044447996481,0.55213114234474,0.891746098055991,0.540976977852927,0.53539989560702,0.864447748115502,0,0.864447748115502,0.321543443128316,0.636656017394065,0
4.34,2.33739155736748,4.51638639318943,3.33481972918764,5.45786452991272,3.25809537436449,5.24816406952082,2.86532046344144,4.62129954435358,2.91678002699464,4.67551078960442,3.0358414186466,3.39212600592216,4.93351505995685,4.9546469725224,2.88499247847275,2.88796594632469,4.69123087857814,2.91087013533997,4.52952843304301,4.562250641995,3.04527387137239,4.10072679943669,2.92219112189127,4.41483101849127,2.60956320894554,3.55653621317962,2.25697012901068,1.94587984280098,2.70657541248472,0,1.97212401681755,1.95220357220323,4.26835791196179,0
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.875,2.3554207316815,4.3876637597285,2.63747096862869,3.88903962784559,2.58708346449218,2.48543048703892,3.28441156040975,1.90033535412613,2.80165007016805,0.775695153671077,1.11599461061471,0.814530702923493,0.425173066067692,1.18752314353243,1.71572076984688,1.69839025702015,1.03032693998951,1.01970501277312,1.64639871853994,1.64639871853994,1.68612347607534,1.62743823648654,1.79033314289363,1.98145854550989,3.54477577056282,2.66165329051358,4.41274646406814,5.00066205173644,2.47815821174207,2.60863053864638,3.91538927450143,2.38688844132691,3.89722987776811,1.9066696908877
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.344709193551449,0.880079312043144,0.630686509821628,1.41256420053669,1.73951883068874,1.05549513565339,1.04483356862659,3.50143950012544,3.22107394770486,1.97504519506771,2.51910058099234,4.00003560675369,4.19323608614133,2.5443474445264,4.1093713644185,1.46606674739821,1.26459726699202,1.73872177219262,0,0,0,0,0,0,0,0,0
4.34,2.94515480293854,3.03539258139974,5.13167946526314,3.15772431610069,4.80484117196146,3.89657376846063,1.99981458614861,3.39543060905968,1.84563235683943,2.48259114431839,1.39671292328267,1.40286316944671,2.10135777179905,3.7068301499326,2.90692140401722,2.88611965205405,5.74574203414998,5.82770320317514,4.48348890185919,5.26263722782007,8.71497924963839,4.3365123668662,6.1488863490682,6.250449422511,3.12108130715063,4.74928849639276,2.26015118465038,1.6344270554706,2.83146681803059,2.19379319643222,3.64279876049366,3.34293546819855,2.98704229483993,5.42853577601295
2.17,1.22265,1.1172,1.35315,0.8208,1.32525,1.32525,0.27075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.705,1.03455,1.0241,1.65385,0.3648,0.44175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
