"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35"
"1.003718561","0.968985456","1.079835487","0.951491993","1.117925762","0.96167288","0.930017083","0.95781336","0.996951044","0.953454104","1.134452567","1.120517784","0.98048851","0.887866791","1.106226893","0.975453885","0.949558345","0.932461874","1.091035845","0.955064339","0.941121794","1.113209192","0.955673038","0.966102187","0.94518837","0.983558938","1.114822668","1.146673606","0.944230825","0.955993052","0.945179584","0.940581101","0.949976787","0.96597337","0.957298677"
"1","1","1","1","1","1","1","1","1","0.953454104","1.134452567","1.120517784","0.98048851","0.887866791","1.106226893","0.975453885","0.949558345","0.932461874","1.091035845","0.955064339","0.941121794","1.113209192","0.955673038","0.966102187","0.94518837","0.983558938","1.114822668","1.146673606","0.944230825","0.955993052","0.945179584","0.940581101","0.949976787","0.96597337","0.957298677"
"1.003718561","0.968985456","1.079835487","0.951491993","1.117925762","0.96167288","0.930017083","0.95781336","0.996951044","0.953454104","1.134452567","1.120517784","0.98048851","0.887866791","1.106226893","0.975453885","0.949558345","0.932461874","1.091035845","0.955064339","0.941121794","1.113209192","0.955673038","0.966102187","0.94518837","0.983558938","1.114822668","1.146673606","0.944230825","0.955993052","0.945179584","0.940581101","0.949976787","0.96597337","0.957298677"
"1.003718561","0.968985456","1.079835487","0.951491993","1.117925762","0.96167288","0.930017083","0.95781336","0.996951044","0.953454104","1.134452567","1.120517784","0.98048851","0.887866791","1.106226893","0.975453885","0.949558345","0.932461874","1.091035845","0.955064339","0.941121794","1.113209192","0.955673038","0.966102187","0.94518837","0.983558938","1.114822668","1.146673606","0.944230825","0.955993052","0.945179584","0.940581101","0.949976787","0.96597337","0.957298677"
"1","1","1","0.969576758","0.948754469","0.958178006","1.077105713","1.000665952","0.965886211","0.977145994","0.951830555","0.969689965","1.100158983","0.935607825","1.086431254","0.883660131","1.108205486","0.986492375","0.948120607","1.109594214","0.936474279","0.955175319","0.939987219","1.109013274","0.964359369","0.967873119","0.943445551","0.961054732","1.051779467","0.974522293","1.00450778","1.00456621","0.897748375","0.957851072","0.9932699"
"1.091558575","1.001693826","0.949158475","0.969576758","0.948754469","0.958178006","1.077105713","1.000665952","0.965886211","0.977145994","0.951830555","0.969689965","1.100158983","0.935607825","1.086431254","0.883660131","1.108205486","0.986492375","0.948120607","1.109594214","0.936474279","0.955175319","0.939987219","1.109013274","0.964359369","0.967873119","0.943445551","0.961054732","1.051779467","0.974522293","1.00450778","1.00456621","0.897748375","0.957851072","0.9932699"
"1.091558575","1.001693826","0.949158475","0.969576758","0.948754469","0.958178006","1.077105713","1.000665952","0.965886211","0.977145994","0.951830555","0.969689965","1.100158983","0.935607825","1.086431254","0.883660131","1.108205486","0.986492375","0.948120607","1.109594214","0.936474279","0.955175319","0.939987219","1.109013274","0.964359369","0.967873119","0.943445551","0.961054732","1.051779467","0.974522293","1.00450778","1.00456621","0.897748375","0.957851072","0.9932699"
"0.961555354","0.939781555","1.090919698","1.068751276","0.928988751","1.010601118","0.991979616","1.108955613","0.968187309","1.110051718","0.956453897","0.893409229","0.941754589","0.978108989","0.97522634","0.937690632","1.109367736","1.086419753","1.150874339","0.9544834","0.992244459","0.936002092","1.068959507","0.970168763","1.112498911","0.946958694","0.889418189","0.948911441","0.998583365","1.113491604","0.922495274","0.951051392","0.95636026","1.122617701","0.948015781"
"0.961555354","0.939781555","1.090919698","1.068751276","0.928988751","1.010601118","0.991979616","1.108955613","0.968187309","1.110051718","0.956453897","0.893409229","0.941754589","0.978108989","0.97522634","0.937690632","1.109367736","1.086419753","1.150874339","0.9544834","0.992244459","0.936002092","1.068959507","0.970168763","1.112498911","0.946958694","0.889418189","0.948911441","0.998583365","1.113491604","0.922495274","0.951051392","0.95636026","1.122617701","0.948015781"
"0.961555354","0.939781555","1.090919698","1.068751276","0.928988751","1.010601118","0.991979616","1.108955613","0.968187309","1.110051718","0.956453897","0.893409229","0.941754589","0.978108989","0.97522634","0.937690632","1.109367736","1.086419753","1.150874339","0.9544834","0.992244459","0.936002092","1.068959507","0.970168763","1.112498911","0.946958694","0.889418189","0.948911441","0.998583365","1.113491604","0.922495274","0.951051392","0.95636026","1.122617701","0.948015781"
