"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
9.92,5.1056355122346,4.95746662725281,4.6186511926366,2.29747233027472,5.41605236070578,6.60333220315833,4.48086383336753,4.09676974998265,5.54512764551848,2.14895032275139,2.69811056059367,2.15935205556372,4.71294033424273,5.7856505177194,3.29681731100889,3.28608235200765,4.6533059637868,4.64596999037476,2.50476914291405,2.45978163770881,3.74372011540189,1.84863837064943,2.15955801821552,1.27276986494588,2.05418083979308,1.42144929990225,2.84610561014998,1.62111817229705,2.44013665858445,0,5.08858172747145,4.01438857869956,2.61665875717945,4.00781151872979
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134545514520035,0.219521628953742,0.134545514520035,0.219521628953742,0,0,1.3367199993246,0.803056633257606,1.29701544488921
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,3.13220232706046,3.02689268828994,5.48219608328282,2.91069832900071,5.83621485147924,3.70214880689839,5.28740388747276,2.99188522355152,4.94437504350472,5.65822434065304,3.08666530687902,2.48097504027079,4.12912266150812,6.21543921192304,3.41290540041729,3.7064077846291,7.14252484897486,4.43847272420608,4.55526629532545,2.25470204197448,3.60688044345056,1.61370618519211,3.91239533290262,4.13328570675581,2.84807237885599,0,5.33927385739343,3.58330998967802,7.71523057212475,0
0.152,0.987944276076923,1.47191274197332,1.42368135225772,2.91053705673644,2.08154421760302,2.89023336665332,2.47033588431068,2.27931143850229,3.39095444625933,2.31091206818987,5.80486245630684,3.77733981402325,7.12550588520634,6.59517671167698,3.86195180405237,3.71595630700911,4.72672628651951,2.15597845800264,3.23555493564109,2.95453404702151,0.994037469533872,1.53403743425313,1.10777723776803,1.56735478759139,4.35551178923879,2.6199492694254,3.75072417268584,2.08805010856362,3.49314807154664,1.75607698985825,1.22755024069695,2.48903218025993,5.47017752034656,0
2.432,2.4552,0.72912,0.29488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
