"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
572,0,0,0,0,0,0,0,0,0,0,0,2,3,8,8,8,8,9,10,11,11,13,13,14,15,17,17,18,19,19,21,22,22,22,22
573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,4,4,4,4,4,4,6,6,6
574,2,2,2,2,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,8,8,8,8,8,8,8,8
575,2,2,2,2,2,5,5,5,6,6,7,7,7,8,8,8,9,10,10,12,13,13,13,13,15,15,15,15,15,16,16,16,17,19,19
576,4,4,5,7,8,11,11,12,13,13,15,17,18,19,19,21,22,24,26,28,29,29,29,29,31,32,37,38,39,40,40,40,42,44,44
577,2,2,2,5,6,7,7,7,11,11,12,12,12,12,13,14,14,14,17,17,18,19,22,23,23,25,25,26,26,28,28,29,29,29,31
578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
580,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
581,0,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,5,9,10,10,11,12,12,12,12,12,12,12,12,12
582,0,1,2,2,2,2,2,4,4,5,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10
583,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
584,0,0,0,2,2,2,2,2,4,4,5,6,6,8,9,11,11,12,14,16,16,16,16,16,18,18,19,20,22,23,23,23,25,26,26
585,0,0,0,2,2,2,2,2,2,2,3,4,4,6,6,8,8,9,10,12,12,12,12,12,12,12,12,12,13,14,14,14,14,14,14
586,2,3,3,3,3,3,3,4,4,4,5,9,12,12,15,18,19,19,21,21,21,21,22,23,23,24,24,24,26,26,26,26,26,27,27
587,0,0,0,0,1,2,3,4,4,5,5,9,12,14,14,17,17,18,20,21,21,21,21,23,24,24,24,24,24,24,24,24,25,25,25
588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,2,3,3,3,4,5,6,7,7,8,9,9,9,11,13,14,14,15,15,15,15,15,16,17,18,19,19,21,21,21,21,21,22,23,24
591,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
592,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,5,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,13,14,14,14
593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,4,5,5,8,8,8,8,8,8
594,0,2,2,4,4,4,5,7,7,8,8,8,8,8,8,9,10,11,11,12,12,13,13,14,14,14,14,14,14,14,14,17,17,17,17
595,0,0,0,0,0,1,3,5,5,5,6,9,9,10,10,10,10,10,10,15,15,17,19,19,20,20,20,20,20,21,21,21,23,26,26
596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
597,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,8,9,9,9,9,9,9,9,9,9,10,13,13,13,13
598,0,0,0,0,0,2,3,3,3,3,3,3,4,7,8,9,10,13,14,15,15,16,18,18,18,20,20,20,20,20,22,24,24,25,26
599,1,1,1,3,5,9,10,17,19,19,21,23,24,27,28,33,34,35,35,35,40,41,42,42,42,42,43,43,43,43,43,43,45,45,46
600,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
601,0,3,3,4,4,5,6,6,8,10,11,13,13,13,15,15,17,20,21,24,25,25,25,25,25,25,25,28,28,28,28,28,29,29,30
602,NA,NA,0,1,1,2,2,2,2,2,2,2,2,3,5,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
603,0,4,4,5,5,7,8,8,10,12,13,15,15,16,18,18,22,22,22,27,28,30,31,31,32,33,33,37,38,38,38,38,38,39,44
604,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5
605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606,0,2,3,3,3,5,5,5,6,6,6,8,9,11,12,13,13,17,17,19,19,20,20,21,21,23,23,23,23,24,24,24,25,29,29
607,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
