"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
8.06,1.85428878058651,1.37920353595368,2.93650406336317,2.84908777911669,10.0127668662231,10.1448382371705,4.26127794230539,2.34363226438613,1.10615932028665,1.03098549227723,2.41251240822808,4.02127495027666,8.67886011704655,6.58282411064348,2.24192719436613,1.04828549016386,4.528894857499,6.77775570394246,3.1760626088248,1.51093703091411,1.08421337441617,1.13019474462065,2.4301586533075,1.73473109098747,2.216365289918,1.04317245496952,3.76454366118442,1.9912737967446
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336363786300088,0.548804072384354,0
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,1.24443555811248,4.3233437262584,2.99479024941237,1.85063441399715,3.7085163368348,7.45958470448611,2.47143840915344,5.77403899369792,3.07058854361399,5.01491916057898,3.04876387560599,3.3714880710841,7.69693113500555,3.33393419221143,0.708743102630164,2.61245407000023,8.43064065660553,6.63935373415508,3.18220480652907,5.20919525149315,3.45295447945319,2.5372303951649,1.27407568302215,2.69188209182817,1.53167419646481,6.38944908980419,6.3178510765643
0.38,1.8988929905349,3.1110193577609,2.04438136189489,4.19488395322164,2.02913376800216,1.86877732067081,2.77341847858097,3.21796538906485,2.65851851939497,2.0689898383997,7.62168878084302,6.22070834296159,8.38586428660171,4.17057246726816,1.10172359034057,3.67370339957507,6.13194248633524,1.2630194651672,0.683818374113231,0.591430076729477,1.139077772362,2.43823607689699,1.55697092836673,1.95031316776389,6.85503626872836,3.79252236048598,1.21954776360482,0.358673008528297
0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14,2.05227135065305,1.64245258463783,3.39306099313987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.74881667722032,4.0846947029037,3.9046316587398,9.55592432920579,5.19245777667803,4.75085900077143,4.7676285039016,10.6619772394796,10.1744281260996,3.86923408009029,1.62225098689171,2.5559430836685,5.10916428562561,6.57324156831504,10.748557666991,3.13743180224028,1.30346258615483,4.29601790668338,3.04825448000284,2.6791190442985,1.6360778427531,8.05778011489201,6.37086224531225,5.41680655960797,3.62522318177791
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
