"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
212,2,6,1,1,1,0,2,-1,1,6,1,1,1,1,2,0,2,2,0,0,0,6,0,6,5,1,5,0,6
213,2,6,2,0,0,0,0,0,1,6,1,1,4,1,2,4,2,0,2,1,0,0,0,6,8,1,2,0,0
214,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,2,1
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,1,0,0,2,0,0,7,1,1,0,0,0,0,1,0,2,2,0,1,1,0,0,0,0,0,0
218,2,7,2,1,1,0,2,-1,1,8,1,8,1,1,2,0,6,0,2,1,0,2,1,6,6,1,2,2,7
219,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
220,9,0,6,2,8,1,2,7,-1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,11,2,10,6,0,2
221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,6,0,6,2,6,1,2,6,8,1,2,1,6,2,1,8,0,1,2,0,2,1,1,15,5,2,7,0,2
223,7,0,12,1,6,1,2,6,1,1,2,1,9,2,1,7,0,1,2,0,2,0,0,6,2,2,11,0,2
224,6,0,6,2,6,1,6,6,1,0,0,1,5,2,4,6,0,1,2,-1,2,0,2,6,2,2,0,0,2
225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0
