"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
22,"CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY","CRY"
23,"EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE"
24,"EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE"
25,"EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE","EVE"
26,"HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD"
27,NA,NA,NA,NA,NA,NA,"HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD"
28,"HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD","HUD"
29,"LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI"
30,"LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI"
31,"LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI","LEI"
32,"LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV"
33,"LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV"
34,NA,NA,NA,"LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV","LIV"
35,"MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI"
36,"MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI"
37,"MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN",NA
38,"MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN"
39,"MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN","MUN"
40,"NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW"
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW"
42,"NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW"
43,NA,NA,NA,"NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW","NEW"
