"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
10.23,5.62964439029325,3.15960176797684,2.99624119165452,2.12104167521495,6.50400050542679,7.44269980610991,5.25923279273033,4.15998411279403,3.82882925243173,1.69914540491949,1.77062320426029,2.53128514873833,5.5698113867196,6.63688649936378,3.70238925818315,2.48270300349449,4.13033632974906,4.26116172562863,2.9621769813923,2.77143285434317,3.08128516236854,1.32819688287301,1.76824941564159,1.43246291780406,2.31111117834622,1.3889517729785,3.00164823964171,1.51200726358222
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168181893150044,0.274402036192177,0.168181893150044
NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,2.1258979318337,3.04418368669947,3.36662724437064,4.66445619769616,3.07161838122761,6.65410977261445,2.77101347638372,5.39447907713845,3.05967620960999,4.16837728335343,6.36048653974551,2.68983307380074,2.68975468074826,4.05348806526471,4.79928734260146,4.13627944573245,4.14910579635787,7.96781138777948,3.31757964299113,3.82163663272019,2.36351508123767,2.62737053842161,1.40287493974348,4.55412500127532,4.40844922487187
0.19,1.25944649526745,1.86550967888045,1.60410950062749,3.65295165549127,2.03675756494853,3.01085621718012,2.41142179213158,2.1874572643067,3.56938361707138,2.64347761373227,5.15339624271597,4.16553898906464,8.07923879887922,7.01081613676853,3.04587309246801,3.14075013000708,3.96474575107703,2.43198813138524,3.34656100536088,1.30525771028334,0.783372808303305,1.52397890274204,1.34802435036436,1.72235796228586,4.71038023350003,2.87141776412493,3.96942036994156,2.03767246090228
1.9,0.9207,0.6076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.09,1.95613567532652,1.39122629231892,2.72266617189646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.37440833861016,2.04234735145185,2.33046825136616,6.86115646308378,4.52921485801219,7.05970613234934,5.00600542917321,7.75392671013324,9.05361265944318,5.13793088492359,3.83828074549553,4.43445197559212,3.89123157438068,4.08555912224616,7.9794467613145,4.79089314049026,3.81772518152246,4.73308763039809,2.18244167745335,3.46630106011132,2.34216616137797,5.38184517481674,4.0198308224602,6.69740333668122,6.90798645169081
