"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
9.92,5.1056355122346,4.95968141438147,4.62899295332362,2.31091334017196,5.43819955887934,6.64397191187025,4.529207265088,4.13870650401166,5.60171587271162,2.1862951851419,2.74129856337258,2.16132553182381,4.69179081006281,5.7642936452632,3.27953747091604,3.25791213306496,4.64606867796956,4.661409900417,2.52297335169676,2.48056788866233,3.79732562071786,1.85838548622629,2.18894210996923,1.28185287909136,2.06751358466121,1.42789007551094,2.85661424403783,1.62029767063155
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134545514520035,0.219521628953742,0.134545514520035
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,2.99277603593092,2.85257995641202,5.1864784199174,2.76348965076481,5.57391916561466,3.53343827947211,5.15959195738565,2.92414241829211,4.8441633656973,5.58783575740336,3.05693393325105,2.45709972493146,4.09327118641813,6.05921678653496,3.30902355658596,3.60278187813836,6.96250694306472,4.34349105920991,4.53404876560882,2.24945320137756,3.57979272730101,1.59767433600475,3.89532808519718,4.10872864799587
0.152,1.00755719621396,1.49240774310436,1.435287600502,2.92236132439302,2.09494110770286,2.88868701516559,2.45492937504541,2.25780289363586,3.35120737656875,2.27374532179488,5.67078280352922,3.68715233842429,6.97427103910338,6.45439813342507,3.76314516826662,3.63677734527689,4.61241924261803,2.0939207909082,3.14232001835125,2.88650196963061,0.96594200396185,1.49829266264801,1.07841948029149,1.52736653554681,4.2728087148225,2.5887443707964,3.71047626025238,2.07010608287204
2.432,2.4552,0.72912,0.29488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.976,3.30090854026122,1.26498103385513,2.67413293751716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.299526670888128,1.63387788116148,1.86437460109293,5.48892517046703,3.92289855729788,6.79294137664453,4.85775583025444,8.62007462160861,8.29268622493183,4.65038850398868,4.4187505048621,5.52915527471313,5.10232219428799,3.61575178758705,6.90184146672311,4.15092701985222,3.96691571891837,6.51503223745327,2.64854557517006,3.3479774332654,2.04800399137519,5.73670293622349,3.5736637820836,5.85723938677653,6.09482850971785
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.96,2.85912,4.13168,1.62184,1.42848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49435134752337,0.897756271060828,1.44996467383455,0.879619780736367,0.870551535574136
5.456,3.29035922391586,5.22566192091194,3.16718407858958,4.02383442786912,3.06568518428539,6.14739868474898,3.2332035998992,4.30504729549039,2.63003422679859,4.20408397905482,2.85032059121292,3.23528952673478,5.44877097624478,6.33281627355973,3.30552912892804,2.53756276054776,3.23767309583312,2.32839157093165,3.90968900572986,4.81556519198347,3.52011665200375,5.30829765882083,3.37233316329682,4.0817803727296,1.84932296593787,1.95077329251935,1.89925014228062,1.36702209973217
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
