"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
8.88666666666667,5.1324962601955,4.63788885604401,7.1555426605305,3.06596027522894,5.35657696725482,5.70052939248002,4.08787769505839,3.66586345141311,5.70281263037534,3.11387721499193,3.35804064330565,2.46223725033674,4.11460175472911,5.01992114361236,2.96899746457362,3.00576396705142,5.62417970906506,5.02121336313483,2.71447212147665,2.17853764240378,3.48858830999723,2.21507841771419,2.88302852473833,1.44870028172513,1.89472242357268,1.29582090970557,2.8023945159571,1.57515246253685,2.5974844143502,0,4.62175918107569,4.19765159336871,2.31795596658213,3.70720060155133
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112121262100029,0.182934690794785,0.112121262100029,0.182934690794785,0,0.182934690794785,1.1139333327705,0.669213861048005,1.08084620407434
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,2.82407753555382,4.79282163048457,3.20967832648191,5.30236727823471,3.21448570786181,6.35097607418255,2.93333731287151,4.78865938549751,6.02045051469942,2.83272649440231,2.83634897951272,3.86436249485699,5.90748539501651,3.99471566672954,3.08867315385758,6.34454334886163,3.99972830872939,6.18003453656464,2.65218520195993,3.4957812921873,2.10617218342577,3.89935663202668,3.65209833740324,2.67546318870661,0,4.87574084738485,4.61943310069166,7.27745757583021,0
0.253333333333333,0.82328689673077,1.22659395164443,1.18640112688143,2.63211421394703,1.73462018133585,3.0189818333079,2.30827331382212,2.33404393591579,3.52220248407589,2.17381561240826,5.05888527830616,3.95798305643921,6.43504311595033,5.91488789231527,3.66016968355601,4.2522197045064,5.48058714456668,2.53233875127309,2.90176437861599,2.86986114925965,1.82018990721452,1.75657866992863,1.0668774716256,1.30612898965949,3.83896365019239,2.44777353536586,3.5265896087134,2.01773821089414,3.535820938768,3.11660002310364,1.26816835173668,2.07419348354994,4.96270057563472,0
2.53333333333333,3.2736,2.02533333333333,0.3686,0.3968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
