"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
523,2,0,0,0,1,3,3,4,6,6,7,8,10,12,13,20,23,32,39,54,54,59,75,80,80,80,88,90,91,93,93,109,114,116,122
524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,2,2,2
525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,1,2,3,3,3,3,3,3,4,6,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,14,17,18
527,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,7,10,12,12,14,14,24,26,28,29
529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,0,0,1,4,7,15,17,19,20,22,24,26,34,36,37,37,37,37,38,40,40,44,49,51,53,55,58,62,63,65,65,71,73,74,76
531,0,0,1,1,1,1,2,4,6,8,14,16,23,23,25,32,34,49,49,51,51,57,71,74,74,74,74,75,77,78,78,78,78,79,83
532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,2,4,6,6,6,8,11,11,11,13,14,15,15,15,15,18,21,27,27,27,27,29,37,40,50,52,55,57,58,60,60,63,64,66,68
534,2,3,3,14,17,17,17,17,19,19,21,22,24,25,27,29,32,35,37,38,38,49,51,53,53,53,53,53,53,53,53,53,53,53,53
535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,8,8,17,26,26,39,45,50,54
538,6,8,9,15,17,30,32,34,40,42,46,51,53,58,64,66,67,69,74,82,84,86,88,96,98,98,99,99,99,99,99,104,105,113,126
539,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
