"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35"
411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,19
412,0,0,0,0,24,0,6,24,10,8,12,1,4,79,0,45,13,82,16,90,56,0,90,0,51,90,90,90,90,1,0,13,75,90,90
413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,22,68,8,33,12,90,83,90,90,90,86,90,90,0,90,87,0,84,66,7,90,90,90,86,0,0,0,90,90,90,0,90,90,63,0
415,12,45,90,0,90,60,90,90,0,29,77,83,90,90,90,90,90,90,90,90,33,90,70,85,90,73,90,0,0,84,0,63,90,90,70
416,0,0,0,0,0,0,0,17,12,0,0,0,0,0,0,0,32,0,0,0,9,19,0,0,0,0,0,8,0,0,0,0,0,1,25
417,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,90,90,0,64,18,86,90,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
419,14,15,16,0,90,90,90,0,0,0,28,20,10,0,0,0,0,0,0,0,0,0,10,18,7,0,0,0,0,20,0,0,0,90,0
420,0,5,0,71,13,28,13,90,90,90,90,7,0,36,23,81,19,90,14,0,0,90,0,1,20,0,0,0,0,0,0,14,90,116,0
421,2,0,14,6,29,0,24,27,90,25,12,0,0,87,75,75,70,85,75,45,90,86,79,79,62,64,65,26,90,1,0,75,84,107,0
422,10,15,75,18,2,0,18,64,45,20,28,76,70,64,66,90,65,11,70,0,25,77,79,90,90,13,90,63,0,0,0,0,0,122,0
423,75,74,66,18,76,61,76,0,45,0,0,82,61,0,0,8,90,90,82,90,90,90,82,71,27,70,24,0,23,88,0,90,0,90,0
424,90,90,90,90,90,90,90,90,90,90,90,90,90,53,90,90,90,90,90,90,90,90,90,90,90,90,76,90,90,90,0,90,90,108,0
425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,4,0,0,0,0,7,0,0,90,13,90,45,90,0,1,5,0,0
426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,90,90,90,90,0,0,0,0,0,0,0,69,90,90,73,0,0,0,90,90,90,90,90,90,62,25,65,90,90,0,0,90,90,136,0
428,0,0,61,15,24,82,90,0,90,90,90,90,90,72,90,90,81,88,88,90,90,90,0,0,90,90,90,80,90,90,0,74,81,90,0
429,0,0,0,0,90,90,90,90,90,90,77,90,90,90,90,90,7,90,90,90,90,0,0,90,90,0,90,90,66,90,0,90,90,74,0
430,0,0,0,0,0,0,0,0,0,0,0,24,0,26,0,0,16,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,90,90,90,31,90,90,90,81,90,90,81,0,0,0,0,26,90,53,90,19,90,63,90,63,63,33,6,26,90,12,0,23,26,0,0
432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,0,14,8,21,4,0,1,0,24,82,0,13,68,0,74,0,66,8,90,90,0,90,90,90,90,64,90,90,90,90,0,78,80,90,90
435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,90,75,81,68,68,67,16,90,55,14,90,90,0,79,28,90,0,90,0,0,90,1,0,90,0,25,1,12,17,0,0,11,9,0,0
437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,56,83,63,90,77,0,90,63,90,90
438,14,90,90,90,90,90,73,27,34,0,0,0,21,90,84,90,85,81,0,13,75,0,8,0,90,10,0,0,72,7,0,0,0,0,7
439,0,10,2,58,0,0,0,8,0,11,8,90,76,63,90,70,0,66,1,90,6,81,0,90,26,0,0,0,83,0,0,0,0,4,11
440,90,90,87,90,90,90,90,90,90,78,90,65,90,90,90,63,73,36,90,0,71,90,90,0,18,90,90,84,0,90,0,66,90,85,78
441,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,47,0,0,0,21,22,90,90,90,90,90,90,90,10,15,0,90,0,0,90,14,90,81,90,0,90,90,90,0,82,0,90,90,90,82
443,19,0,0,70,0,0,29,33,9,71,89,68,85,26,90,16,61,18,18,90,84,90,1,25,45,84,33,15,14,0,0,23,0,0,0
444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,90,79,90,90,90,72,60,23,90,90,90,90,90,0,84,2,90,0,71,0,0,20,62,10,90,0,10,0,0,0,0,0,0,32,0
446,0,0,0,0,0,0,0,0,0,6,0,0,90,63,0,90,0,71,18,90,90,74,90,64,90,5,90,0,0,90,0,90,90,177,0
447,0,64,63,0,90,90,85,90,90,0,0,0,12,90,16,0,90,73,90,62,8,0,27,79,0,90,56,90,90,45,0,90,0,0,0
448,90,90,90,90,90,90,90,66,68,90,90,90,0,90,90,90,45,90,0,90,90,90,90,90,45,90,79,74,90,0,0,0,90,180,0
449,90,90,90,90,84,90,66,56,21,18,90,90,0,90,45,73,28,90,90,62,5,11,0,0,0,2,0,90,90,90,0,66,0,2,0
450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,75,45,0,0,10,7,0
451,90,90,73,45,86,90,90,90,80,83,75,54,77,0,73,87,82,0,71,27,81,78,90,90,45,87,90,80,63,45,0,90,90,172,0
452,70,25,19,45,5,7,0,0,0,83,1,21,90,0,45,90,7,90,90,0,90,69,90,90,90,90,70,67,0,90,0,0,90,135,0
453,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,28,0,14,80,90,0,70,60,0,11,16,0,0,29,0,0,0,0
454,0,0,0,0,0,14,3,45,0,0,0,0,0,0,20,10,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,90,90,90,90,83,90,90,0,90,90,90,90,90,90,90,79,90,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,90,90,90
456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,70,78,90,90,90,90,90,90,90,90
457,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,18,90,90,90,90,90,90,90,90,90,90,90,90,73,69,90,6,0,90,90,9,90,60,90,90,82,61,83,63,90,7,0,0,0,0
459,90,90,90,90,90,90,90,90,90,90,90,90,90,84,69,90,90,61,66,75,90,0,90,90,90,0,45,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,0,0,0,0,0,0,0,0,0,0,3,21
462,0,70,61,74,61,60,0,45,79,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,28,0,26,62,11,0,0,0,0
463,90,24,90,90,90,90,86,90,0,87,90,72,90,90,90,74,83,90,78,64,0,56,90,90,90,90,90,90,90,90,75,90,90,90,90
464,0,19,21,0,28,90,0,37,0,77,68,90,66,0,20,0,90,90,11,58,90,0,29,1,0,0,0,0,0,2,71,79,68,61,0
465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
