"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29"
176,58244,9742,7859,25342,70159,34700,48497,40243,29966,15934,30868,53998,15451,21016,6908,6838,3936,30138,15719,25427,28614,14924,15713,8903,2902,6952,8440,5229,24523
177,22851,186671,130915,39007,43406,78374,6728,776,851,9892,49603,1875,229,167,151,125,70,63,57,61,32,90,50,47,14,31,2161,3345,1081
178,33333,40018,34647,6025,2396,6591,739,1983,645,475,1358,822,390,319,339,287,276,495,544,772,296,511,159,42,9,12,28,16,22
179,622,170,157,352,229,598,202,1757,436,256,400,210,136,90,156,142,113,260,62,46,28,122,91,76,18,25,60,34,35
180,52220,92640,123780,60104,98327,121281,45678,160318,52195,154470,113760,4179,2654,1554,7872,33336,108935,102407,91153,88669,77747,189137,55602,71931,12778,9037,6733,572,393
181,3858,549,498,395,426,1699,289,604,536,148,328,1894,6136,6726,6600,6914,1561,1113,6622,2745,4229,9700,891,324,72,55,433,3515,1498
182,57,37,27,16,25,22,19,41,24,34,1410,3911,971,1389,1953,847,113,908,1397,1790,387,4875,382,236,90,1299,201,21,9
183,117,105,157,105,331,368,183,108,172,99,178,102,81,80,539,436,3326,1050,934,5691,7880,37163,30830,7018,782,6227,2047,686,479
184,2369,553,536,410,484,4579,1620,15617,5008,5735,51232,74571,23612,10664,10879,26203,22236,22252,3660,562,115,9348,8418,15076,7439,29804,13386,34615,18779
185,2545,1029,11610,15409,11780,9204,8069,2778,7304,4293,2868,1860,1762,1863,2634,1348,1110,1982,1572,2304,2783,5716,3285,2983,28,78,218,85,86
186,28256,24376,34823,11212,95405,77452,34902,119842,35199,30134,71619,36127,24271,14311,45533,45409,53480,12229,1781,1482,951,2892,52071,31360,12505,36742,17618,23274,6260
187,2478,1326,52776,74349,25651,10938,9564,6372,1693,1342,901,2900,733,3167,1868,1382,302,570,738,3845,6470,27416,7730,26090,3450,1863,713,1468,1378
188,307,62,45,17,39,21,26,8,16,12,239,216,112,72,78,33,44,127,120,1240,2690,3413,1874,3532,520,662,8704,2418,5034
189,3188,1920,2494,71774,20529,34055,19379,6803,6320,3737,3544,1880,1171,1438,1899,975,378,195,121,182,188,2530,1892,2197,358,667,1942,804,1436
190,2862,2060,2671,1741,620,502,286,108,6746,9878,8785,6782,4568,4475,5895,3528,2895,3727,2617,4190,3395,7591,4822,6995,1005,1996,5734,2790,4295
191,2825,1714,558,73,79,92,34,38,36,25,32,16,15,20,15,11,7,17,13,23,13,26,15,9,2,5,19,10,9
192,2070,876,1356,64858,346408,112163,46539,45884,67412,49474,2532,938,255,198,1452,2058,1175,3513,1674,25623,8675,51855,13771,23916,15428,12780,56256,21858,36732
193,223,71,469,277,89,77,78,445,1125,956,522,576,144,89,153,80,39,95,39,12,4,25,18,14,3,18,1407,208,1087
194,2844,1674,2909,5703,1716,674,4293,4693,13780,11826,5126,7119,2202,1140,2482,1724,552,751,563,3546,513,3760,260,495,51,49,155,127,139
195,24433,109935,158625,48145,150252,129262,87590,38363,31261,17789,17545,12481,5814,13043,21060,7263,4339,39237,30864,50220,49199,61593,51781,39048,11276,16702,32014,16129,6932
196,129,101,410,331,1242,1032,1889,2301,11983,6480,2800,10619,1365,820,703,623,283,548,519,4851,2272,12630,2125,1966,257,348,4938,909,2910
197,124,98,133,57,127,117,92,57,74,119,90,65,56,53,61,53,39,45,47,55,49,123,103,194,22,58,134,82,71
198,87314,24116,52819,8330,9346,9851,4231,4737,7100,8372,2701,3570,6301,10595,8732,8821,4043,11133,218,165,124,4212,1323,4970,540,805,2608,2827,4007
199,41939,21733,50808,15707,18344,22688,14509,8541,11560,10313,3557,5262,1467,926,145,126,566,295,45,53,60,138,882,7325,370,373,1212,1858,2670
200,NA,197,715,278,1070,1320,176,72,54,286,48,79,75,206,177,98,33,538,274,160,1348,129,150,1325,52,132,311,326,1688
201,231,126,150,75,78,87,57,44,74,64,49,39,29,79,40,30,24,44,30,43,1805,213,89,98,4,1,111,74,52
202,132,323,106,348,98,107,93,25,15,10,14,12,18,44,249,82,31,240,36,68,58,491,90,307,57,23,61,29,30
203,4174,1374,4705,1752,273,485,267,201,152,117,84,123,36,83,58,315,47,571,81,138,2212,763,385,4996,1347,7800,9331,8361,3001
204,121,138,144,55,77,32,27,48,84,58,41,46,19,11,31,25,13,81,67,113,115,119,60,25,0,0,1,2,0
205,10617,27465,37103,6170,17329,20728,52706,35593,78796,22931,9958,7663,1600,5825,2797,5364,5236,32265,8983,5108,28904,21942,639,9262,504,410,614,25,29
206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,2492,14555,2392,1408,1795,2237,1967
207,1570,11110,2795,822,79,126,1283,3316,979,43,16,16,14,16,62,146,399,985,437,235,1422,866,1177,418,33,155,82,148,504
208,NA,NA,NA,NA,NA,NA,NA,415,328,467,447,332,175,210,236,209,140,258,1254,2158,3338,17104,7354,6708,453,510,1574,792,626
209,337,378,315,311,484,1306,533,323,814,185,98,42,84,344,349,133,35,58,57,90,69,111,106,100,23,104,185,327,318
210,38,327,323,237,228,29,18,64,23,22,95,50,20,71,19,9,7,6,18,8,13,19,192,118,16,37,43,42,142
211,34,4,6,2,2,4,0,1,4,2,3,2,1,1,2,1,1,2,2,0,2,5,3,0,1,2,2,1,0
212,406,1616,783,1793,555,1579,324,1763,285,1111,765,506,143,1100,183,360,616,84,10,17,20,90,109,4811,380,498,1044,306,756
213,1663,7107,1878,130,85,60,41,35,500,1347,1442,1129,695,3109,892,2361,2687,5020,1219,104,22,43,93,5297,1869,1693,1219,225,184
214,NA,NA,NA,NA,NA,3973,1638,804,695,298,323,254,129,169,172,102,112,208,175,216,176,362,281,174,4,7,21,9,7
215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,210,38,35,15,113,25
216,22,63,43,36,47,58,27,23,23,7,28,21,11,21,16,19,14,36,27,25,23,33,57,33,1,0,2,0,0
217,417,532,10420,10165,2592,288,2115,873,202,2563,1313,1869,344,518,169,270,217,1046,1127,1182,3742,3619,3620,1129,132,121,849,337,186
218,3145,19741,4606,6457,1624,3843,1096,2499,938,3771,2568,5417,1347,3955,1468,1117,230,116,921,531,2067,793,1609,2844,602,1134,701,882,1833
219,157,380,31,19,29,18,12,11,10,6,6,9,4,8,8,5,5,8,6,17,5,81,131,85,10,25,83,22,28
220,34371,12098,9680,2745,29919,14710,10280,38172,6456,6178,2028,3140,98,37,44,170,136,500,168,201,167,529,123,7873,3092,36837,49314,12942,3912
221,97,63,5,3,3,6,1,4,4,1,1,1,0,1,5,2,1,1,4,2,1,7,1,2,0,0,4,0,0
222,1421,1012,3647,929,4613,1124,749,1180,8003,15491,4536,1891,897,1392,2054,3715,1752,4839,2548,1941,700,2296,678,21092,13788,22356,44577,15937,18246
223,10167,5003,132768,28621,82223,14638,9111,21436,10427,11556,5523,5911,9275,19590,24398,31882,13091,30836,8170,9389,1295,224,3204,18983,7428,10724,83159,20489,19873
224,741,789,1999,410,1927,547,1624,4418,496,61,169,199,212,300,1344,706,371,1034,353,267,132,387,106,351,124,268,503,204,313
225,15642,12208,26499,9847,9186,11822,39722,17088,27402,5224,9101,10506,7108,7573,9583,3812,3370,5530,4552,6444,7156,6008,1934,9734,3499,2682,1288,613,874
226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2931,1894,514,1232,1548,332,329
227,NA,NA,NA,NA,NA,NA,NA,NA,NA,648,600,492,251,282,321,149,141,280,274,358,236,543,311,390,16,11,19,9,7
228,94,78,652,137,899,361,121,90,121,313,151,138,429,656,813,1271,265,222,96,127,48,228,334,3667,2397,1465,9762,909,28133
229,36471,29524,12567,10413,15848,11983,6646,18041,7807,8299,370,137,54,63,94,75,36,52,54,53,58,123,80,233,114,241,2086,146,41
230,NA,NA,14655,4383,3220,348,743,1477,2143,6289,5462,1627,740,977,1218,919,3059,2984,7088,5223,17031,5760,7576,600,28,192,847,3377,2597
231,177,125,5,2,9,2,6,3,9,2,6,5,0,0,1,5,2,1,3,1,2,3,0,1,0,0,2,3,0
232,134127,177483,61703,338738,137618,92205,236989,19115,29886,79543,35658,40674,12183,11491,23450,34182,7250,30969,61544,21738,67258,65533,43583,31433,12674,31846,287135,195625,85986
233,NA,NA,119,106,99,118,97,60,81,73,81,47,31,34,209,60,37,62,37,70,36,71,59,44,10,14,56,34,35
234,435,232,193,88,83,92,92,901,862,1360,3220,1121,511,855,774,594,465,1945,861,1234,3108,516,62,41,70,142,658,513,208
235,NA,731,1598,3133,4341,3075,1826,2920,2165,4858,5445,7480,2396,2198,194,53,58,1292,2812,1534,8514,2217,1444,564,372,647,5608,31733,10195
236,1291,35938,10306,28419,34331,23587,86876,110009,104472,99635,28877,26478,15564,8904,22676,8917,2277,13812,10904,3693,10044,20852,3982,3397,7446,9226,66800,23364,7660
237,8831,7746,3687,5115,16827,12867,6328,5429,10146,53450,59863,37345,5953,5575,10173,4919,3452,19294,18323,12893,116768,36166,15188,3936,2901,5015,51962,3121,26500
