"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","d_round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","d_round_34","round_35","round_36","round_37","d_round_37","round_38"
37,"H","A","H","A","H","A","H","A","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","A","H","","H","A","H","A","","H","A","A","H"
38,"H","A","H","A","H","A","H","A","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","A","H","","H","A","H","A","","H","A","A","H"
39,"H","A","H","A","H","A","H","A","A","H","A","H","H","A","A","H","H","A","A","H","H","A","","H","A","A","H","A","H","A","H","","H","A","H","A","","H","A","A","H"
40,"H","A","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","","H","A","H","","A","H","A","A","H"
41,"H","A","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","","H","A","H","","A","H","A","A","H"
42,"H","A","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","","H","A","H","","A","H","A","A","H"
43,"H","A","H","A","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","","H","A","H","A","H","A","A","H","","H","A","H","","A","H","A","A","H"
44,"H","H","A","H","A","H","A","H","H","A","H","A","H","A","A","H","H","A","H","A","A","H","","A","H","H","A","H","A","H","A","","A","A","H","A","","H","A","A","H"
45,"H","H","A","H","A","H","A","H","H","A","H","A","H","A","A","H","H","A","H","A","A","H","","A","H","H","A","H","A","H","A","","A","A","H","A","","H","A","A","H"
46,"H","H","A","H","A","H","A","H","H","A","H","A","H","A","A","H","H","A","H","A","A","H","","A","H","H","A","H","A","H","A","","A","A","H","A","","H","A","A","H"
47,"A","H","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","H","A","H","A","","H","A","H","","A"
48,"A","H","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","H","A","H","A","","H","A","H","","A"
49,"A","H","A","H","A","H","H","A","H","A","H","A","A","H","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","A","H","H","A","H","A","","H","A","H","","A"
50,"A","H","A","H","A","H","A","H","H","A","H","A","H","A","A","H","H","A","H","A","A","H","","A","H","H","A","H","A","H","A","","A","A","H","","A","H","A","H","H"
51,"A","H","A","H","A","H","A","H","H","A","H","A","H","A","A","H","H","A","H","A","A","H","","A","H","H","A","H","A","H","A","","A","A","H","","A","H","A","H","H"
52,"A","H","A","H","A","H","A","H","H","A","H","A","H","A","A","H","H","A","H","A","A","H","","A","H","H","A","H","A","H","A","","A","A","H","","A","H","A","H","H"
53,"A","H","H","A","H","A","A","H","H","A","H","A","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","H","A","H","A","","A","A","H","A","","H","A","H","H"
54,"A","H","H","A","H","A","A","H","H","A","H","A","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","H","A","H","A","","A","A","H","A","","H","A","H","H"
55,"A","H","H","A","H","A","A","H","H","A","H","A","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","H","A","H","A","","A","A","H","A","","H","A","H","H"
56,"A","H","H","A","H","A","A","H","H","A","H","A","H","A","A","H","H","A","A","H","","A","H","H","A","H","A","H","A","H","A","","A","A","H","A","","H","A","H","H"
57,"H","A","H","A","H","A","A","H","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","H","A","","H","A","H","","A"
58,"H","A","H","A","H","A","A","H","A","H","A","H","A","H","H","A","A","H","A","H","H","A","","H","A","A","H","A","H","H","A","A","H","H","A","","H","A","H","","A"
