FirstName;Surname;PositionsList;Team;Cost;PointsLastRound;TotalPoints;AveragePoints;AveragePointsPerDollar;TotalPointsPerDollar;GameweekWeighting;TransfersOut;YellowCards;GoalsConceded;GoalsConcededPoints;Saves;SavesPoints;GoalsScored;GoalsScoredPoints;ValueSeason;TransfersOutRound;PriceRise;PriceFallRound;LastSeasonPoints;PriceFall;ValueForm;PenaltiesMissed;Form;Bonus;FanRating;CleanSheets;CleanSheetPoints;Assists;SelectedByPercent;TransfersIn;OwnGoals;EAIndex;PenaltiesSaved;DreamteamCount;MinutesPlayed;TransfersInRound;PriceRiseRound;RedCards;BPS;NextFixture1;NextFixture2;NextFixture3;NextFixture4;NextFixture5;GW6Forecast;GW7Forecast;GW8Forecast;GW9Forecast;GW10Forecast;GW11Forecast;GW12Forecast;GW13Forecast;GW14Forecast;GW15Forecast;GW16Forecast;GW17Forecast;GW18Forecast;GW19Forecast;GW20Forecast;GW21Forecast;GW22Forecast;GW23Forecast;GW24Forecast;GW25Forecast;GW26Forecast;GW27Forecast;GW28Forecast;GW29Forecast;GW30Forecast;GW31Forecast;GW32Forecast;GW33Forecast;GW34Forecast;GW35Forecast;GW36Forecast;GW37Forecast;GW38Forecast
Erik;Pieters;DEF;STK;4400000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Man City;Everton;Tottenham;Crystal Palace;West Brom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sebastien;Pocognoli;DEF;WBA;4000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Everton;Middlesbrough;Bournemouth;West Ham;Stoke;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paul;Pogba;MID;MUN;8300000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Southampton;Hull;Man City;Watford;Leicester;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nick;Pope;GLK;BUR;4000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Liverpool;Chelsea;Hull;Leicester;Watford;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alex;Pritchard;MID;TOT;4500000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Crystal Palace;Liverpool;Stoke;Sunderland;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sebastian;Prodl;DEF;WAT;4500000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Chelsea;Arsenal;West Ham;Man Utd;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marc;Pugh;MID;BOU;4800000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;West Ham;Crystal Palace;West Brom;Man City;Everton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jason;Puncheon;MID;CRY;5500000;2;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;77;;;;;Tottenham;Bournemouth;Middlesbrough;Stoke;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gaston;Ramirez;MID;MID;5500000;4;4;;;;;;1;1;;;;;;;;;;;;;;;;;;;1;;;;;;;88;;;;;Sunderland;West Brom;Crystal Palace;Everton;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aaron;Ramsey;MID;ARS;7700000;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;;;;;Leicester;Watford;Southampton;Hull;Chelsea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Connor;Randall;DEF;LIV;4000000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Burnley;Tottenham;Leicester;Chelsea;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
