FirstName;Surname;PositionsList;Team;Cost;PointsLastRound;TotalPoints;AveragePoints;AveragePointsPerDollar;TotalPointsPerDollar;GameweekWeighting;TransfersOut;YellowCards;GoalsConceded;GoalsConcededPoints;Saves;SavesPoints;GoalsScored;GoalsScoredPoints;ValueSeason;TransfersOutRound;PriceRise;PriceFallRound;LastSeasonPoints;PriceFall;ValueForm;PenaltiesMissed;Form;Bonus;FanRating;CleanSheets;CleanSheetPoints;Assists;SelectedByPercent;TransfersIn;OwnGoals;EAIndex;PenaltiesSaved;DreamteamCount;MinutesPlayed;TransfersInRound;PriceRiseRound;RedCards;BPS;NextFixture1;NextFixture2;NextFixture3;NextFixture4;NextFixture5;GW6Forecast;GW7Forecast;GW8Forecast;GW9Forecast;GW10Forecast;GW11Forecast;GW12Forecast;GW13Forecast;GW14Forecast;GW15Forecast;GW16Forecast;GW17Forecast;GW18Forecast;GW19Forecast;GW20Forecast;GW21Forecast;GW22Forecast;GW23Forecast;GW24Forecast;GW25Forecast;GW26Forecast;GW27Forecast;GW28Forecast;GW29Forecast;GW30Forecast;GW31Forecast;GW32Forecast;GW33Forecast;GW34Forecast;GW35Forecast;GW36Forecast;GW37Forecast;GW38Forecast
Almen;Abdi;MID;WAT;5000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arsenal;West Ham;Man Utd;Burnley;Bournemouth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charlie;Adam;MID;STK;4800000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Everton;Tottenham;Crystal Palace;West Brom;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albert;Adomah;MID;MID;5400000;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;;West Brom;Crystal Palace;Everton;Tottenham;West Ham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Adrian;GLK;WHU;5000000;6;;;;;;;;0;;;;;;;;;;;;;;;;;1;;;;;;;;;90;;;;;Man City;Watford;West Brom;Southampton;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ibrahim;Afellay;MID;STK;5400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Everton;Tottenham;Crystal Palace;West Brom;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benik;Afobe;FWD;BOU;5700000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Crystal Palace;West Brom;Man City;Everton;Watford;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergio;Aguero;FWD;MCI;13000000;10;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;83;;;;;West Ham;Man Utd;Bournemouth;Swansea;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ola;Aina;DEF;CHE;4800000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Burnley;Swansea;Liverpool;Arsenal;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nathan;Ake;DEF;BOU;4400000;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;11;;;;;Crystal Palace;West Brom;Man City;Everton;Watford;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chuba;Akpom;FWD;ARS;5200000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Watford;Southampton;Hull;Chelsea;Burnley;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marc;Albrighton;MID;LEI;5300000;3;;;;;;;;0;;;;;;;;;;;;;;;;;1;;;;;;;;;87;;;;;Swansea;Liverpool;Burnley;Man Utd;Southampton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Toby;Alderweireld;DEF;TOT;6500000;6;;;;;;;;0;;;;;;;;;;;;;;;;;1;;;;;;;;;90;;;;;Liverpool;Stoke;Sunderland;Middlesbrough;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trent;Alexander-Arnold;MID;LIV;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tottenham;Leicester;Chelsea;Hull;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Joe;Allen;MID;STK;4800000;0;;;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;Everton;Tottenham;Crystal Palace;West Brom;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bamidele;Alli;MID;TOT;8300000;1;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;22;;;;;Liverpool;Stoke;Sunderland;Middlesbrough;Man City;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marcos;Alonso;DEF;CHE;5900000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Burnley;Swansea;Liverpool;Arsenal;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel;Amartey;MID;LEI;4500000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Swansea;Liverpool;Burnley;Man Utd;Southampton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
