FirstName;Surname;PositionsList;Team;Cost;PointsLastRound;TotalPoints;AveragePoints;AveragePointsPerDollar;TotalPointsPerDollar;GameweekWeighting;TransfersOut;YellowCards;GoalsConceded;GoalsConcededPoints;Saves;SavesPoints;GoalsScored;GoalsScoredPoints;ValueSeason;TransfersOutRound;PriceRise;PriceFallRound;LastSeasonPoints;PriceFall;ValueForm;PenaltiesMissed;Form;Bonus;FanRating;CleanSheets;CleanSheetPoints;Assists;SelectedByPercent;TransfersIn;OwnGoals;EAIndex;PenaltiesSaved;DreamteamCount;MinutesPlayed;TransfersInRound;PriceRiseRound;RedCards;BPS;NextFixture1;NextFixture2;NextFixture3;NextFixture4;NextFixture5;GW6Forecast;GW7Forecast;GW8Forecast;GW9Forecast;GW10Forecast;GW11Forecast;GW12Forecast;GW13Forecast;GW14Forecast;GW15Forecast;GW16Forecast;GW17Forecast;GW18Forecast;GW19Forecast;GW20Forecast;GW21Forecast;GW22Forecast;GW23Forecast;GW24Forecast;GW25Forecast;GW26Forecast;GW27Forecast;GW28Forecast;GW29Forecast;GW30Forecast;GW31Forecast;GW32Forecast;GW33Forecast;GW34Forecast;GW35Forecast;GW36Forecast;GW37Forecast;GW38Forecast
Almen;Abdi;MID;WAT;5000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man Utd;Burnley;Bournemouth;Middlesbrough;Swansea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Charlie;Adam;MID;STK;4800000;0;;;;;;;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;Crystal Palace;West Brom;Man Utd;Sunderland;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albert;Adomah;MID;MID;5400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Everton;Tottenham;West Ham;Watford;Arsenal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Adrian;GLK;WHU;5000000;0;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;90;;;;;West Brom;Southampton;Middlesbrough;Crystal Palace;Sunderland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ibrahim;Afellay;MID;STK;5400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Crystal Palace;West Brom;Man Utd;Sunderland;Hull;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Benik;Afobe;FWD;BOU;5700000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man City;Everton;Watford;Hull;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sergio;Aguero;FWD;MCI;13000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bournemouth;Swansea;Tottenham;Everton;Southampton;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ola;Aina;DEF;CHE;4800000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Liverpool;Arsenal;Hull;Leicester;Man Utd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nathan;Ake;DEF;BOU;4400000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Man City;Everton;Watford;Hull;Tottenham;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chuba;Akpom;FWD;ARS;5200000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hull;Chelsea;Burnley;Swansea;Middlesbrough;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
