"index","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
50,3,1,2,2,6,1,1,4,0,2,6,1,1,1,2,2,1,2,2,2,6,1,1,2,2,6,2,3,4,9,3,6,8,0
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,6,2,9,3,6,2,2,1,2,6,3,8,2,2,2,6,6,2,0,6,3,8,1,0,2,8,0,6,6,6,8,3,5,3
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,2,1,1,8,9,6,1,2,0,1,1,2,3,8,0,2,6,2,3,3,4,2,2,0,2,7,6,0,9,1,4,2,4,1
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2,2,2,4,2,1,2,6,3,3,2,3,2,5,2,3,2,7,3,5,1,3,1,1,2,7,1,2,2,0,2,2,6,1
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,3,2,8,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,2,2
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,2,4,1,1,8,8,4,3,2,6,2,0,4,1,2,1,10,1,1,2,5,1,0,0,0,0,0
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,2,11,6,4,7,2,2,0,0,0,6,1,1,7,8,0,0,1,0,1,6,0,1,0,1,1,5,1,1,7,1,1,14,8
69,0,1,2,2,0,5,2,1,0,7,2,1,6,2,0,8,7,5,0,2,7,0,0,0,0,0,0,0,0,6,8,1,1,1
70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,1,2,2,1,0,6,6,1,6,2,0,1,0,0,0,0,0,1,8,1,1,6,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,7,1
73,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,2,6,15,1,8,2,1,2,2,1,2,0,1,9,6,1,9,8,1,1,8,0,1,0,1,0,0,0,2,6,1,5,2,-2
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,2,6,7,1,6,0,2,2,5,2,2,1,1,1,5,1,6,2,0,6,0,0,1,0,1,1,6,1,2,12,0,12,7,2
79,2,6,8,1,5,2,2,2,1,4,1,0,0,0,0,0,6,7,1,0,7,0,1,0,1,12,5,0,0,0,0,8,6,0
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,-1,6,0,5,6,0,3,0,1,1,1,6,1,1,1,0,0,6,1,0,1,1,2,1,7,7,1,-1,0,6,8,7,2,2
90,0,0,0,0,0,0,0,15,1,7,1,8,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,0,5,1,13,6,1,1,7,0,0,10,6,1,1,12,11,1,1,0,0,1,1,2,1,6,6,1,1,0,14,6,1,2,2
93,0,6,0,2,9,1,1,6,0,0,6,6,1,1,6,-2,0,0,1,0,1,0,0,1,6,6,1,1,0,6,8,1,2,1
94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,0,-1,-1,3,2,0,0,0,0,0,0,0,0,0,0,0
95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,0,8,1,9,8,1,1,8,0,7,1,7,1,-1,7,0,1,0,1,-1,1,3,2,0,7,9,2,1,0,6,6,1,2,2
97,0,0,1,6,5,2,2,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,5,0,-2,0,0,0,0,0,0,0,0,0
98,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
99,0,6,2,1,2,6,1,0,0,0,4,2,0,0,2,1,8,0,5,1,1,2,1,5,6,1,6,6,1,0,6,1,1,1
100,-1,6,2,4,2,6,1,0,1,1,4,1,1,6,2,7,7,1,6,1,2,2,0,0,7,1,8,7,-1,0,0,0,0,0
101,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,6,1,1,1
102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,1,6,2,1,2,1,0,0,1,1,7,2,1,5,2,1,6,1,6,1,2,2,0,1,6,1,5,8,1,1,4,1,1,1
104,0,1,6,6,8,6,13,6,2,6,6,7,6,6,3,1,21,6,2,8,2,2,2,0,6,1,2,8,0,4,6,14,8,2
105,1,1,7,6,7,8,6,5,2,2,9,8,12,6,1,1,6,7,2,2,2,2,2,0,2,1,5,3,1,1,5,10,20,2
106,1,1,6,6,14,6,6,8,2,0,7,7,8,7,7,0,6,15,2,2,2,2,2,0,8,0,2,2,0,7,14,6,6,6
107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,1,1,6,6,5,6,6,5,1,2,6,6,7,6,1,1,7,6,10,2,1,1,2,0,7,0,2,2,1,1,8,6,8,2
109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1,0,2,10,3,6,3,3,9,2,3,2,3,3,1,2,3,8,2,3,5,2,3,0,2,0,0,1,1,2,3,3,3,2
111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,8,0,0,0,0,0,1,1,3,6,0,1,2,2,1,0,1,2,15,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
116,1,1,2,2,1,0,0,0,0,7,1,3,1,1,0,1,1,2,10,-1,1,0,0,0,1,1,0,1,0,2,1,-1,1,0
117,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6
118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,5,1,2,1,1,0,0,1,0,1,1,0,2,2,1,3,0,0,0,0,0,0,0,0,0,1,1,6,1,4,1,0,6,1
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,9,2,1,6,1,1,0,0,0,0
122,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,7,2,1,6,4,4,0,0,12,1
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,7,1,1,2,1,0,0,1,6,13,0,0,0,0,0,0,1,2,6,0,2,7,6,0,8,1,0,0,0,2,0,0,6,1
125,0,1,7,1,2,0,2,10,1,1,1,2,15,1,0,1,0,1,6,0,2,15,6,0,0,0,0,0,1,1,1,0,6,1
126,2,1,8,2,1,0,1,1,0,6,1,1,1,2,1,1,0,2,5,-1,2,5,9,0,7,2,1,6,1,3,1,0,6,1
127,2,0,0,0,0,0,0,1,2,11,0,7,2,6,7,15,6,6,2,1,6,6,1,1,6,1,2,0,6,6,1,2,7,3
128,10,4,2,1,0,6,0,9,2,2,1,8,1,6,1,6,12,15,5,4,7,12,1,6,6,0,0,0,0,0,0,0,0,0
129,0,0,1,1,0,7,0,0,0,2,1,1,2,6,1,6,6,8,2,4,6,7,1,1,1,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,5,5,1,1,0,0,0,0,0,1,2,1,2,8,1,2,1,1
131,2,2,6,2,1,1,-1,1,2,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,6,7,1,11,12,11,7,1,2,12,0
132,1,14,2,1,2,6,1,0,1,1,1,2,1,6,2,0,6,1,12,1,2,8,1,1,6,0,9,5,1,1,8,0,0,0
133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1,1,6,2,2,1,0,0,0,0,8,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0
137,2,2,2,1,1,7,0,2,1,2,1,11,2,7,1,6,6,7,2,1,6,6,0,6,5,4,2,0,7,5,1,2,6,0
138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,0,1,1,5,6,1,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,6,1
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,12,0,6,1,8,2,1,0,0,0,1,2,4,0,1,6,0,1,2,0,0,5,9,0,1,5,7,0,4,1,8,8,-1,2
153,6,-1,6,0,2,2,1,1,1,-1,1,2,0,0,5,6,0,1,2,1,0,2,5,0,7,6,6,-1,8,-1,6,6,0,0
154,0,3,0,-1,1,2,2,0,0,0,4,0,1,1,3,1,2,1,6,5,1,4,1,2,0,2,7,0,7,9,5,1,0,0
155,6,0,6,1,2,2,1,1,4,1,1,1,1,0,6,6,1,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0
156,7,-1,6,0,2,1,1,1,4,1,0,0,0,0,5,6,1,1,2,1,1,2,2,0,1,15,6,0,0,1,6,6,-1,1
157,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0
158,2,2,2,9,2,1,2,9,7,0,1,10,7,2,6,1,0,1,2,1,6,1,2,2,2,2,1,5,6,1,6,6,7,6
159,0,0,0,0,1,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0,2,0,0,0,1,0,0,0,0,1,6,9,2,5,1,2,0,0,0,1,0,2,2,3,1,1,1,0,0,1,0,0,0
162,9,0,2,7,2,7,0,6,5,0,0,6,5,2,8,4,1,1,2,0,0,0,0,0,0,2,1,2,7,1,6,6,6,6
163,2,2,2,7,2,7,2,6,6,0,1,0,0,0,0,0,0,1,2,1,5,1,2,2,1,2,1,2,8,1,8,8,6,6
164,2,14,10,3,2,0,2,3,9,2,2,3,3,5,3,0,10,6,4,1,2,2,2,2,9,2,2,2,3,2,3,1,3,3
165,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
166,0,0,0,0,0,0,0,0,1,2,1,1,2,1,1,0,6,0,6,6,1,2,1,2,0,10,4,1,1,5,6,1,-1,0
