"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
NA,NA,NA,NA,1.45840501510659,2.640573403177,1.58831481650613,3.76815909880048,4.36745047405486,3.57325440577063,4.33308114898982,1.97413066356328,3.58472684888431,1.40365213006248,2.57359727557933,1.716994530857,1.34642058901827,2.24246092422549,3.37257711120276,2.73966354298194,2.93183479124516,5.9429773817617,5.42478013634402,2.46572765421213,4.1067724821588,2.59850532117607,1.95237932283853,3.19447694036365,2.6014110508504,0.709287095764535,0.716451611883368,0.557786557727546,0.338415956496804,0.785829333390181,1.76463859660082,2.5698281555295,9.24623624342073,11.0758746225319
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24606347522059,1.36285335383546,0.331659153211125,0,0
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364578193986051,0.626145374712885,0.379928854785463,0.613622467218627,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175616445715738,0.286532095641467,0.175616445715738,0.286532095641467,0.256755537938656
NA,NA,NA,NA,1.95112968963779,3.63169734573596,3.02078518897188,5.29447306875818,4.32273386740247,3.90394281170644,4.72307944842632,2.64219313879355,2.02680733668461,0.586874515756588,0.385601482226645,0.917459934915695,3.3013349912406,2.44902894000645,2.42804149240598,5.74890134245647,2.14889828097412,3.10684549514824,3.02608906850589,0.553531452313977,0.89381964302029,0.769094352786982,0.822379501312962,5.25946602704508,6.02209145844464,4.36893730875463,5.82331779167431,6.30180067839199,3.82717099997279,5.77735673246227,3.04517585946788,6.06135271252854,5.70978570278331,2.91703858291516
NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1.30566872590082,2.6233907584925,1.57604535826394,2.54546826071549,0.344344034521811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
