"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,89,88,89,89,89,45,90,24,90,71,90,90,67,72,90,90,79,27,69,70,0,0,90,90,90,79,82,0,86,90,90,30,74,90,80,77,135,135
387,11,10,11,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,90,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,31,31,31,31,31,0,0,66,80,67,66,13,23,18,0,17,11,0,0,20,70,28,24,45,0,0,0,0,15,0,0,30,0,0,0,0,6,7
389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,90,90,90,90,90,90,0,90,90,81,0,90,90,90,90,135,135
390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,5,4,4,4,4,17,6,90,90,90,90,77,90,90,0,0,9,22,90,90,90,69,90,66,14,90,90,90,90,90,90,90,90,90,90,90,90,90
393,47,48,48,48,48,0,20,9,17,76,20,8,74,90,68,70,13,0,14,63,31,0,71,90,81,0,90,0,90,0,10,22,90,0,90,118,0,0
394,65,64,65,64,65,73,90,90,87,88,86,90,33,0,0,0,0,0,0,0,30,56,74,90,76,90,79,59,72,73,64,45,90,90,12,90,89,89
395,3,2,3,2,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,1,1
396,90,90,90,90,90,73,90,90,90,90,90,90,90,90,90,90,90,90,63,0,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,0
397,85,84,85,84,84,68,22,31,78,75,70,0,0,22,90,81,81,68,90,90,90,90,89,82,90,65,90,90,90,0,0,0,0,0,74,22,89,89
398,19,20,20,20,20,0,0,0,3,0,90,0,4,90,0,9,1,0,2,11,0,0,0,90,81,83,1,12,2,90,90,0,90,90,90,68,8,8
399,71,72,71,72,71,90,90,90,90,90,62,90,90,68,90,90,90,90,88,90,0,0,16,90,90,65,90,90,90,56,0,0,0,0,0,0,0,0
400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,87,86,86,86,86,90,84,0,12,15,28,90,90,90,90,86,90,90,90,72,90,90,90,0,90,90,90,90,90,90,90,90,90,90,90,86,90,90
403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,31,0,0,0,45,0,0,0,0,1,1
404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,67,66,67,66,67,90,90,90,90,82,90,24,0,90,90,90,90,86,90,45,90,89,79,90,90,0,124,0,90,88,90,72,80,0,0,67,120,121
406,86,86,86,86,86,80,0,90,45,23,90,90,13,90,90,88,83,90,90,90,90,90,66,77,90,0,103,0,90,90,78,0,90,90,90,90,130,131
407,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,2,0,0,0,90,90,0,0,0,0,0,0
408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,90,90,90,90,90,90,90,90,90,90,90,90,90,90,0,0,0,90,90,31,0,0,24,90,90,0,180,0,90,90,90,0,90,90,90,90,135,135
410,9,8,8,8,8,23,52,0,0,90,0,5,90,0,90,47,90,4,0,0,0,0,0,1,0,0,0,0,8,0,0,17,0,0,0,0,5,5
411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,15,14,14,14,14,67,38,89,90,90,74,0,0,75,67,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,65,66,66,66,66,0,0,20,1,67,16,66,77,0,23,80,0,56,0,0,0,0,0,0,1,0,9,0,0,0,6,25,0,0,1,0,0,0
414,10,10,10,10,10,0,4,70,89,0,0,0,34,68,0,2,75,0,0,0,0,90,90,90,90,0,178,0,82,90,84,65,85,79,42,83,120,121
415,83,84,84,84,84,90,86,90,90,76,0,90,56,0,33,90,90,90,90,88,90,81,72,82,90,0,81,0,90,45,12,90,5,85,41,90,38,39
416,0,0,0,0,0,0,0,0,0,0,0,90,90,15,33,90,90,90,88,90,90,90,90,90,69,0,152,0,64,45,0,73,90,90,0,90,116,116
417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,0,0,0,0,0,13,0,0,0,0,90,90,0,90,90,90,90,90,0,90,45,0,45,0,0,0,69,0,90,90,64,0,31,91,90,90,82,81
419,90,90,90,90,90,0,0,90,45,18,90,0,6,6,1,0,7,7,63,0,15,55,0,14,19,0,21,0,90,90,90,90,90,173,0,0,37,37
