"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
60,"WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT","WAT"
61,"WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA"
62,"WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA"
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA","WBA"
64,"WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU"
65,"MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI","MCI"
66,"WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU","WHU"
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS","ARS"
69,"MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID","MID"
