"index","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37"
462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
463,1,1,2,2,2,3,3,4,4,4,7,7,7,7,9,9,10,10,10,10,10,10,10,10,10,10,10,12,13,15,15,17,21
464,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,7,7,7,9,11,11,11,11,11,11,11,11
465,13,14,15,15,15,16,17,17,17,17,17,17,19,22,22,22,23,24,25,26,26,30,30,30,30,32,32,34,34,34,34,36,40
466,0,0,0,0,0,1,1,2,2,6,8,8,8,8,9,9,9,9,9,9,9,9,9,10,13,15,18,18,20,20,20,20,25
467,5,6,7,10,10,12,12,12,14,18,18,18,21,21,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
468,0,3,4,7,7,7,10,10,10,10,10,13,16,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,24
469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,6,8,10,12,12,15,16,16,16,17,17,18
470,7,12,14,20,22,23,24,27,28,29,32,34,35,37,38,41,42,44,44,44,46,46,49,50,54,55,57,59,62,62,62,64,75
471,1,1,1,1,1,1,1,2,2,2,2,2,2,4,7,8,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11
472,5,8,9,12,12,15,15,16,20,25,25,25,25,25,26,27,29,31,32,34,34,37,39,41,43,43,46,47,48,48,48,48,49
473,0,0,1,1,1,1,1,1,5,7,7,10,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15
474,5,6,7,7,7,10,13,14,14,14,14,14,14,14,17,18,22,22,22,22,22,22,22,22,23,23,26,26,27,27,28,28,28
475,2,2,2,3,4,5,7,7,9,11,13,14,16,17,17,17,17,17,17,18,18,18,18,18,18,18,18,22,23,23,23,23,26
476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
477,2,2,2,2,2,2,2,2,2,5,5,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,2,4,5,6,6,7,7,8,8,8,8,8
479,2,4,5,8,8,11,14,15,16,17,17,20,23,27,27,27,31,33,34,35,35,37,37,38,39,39,41,42,42,42,42,42,42
480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,2,3,3,4,4,5,5,5,7,7,8,8,9,10,10,10,10,12,12,12,14,14,16,16,17,17,18,18,18,18,18,19,22
482,0,0,0,1,1,2,3,5,7,7,8,8,9,10,10,10,10,12,12,12,14,14,14,14,15,15,16,16,16,16,16,16,17
483,2,2,2,3,3,4,5,7,9,9,9,9,10,11,12,12,12,14,14,14,16,16,18,18,19,19,20,20,20,20,20,21,24
484,2,3,3,4,4,5,6,8,10,10,11,11,12,13,14,14,14,16,16,16,18,18,19,19,20,20,21,21,21,21,21,22,24
485,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5
489,0,1,1,2,2,3,4,4,6,6,7,7,7,7,8,8,8,10,10,10,12,12,12,12,13,13,14,14,14,14,14,15,18
490,2,3,3,4,4,5,6,8,10,10,11,11,12,13,14,14,14,16,16,16,18,18,20,20,21,21,21,21,21,21,21,22,25
491,0,0,0,0,0,0,0,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6
492,7,9,11,11,11,11,17,18,19,22,24,26,27,28,32,32,32,32,32,32,32,32,32,32,33,33,33,37,37,38,39,42,51
493,9,11,13,13,13,13,18,19,20,20,22,22,23,23,23,23,23,23,24,24,24,25,29,29,29,29,29,29,29,29,29,29,39
494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,8,10,12,12,12,12,18,19,20,23,25,27,28,29,33,35,35,37,38,39,41,42,44,44,45,45,45,45,45,47,48,50,60
496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
498,0,0,1,2,3,3,8,8,8,9,9,9,9,9,9,9,9,11,12,13,15,16,20,20,21,21,21,25,25,27,28,31,40
499,2,2,2,2,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
