"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.277715106698653,0.453114121455697,2.23863460590345,4.00479213250724,4.91021315299156,1.95880809165001,1.93850966920293,3.21121742183974,1.33083289080671,1.75297259801179,1.61326986984645,5.23378512158771,3.13288456905358,4.23899973314889,3.11538079574361,7.40856447800101,3.87743430101116,3.44068488486382,5.45001518197133,6.20436910298509,4.04509534922007,4.49853876080718,6.0487477350278,1.90947374256096,3.6433567609526,2.43322079005637
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,3.00797975252,2.5265141103444,2.8018561394152,2.19279119066667,3.98453429144,1.2425238339096,2.82810854304,3.0445190472632,5.35672979450667,3.10292225718667,2.5399586811984,3.0300661762,3.04798374598427,3.57717545509333,4.438185170298,1.2827626373464,0,0,0,0,0,1.27134575168,2.17191664237333,1.3178629691304,3.01185337279707,6.041559786532,7.18102659437333,2.78641512845333,2.959437013038,1.52691436954667,2.34839553094667,3.50810228873373,4.5458326043544
NA,NA,NA,NA,NA,NA,NA,0,0,0,1.74500767515023,2.79073921575616,1.69317576400716,0,0,0,0,0.258808794747398,3.43084350233777,5.89515968375961,8.50815128412652,4.30679051144642,5.52888997916246,7.43981937239611,2.58432231610421,4.66060655820237,3.30338504553995,5.76206546836575,5.55637914534159,3.52881070219467,3.16211097925289,3.20167897721142,1.22817627144231,1.21873315332471,1.54114654965096,0.690302438954264,0,1.41568815101845
NA,NA,NA,2.29956058515906,5.32628609923864,2.69101151536391,2.77422525640685,0.723433840079201,5.72101609999111,8.77360502623263,4.84672836396667,0.806558803151856,0.754725583378127,2.9235839549548,2.05124516121258,3.3503784375073,2.58138980448513,2.71452818937141,2.17841055429133,2.61361036601416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73218710458174,1.90824527084251,4.28527789709106,0.958789478746188
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,2.54656052381333,4.11949496557333,2.95905954119307,3.8692973660088,1.872291504888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73228818004,1.28973157404,7.00542720449773,5.8041918703728,9.27358096176,3.21145931461333,2.51555242770667,1.47660254181333,2.0165270229984,2.42799635548,1.2248855278704,1.79382737958667,2.0981784857352,2.54548402733853,8.7137439946112,5.45115225709333,6.453025672632
NA,NA,NA,2.00092278579925,2.84884097141124,0.229287153785951,0,2.27591906593468,4.50278225953711,3.45891870815639,3.23046299166208,1.4588408639578,1.23826912347899,0,0,0,0,0.793390838164846,1.18359747031291,2.73002802270468,6.03289277919678,3.61535580548877,2.18121521846896,2.05563581604414,1.79457078574421,2.4846697064906,3.51110111779418,2.11128743907769,3.01736533842723,2.05870815516708,1.99891981462451,3.67136324409953,3.32823291643354,2.07613416642444,2.11346866693543,3.27241170806919,9.33510670085414,9.17091960474348
NA,NA,NA,NA,NA,NA,NA,1.53460912724338,3.99443162768741,2.40554198863126,3.91049967449244,1.82602807921944,4.64197087420993,3.77492133991461,4.8650744116991,1.75485364885342,0.438606738982631,0.357859649172577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1.62608561248299,1.24603419679718,2.9004990497067,1.25526379074495,1.21452713158802,0,0,0,0,0,0,0,0,1.58319259384784,4.96095763101634,5.61679894470675,3.70142872979239,2.69040523242516,4.45147269983149,1.87098670961178,2.83057021541693,4.10191926293527,4.43517704320525,4.52662993692604,4.9872968250455,1.44254620638101,2.42931287432307,2.78328355776499,1.45920029439662,1.65671435602203,4.18347729782554,2.51490644845868,5.64982420116034,3.28754329596052,7.77233473930814
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,2.46784417061695,7.68734049767698,6.23963201922003,3.63281204722064,3.77671390348748,2.25915703303366,2.21684439881585,2.500648959553,1.33714473473797,1.45756234196335,2.64258857201226,1.8697964588925,3.30272166039736,3.9442433506833,2.35048262309741,1.53491615002283,0.689980678709648,0.404876940085251,0.245592131265546,0,0,0,0,0,0,0,0.768574134438496,1.90879302208653,5.67889256675046,4.7509779216931,2.43434972961887,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,4.89598441720926,3.17150929828046,3.09024582593403,1.64318916725533,1.44255383549055,3.3224534214425,4.48031401155901,3.51176466207382,3.05606114705533,3.9275133667712,1.47814201187322,2.43202684831202,3.05449463633927,3.0155770873172,6.51347592230664,4.18766840073543,2.55531549770762,4.18465425781211,2.62849121196572,4.31828761472967,2.69739510297615,5.1445487278851,7.08731511841232,2.75913706335803,3.32269236309808,0.712294529607479,0.878666471950207,3.01175839639867,2.55522888289786,2.09636440175889,3.77344348301818,5.46601984837895,6.01576440957269,4.65312196076465,2.30311397902834
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54375225640495,2.468877370978,1.49789822898698,0,0,6.69753881358832
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
