"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
36,"H","A","H","A","H","A","A","H","H","A","H","A","A","H","A","H","H","A","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","A","H","H","H","A"
37,"A","H","A","H","A","H","H","A","A","H","A","H","H","A","H","A","A","H","H","A","H","A","H","A","H","H","A","H","H","A","H","A","A","H","A","A","A","H"
38,"A","H","A","H","A","H","H","A","A","H","A","H","H","A","H","A","A","H","H","A","H","A","H","A","H","H","A","H","H","A","H","A","A","H","A","A","A","H"
39,"A","H","A","H","A","H","H","A","A","H","A","H","H","A","H","A","A","H","H","A","H","A","H","A","H","H","A","H","H","A","H","A","A","H","A","A","A","H"
40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","A","H","H","A","H","A","H","A","H","A","H","H"
45,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","A","H","H","A","H","A","H","A","H","A","H","H"
46,"H","A","H","A","H","A","A","H","A","H","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","A","H","H","A","H","A","H","A","H","A","H","H"
47,"A","H","A","H","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","H","A","H","A"
48,"A","H","A","H","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","H","A","H","A"
49,"A","H","A","H","A","H","A","H","A","H","A","H","A","H","A","H","H","A","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","H","A","H","A"
50,"A","H","A","H","A","H","H","A","H","A","H","A","H","A","H","A","A","H","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","A","H"
51,"A","H","A","H","A","H","H","A","H","A","H","A","H","A","H","A","A","H","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","A","H"
52,"A","H","A","H","A","H","H","A","H","A","H","A","H","A","H","A","A","H","H","A","H","A","H","A","H","A","H","A","A","H","H","A","A","H","A","H","A","H"
53,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","A","H","H","H","A","A","H","H","A","H","A","H","A","A"
54,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","A","H","H","H","A","A","H","H","A","H","A","H","A","A"
55,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","A","H","H","H","A","A","H","H","A","H","A","H","A","A"
56,"A","H","H","A","H","A","H","A","A","H","A","H","A","H","A","H","H","A","A","H","H","A","A","H","A","H","H","H","A","A","H","H","A","H","A","H","A","A"
57,"A","H","H","A","H","A","H","A","A","H","A","H","H","A","H","A","A","H","H","A","H","A","A","H","A","H","H","A","H","H","A","H","A","H","A","A","A","H"
58,"A","H","H","A","H","A","H","A","A","H","A","H","H","A","H","A","A","H","H","A","H","A","A","H","A","H","H","A","H","H","A","H","A","H","A","A","A","H"
59,"A","H","H","A","H","A","H","A","A","H","A","H","H","A","H","A","A","H","H","A","H","A","A","H","A","H","H","A","H","H","A","H","A","H","A","A","A","H"
60,"A","H","H","A","H","A","H","A","A","H","A","H","H","A","H","A","A","H","H","A","H","A","A","H","A","H","H","A","H","H","A","H","A","H","A","A","A","H"
61,"A","H","H","A","H","A","A","H","A","H","A","H","A","H","A","H","H","A","A","H","A","H","A","H","A","H","H","A","H","A","A","H","H","H","A","H","A","A"
62,"A","H","H","A","H","A","A","H","A","H","A","H","A","H","A","H","H","A","A","H","A","H","A","H","A","H","H","A","H","A","A","H","H","H","A","H","A","A"
63,"A","H","H","A","H","A","A","H","A","H","A","H","A","H","A","H","H","A","A","H","A","H","A","H","A","H","H","A","H","A","A","H","H","H","A","H","A","A"
64,"A","H","A","H","A","H","H","A","H","A","H","A","A","H","A","H","H","A","A","H","H","A","H","A","H","A","H","A","H","A","A","H","A","H","A","H","H","A"
65,"A","H","A","H","A","H","H","A","H","A","H","A","A","H","A","H","H","A","A","H","H","A","H","A","H","A","H","A","H","A","A","H","A","H","A","H","H","A"
66,"A","H","A","H","A","H","H","A","H","A","H","A","A","H","A","H","H","A","A","H","H","A","H","A","H","A","H","A","H","A","A","H","A","H","A","H","H","A"
67,"A","H","A","H","A","H","H","A","H","A","H","A","A","H","A","H","H","A","A","H","H","A","H","A","H","A","H","A","H","A","A","H","A","H","A","H","H","A"
68,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
69,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
70,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
71,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
72,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
73,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
74,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
75,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
76,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
77,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
78,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
79,"H","A","A","H","A","H","A","H","H","A","H","A","H","A","H","A","A","H","H","A","A","H","H","A","H","A","A","H","H","A","A","H","A","H","A","A","H","H"
