"index","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37"
205,2,2,2,2,2,2,5,5,5,5,5,5,7,7,8,9,10,16,17,18,24,24,25,25,26,33,44,53,54,54,60,67,78
206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,2,5,7,13,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,33,33,33,33,35,36,38,39,45,46,58
208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0,2,4,4,4,4,4,5,13,20,21,27,27,27,27,33,35,37,37,37,38,38,44,44,44,45,45,46,48,49,55,56,56
210,0,2,4,12,18,20,22,24,33,39,40,46,47,47,53,59,61,63,65,66,75,75,87,87,87,88,89,90,92,92,99,100,106
211,0,0,0,1,1,1,1,1,7,21,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,25,25,27,27,32,33,34
212,3,5,7,15,21,22,24,26,32,38,39,45,45,48,48,55,57,61,65,67,75,75,89,89,89,90,92,93,95,96,96,97,103
213,5,6,8,14,25,27,29,31,31,31,31,37,38,38,38,53,55,57,57,59,65,65,76,76,77,77,79,80,82,83,89,88,94
214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
217,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,4,5,6,7,7,7,7,15
219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
