"round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
NA,NA,NA,NA,NA,NA,NA,NA,3.33065855481716,2.63004908923425,3.43259102902254,2.14036087035483,3.93327051956709,2.48845326791655,3.4318883155074,1.85553295409682,1.75403806297556,2.27764065475549,3.00281806532495,2.25906167303488,2.11038421178617,4.14508516034913,4.37182327656376,2.58913290779019,4.39824894821562,3.15169254132306,2.58637233763247,3.62488685738117,3.32055084883956,1.65747846652972,1.3115027209566,1.85718092329767,0.940771780212118,0.989540350074507,1.25295055528451,1.44485335849701,4.95387678944505,6.00593637378362
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06688015072978
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191883259992658,0.309941960482878,0.188045594792805,0.303680506735749,0.184207929592952,0.182289096993025,0.29741905298862,0.29741905298862
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0878082228578689,0.143266047820733,0.0878082228578689,0.143266047820733,0.271643816790061
NA,NA,NA,NA,NA,NA,NA,NA,3.76915588582169,3.0844306290889,4.75445807318764,2.88205890729377,2.28803031742609,3.34781576509746,1.55220383481086,2.66011945810555,3.37123801890075,1.39780153541675,1.40070630301407,3.42022276821328,2.0547553583549,3.47628031109108,3.41895287474969,1.98228589070736,2.09116160765648,1.36650146412269,1.34389048281739,3.15304530770144,3.44676445934269,2.61514770740259,3.35990074740614,5.74541395285901,3.74079306482907,6.45281143389938,4.44947270486844,6.21158339205694,5.86186957219563,3.24373209853348
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.694066006926224,1.28572121332058,0.780062854090231,1.25974704739491,1.24675996443208,0.75618337896502,0.75618337896502,1.23377288146924,0.103349016014611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,4.5253758514386,2.95146428088323,5.68875731880743,3.53653265728833,5.39179276333819,3.06626457743356,3.88705521248583,2.24250392228092,3.00800046468387,4.72355979790279,4.30528362273378,2.61234502302008,4.39307763958916,3.74701799932892,6.58408945340663,4.87732859399279,6.29543037709707,3.75891247175643,3.1039261713198,2.88640946045263,2.85515795890938,4.68778780696871,4.4573278005438,2.45251729538098,2.93707073322623,4.67604607345418,2.88465017133703,5.86700504100734,3.51513142821588,4.59968388416361
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.217941176517306,0.509158366632845,0.308912635604548,0.305760465853481,0.493729325219729,0.488586311415357,0.299456126351347,0.488586311415357,0.0924120086599067,0,0,0,0,0,0.187914634107932,0.186035487766853,0.300465609694683,0.297399634085554,0.180398048743615,0.178518902402536,0.291267682867295,0.178518902402536,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.864279322305515,0.691654184062522,1.2838032181685,2.05314855474682,3.83841231022695,2.30598963766748,2.61086742982267,4.36918191713133,2.79051412584465,4.19274814990992,1.97594245788981,3.34160345346677,1.98085529307263,2.83519970029967,1.92304257508178
NA,NA,NA,NA,NA,NA,NA,NA,3.94121177988057,2.93197634557653,5.48238827313445,3.40908681753577,6.41703024377047,3.83566476127439,6.57168013523092,3.94206903920239,3.98645712892424,6.29257505525318,6.3908773107876,3.28230868367527,2.85116455997669,5.20356248548224,3.54162719563362,5.13136670123026,2.85203030129475,4.24843339954371,2.19001072044546,2.27535355571256,3.52528388391795,2.97541639693401,1.28719048009692,1.48725098294297,2.23398008646653,1.11019316290939,1.6675674165415,1.51304809965994,3.27875296184624,3.86109669104409
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104143165011995,0.169917795545886,0.839487977213795,1.68065788710694,2.02019076978856,1.56572924943192,1.757021766436,3.22439730297846,1.9406061506092,3.29146643328738,1.75004349440638,3.67607123058232,2.09549583132728,3.24647775578169,2.68713317671144,5.07249295513982,2.92485445096388,3.5621553456505,6.10944088618411,5.20373565272647,3.88050041420495,6.04297483272634,5.61793226512498,2.86701818983044,5.07393279240377,3.06544977210445
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
