"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,3473,3473,3473,3473,13893,7492,4387,8660,3496,19918,26790,10108,16003,26328,34984,70464,40844,9855,17541,49738,15719,12994,33841,30508,84307,36994,20629,6751,16954,32342,44855,32316,7651,7556,3287,25383,21649,21649
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,68,68,68,68,270,203,184,132,109,96,102,65,57,105,51,68,94,88,60,105,84,64,28,57,83,47,57,35,73,33,39,68,85,40,44,52,83,83
78,3075,3075,3075,3075,12300,5504,4532,5657,9844,24930,5585,2372,2901,3981,5807,7805,5439,6663,4882,10762,3993,4635,10456,3505,15362,5262,4233,1428,2717,931,928,1784,2430,2362,3238,3241,5472,5472
79,614,614,614,614,2458,1268,1473,2503,1740,5137,5197,2278,4097,2970,27328,11681,5526,2055,1304,2595,1151,1209,4020,2662,5468,2390,2396,893,2285,461,1143,3303,13268,10656,5478,1515,3952,3952
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,5196,5196,5196,5196,20784,18201,11628,7255,3817,14257,88155,11825,8651,9390,11172,6045,18154,12785,31142,48750,24740,11409,12633,34744,11426,8785,3789,5721,4537,2891,3765,6455,6749,3517,3317,8852,13776,13776
90,1082,1082,1082,1082,4326,2580,2016,1733,1450,1483,1250,1051,2269,2151,3793,1684,16810,3316,8348,92587,94496,50129,22388,23406,20439,11349,11979,9463,8292,4389,5518,7417,8792,7203,5618,16673,12602,12602
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,2460,2460,2460,2460,9840,4129,4245,2479,2202,7581,13124,6702,29380,16890,1759,2363,12648,9707,9214,15176,21505,31432,129132,102649,21991,16224,5753,11321,8495,5967,7913,11351,14116,3058,4644,27819,15727,15727
93,1062,1062,1062,1062,4246,2856,2897,2695,1078,2812,4591,2984,3415,3916,1623,1623,5526,3897,7732,46118,16308,3834,3004,7331,7379,6381,3978,989,849,471,685,902,1085,751,757,2023,4457,4457
94,16,16,16,16,63,65,35,43,48,54,53,37,54,62,31,42,51,48,50,93,103,68,77,91,68,53,162,95,84,24,36,20,24,21,18,23,55,55
95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,284,284,284,284,1137,1018,1077,870,694,2023,3626,2198,4237,2879,6071,2350,9579,9461,6302,14393,9127,10338,6783,10126,4946,4701,2326,3956,2582,1402,1847,3160,3955,1954,1534,7532,3931,3931
97,118,118,118,118,471,355,218,244,221,294,386,1798,1243,668,351,377,319,200,142,231,140,119,62,85,232,104,306,129,392,61,76,110,133,77,57,89,287,287
98,NA,NA,NA,NA,NA,NA,NA,NA,82,375,515,373,388,347,243,237,298,221,248,419,407,486,220,283,216,120,117,87,106,57,69,88,69,60,37,48,NA,NA
99,400,400,400,400,1599,981,1169,1121,1105,712,1097,1425,1153,1456,586,939,4319,757,1293,1965,910,878,486,853,513,634,437,484,650,377,393,827,1238,986,684,2823,952,952
100,678,678,678,678,2711,1103,935,987,1129,1176,1934,2616,1746,1964,1187,2294,1939,1211,4496,8291,6370,4970,2986,7523,4567,6503,4742,4889,3278,2145,1406,3064,8113,21775,12397,20856,3788,3788
101,906,906,906,906,3626,2440,1922,1650,1562,2733,3298,2396,1975,2504,1568,2262,2875,2411,3013,5241,2732,2188,1459,2130,1867,1343,1142,1119,1174,782,788,957,1265,744,453,1283,1841,1841
102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,142,142,142,142,567,608,830,741,977,2678,1715,437,347,499,343,672,904,883,3856,4664,2914,2264,1546,3179,1928,2394,1891,1773,1516,941,886,1551,3377,5920,3696,4762,1629,1629
104,104,104,104,104,416,188,219,332,443,1293,2640,4082,8021,4250,3309,2992,4145,6031,25625,47029,4781,15069,9117,2716,6239,23506,25379,7896,4323,20683,17215,10710,64204,11298,7318,5067,9768,9768
105,11351,11351,11351,11351,45404,30092,13778,8954,4867,7152,8978,7609,12065,12117,3709,3209,2437,6129,26378,35530,23664,22866,13594,31644,18262,27028,26923,10293,11601,13723,7523,15529,15946,15632,7166,6164,14970,14970
106,3506,3506,3506,3506,14026,12645,5477,2925,1565,4425,6203,3519,7367,13191,3832,3436,4160,4933,9251,21948,13126,8567,5390,9844,7996,15177,18349,5774,2898,11497,7332,15524,47666,12884,2385,5657,8970,8970
107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,1460,1460,1460,1460,5840,4654,2262,1476,1321,1970,2637,2123,4107,5671,2534,1734,2225,3010,12094,16298,6906,8889,2362,5109,5699,11641,10067,3684,2556,7854,5019,9034,7655,7014,10026,4736,5085,5085
109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,243,243,243,243,972,663,757,536,1190,2880,6600,5481,2886,11015,10056,12274,12502,13525,27294,29449,14904,8493,8634,9131,7156,9688,13951,16162,10986,8471,5875,4062,4258,2729,1667,2582,7574,7574
111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,10145,10145,10145,10145,40579,46603,23488,9592,4429,5450,6400,3707,3598,2113,4251,4552,3692,3834,3412,8931,5562,5615,1001,12785,9631,2085,2162,890,1622,2524,3458,2751,2232,1177,584,811,7407,7407
116,606,606,606,606,2422,1783,1195,1131,1267,1544,1246,867,990,422,480,414,517,2048,652,798,515,394,226,1072,495,924,751,319,326,141,208,239,304,177,133,213,741,741
117,130,130,130,130,518,370,307,219,205,276,262,188,190,195,103,131,185,152,147,297,158,151,121,169,150,98,76,74,62,41,51,51,78,120,77,81,164,164
118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,744,744,744,744,2974,1775,1529,1903,2162,1698,2210,1219,1448,1388,1035,1388,1003,892,1395,3317,2671,2754,1791,1456,1143,793,801,431,424,206,224,292,489,616,1045,1797,1281,1281
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,55,55,55,55,221,168,152,88,80,92,111,53,76,108,101,88,125,116,100,175,108,132,155,414,594,181,437,499,1555,951,2119,1648,19359,21642,9832,7387,1765,1765
122,104,104,104,104,417,284,289,216,232,233,232,140,166,188,128,128,156,134,81,347,306,820,894,442,176,353,269,127,332,111,183,162,375,432,864,1120,276,276
123,2431,2431,2431,2431,9725,3743,2923,1574,1108,912,743,354,327,403,196,239,277,217,229,350,198,148,92,144,119,74,63,54,62,32,35,46,51,45,25,36,912,912
124,74,74,74,74,296,219,205,193,262,284,323,164,139,784,4656,3304,2218,775,403,588,322,260,115,324,208,209,222,147,421,978,957,748,374,516,254,251,606,606
125,6078,6078,6078,6078,24311,11257,4779,17048,9753,10387,5930,2508,2619,3668,4847,3637,3251,3702,10245,12186,13127,9567,2166,13790,7250,4650,26870,21580,16592,7487,10295,5970,2203,6975,6187,8700,8663,8663
126,716,716,716,716,2864,1976,1316,1682,1921,1796,1848,1006,1316,680,1029,1095,1016,962,1315,2439,1650,1079,452,1216,569,721,753,433,1059,466,773,668,1304,1538,2890,5208,1203,1203
127,4728,4728,4728,4728,18912,104108,52839,55768,38050,28972,13171,2732,3036,1812,4785,1616,2978,1834,6390,18359,22859,8260,7549,20254,7133,17419,6030,58476,16324,12545,9444,15178,20337,20005,17578,40424,17973,17973
128,1272,1272,1272,1272,5088,5117,10713,5285,13056,9756,9481,3984,7554,20333,10556,2680,4969,2711,10469,16614,5498,4589,2745,8421,5845,14079,4513,5803,430806,102539,54154,36808,19037,9415,4275,5006,24310,24310
129,2809,2809,2809,2809,11235,5545,3634,2410,2307,1429,1514,1627,1398,888,642,856,802,569,1386,2205,1400,2213,1761,2767,2081,3669,2096,6808,42843,20331,13955,9716,6237,2803,1370,1809,4773,4773
130,11176,11176,11176,11176,44702,28192,26171,18130,14078,10506,7838,5686,4903,3728,3308,3750,4165,1950,9772,19450,7152,5761,6352,13788,21148,17681,17498,12279,8399,2971,2278,4454,7568,4777,5571,13618,10790,10790
131,2394,2394,2394,2394,9575,7771,13937,5223,11649,23466,14790,15051,12745,13639,20406,38620,10009,5742,5482,9561,5599,3664,2331,3239,2382,1856,1233,581,835,619,573,1163,3440,7119,5826,23137,7584,7584
132,688,688,688,688,2753,2161,3218,3725,3674,2121,3694,5033,3633,3789,4029,5023,4305,1934,4833,7828,3816,2957,1614,5150,2813,2116,2508,2807,2067,1840,1293,3495,6062,4311,1695,26739,3100,3100
133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,76,79,125,73,72,47,52,63,39,45,42,55,32,17,34,43,23,26,53,NA,NA
134,332,332,332,332,1326,606,517,268,188,236,175,79,93,93,50,63,115,48,41,108,74,66,28,58,50,39,27,25,37,20,28,31,22,25,18,22,162,162
135,101,101,101,101,405,415,798,964,878,1308,3264,3441,2668,1960,492,513,2927,2967,3354,6391,3852,2957,1911,1894,1827,954,925,492,548,354,387,491,488,314,237,386,1452,1452
136,89,89,89,89,357,254,218,355,481,977,1220,749,762,867,552,634,865,745,1150,1758,1027,794,396,664,819,529,1008,453,478,275,554,1194,2223,1612,1091,2124,728,728
137,3424,3424,3424,3424,13698,9876,15279,7073,13078,11267,10844,13040,14741,10854,17228,4688,7126,3199,14914,25358,9304,7758,7048,13264,6300,10869,5993,4869,10582,6547,75189,11711,6106,8188,5907,17903,11209,11209
138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,206,206,206,206,825,504,346,250,193,228,183,100,110,122,71,72,106,77,83,164,77,60,27,41,51,53,33,25,64,81,234,517,1227,866,1060,1489,246,246
150,127,127,127,127,507,315,293,199,254,399,314,158,118,69,46,50,69,59,249,534,264,293,249,251,196,154,192,94,77,66,85,83,91,71,63,107,183,183
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,3387,3387,3387,3387,13548,18571,12377,12321,5105,8189,13114,13988,21893,28160,9275,13003,38681,7208,5609,8097,6439,5082,3229,4696,3854,1816,2087,1092,1817,1144,4132,5871,5639,3188,1637,5333,8319,8319
153,838,838,838,838,3353,4703,2676,3384,3118,2239,2661,2213,2709,4156,1368,2098,8396,1430,973,1860,1575,1305,863,1150,1033,531,623,270,567,543,1612,2788,2166,2509,1625,9886,1976,1976
154,26,26,26,26,102,115,101,102,88,52,76,94,85,55,34,44,81,46,82,175,99,142,105,318,434,1771,500,1366,1026,535,2621,2488,607,1626,1768,7045,485,485
155,9663,9663,9663,9663,38653,48569,29596,64574,29995,23462,26392,22848,19380,35775,13770,26248,29588,27359,13774,26689,19386,19936,12330,15243,13794,7192,8436,3140,15833,10163,10297,11484,7083,4708,2998,5640,19081,19081
156,978,978,978,978,3914,3971,2695,3040,2276,2016,2144,1668,1504,2753,5044,1539,1897,1697,941,1855,1332,1095,795,958,948,452,579,247,302,387,2166,4408,7171,2851,1139,2644,1911,1911
157,38,38,38,38,151,99,60,47,30,39,39,36,24,42,23,26,22,15,22,45,54,87,59,62,67,47,59,34,41,13,25,46,42,27,18,25,48,48
158,4235,4235,4235,4235,16941,13612,41973,7129,7148,12210,13065,3240,3749,12712,14133,6993,6232,17040,11515,43798,63164,44219,7785,17933,4979,10455,4049,15823,7176,3203,6701,5410,5612,6945,4664,14923,12928,12928
159,394,394,394,394,1576,954,717,577,377,424,436,407,434,327,227,306,321,221,360,880,336,242,211,243,174,155,190,71,104,68,94,92,108,60,25,80,345,345
160,23,23,23,23,92,46,38,29,28,31,33,16,17,25,21,22,33,25,21,48,27,39,31,41,32,26,31,20,29,14,22,22,15,24,6,17,32,32
161,775,775,775,775,3100,1179,1642,1332,1315,981,865,550,492,383,202,192,380,937,2002,7304,2953,7931,6005,7351,2473,2269,630,909,694,1011,773,844,3075,1566,520,1029,1838,1838
162,1543,1543,1543,1543,6173,12997,17724,2867,3593,3364,14769,2539,2895,9184,41780,11038,5865,13198,8575,27539,11259,34297,11318,52330,30570,21892,5241,8980,6533,1448,2701,3188,2527,3766,2983,7830,11084,11084
163,638,638,638,638,2551,2490,2864,1202,2003,1574,3823,1509,6242,10985,2845,16266,12355,11063,7478,7609,3199,1297,718,1874,864,1894,910,2916,1615,713,1727,1689,3735,1317,726,2314,3432,3432
164,1398,1398,1398,1398,5592,5338,7196,17005,46341,67020,26932,15225,5210,25812,26497,32586,20464,12855,15452,52384,8070,11467,7748,23408,14744,17460,8617,16085,5541,5665,9981,15739,13705,9257,5305,12775,15973,15973
165,3229,3229,3229,3229,12917,7553,5878,3564,3218,1799,3288,2514,2208,1902,1169,1435,1487,996,834,1287,848,806,440,594,576,351,343,258,286,167,170,273,218,152,86,193,1928,1928
166,1370,1370,1370,1370,5478,3608,3015,15158,8439,5439,3721,1275,481,530,338,514,595,529,1201,2175,1055,947,629,1072,1074,2045,1453,3011,2398,472,1908,1778,2892,3097,2705,9305,2380,2380
167,5232,5232,5232,5232,20927,10673,5071,10943,7045,8408,12356,2912,2712,7252,3351,2910,11534,6057,116108,33640,25114,94859,64586,41676,21401,10129,6890,4336,5609,2359,2706,3175,2511,1802,1012,1366,16169,16169
168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,1902,1902,1902,1902,7610,9377,10274,10877,7143,4479,4624,2879,4503,4322,1250,3035,3180,4882,4391,12293,12153,5756,1727,3648,9478,4246,4990,2006,3503,3523,4065,2552,5406,1305,1366,4864,4763,4763
171,218,218,218,218,872,1303,793,172,254,822,1181,1110,784,526,292,224,287,197,136,251,111,153,126,303,446,211,106,67,108,58,64,340,369,889,3037,1498,469,469
172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
