"index","round_1","round_2","round_3","round_4","round_5","round_6","round_7","round_8","round_9","round_10","round_11","round_12","round_13","round_14","round_15","round_16","round_17","round_18","round_19","round_20","round_21","round_22","round_23","round_24","round_25","round_26","round_27","round_28","round_29","round_30","round_31","round_32","round_33","round_34","round_35","round_36","round_37","round_38"
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,92,92,92,92,367,250,159,97,63,76,82,23,23,19,9,5,8,7,11,54,11,7,107,38,25,20,15,17,18,5,5,29,26,149,83,246,65,65
195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,2,2,2,2,8,7,10,3,2,4,6,1,3,4,6,5,4,8,7,10,6,12,5,6,6,4,2,2,4,2,3,6,2,1,5,2,10,10
197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,226,226,226,226,902,14645,12121,572,170,2881,564,2336,6394,4857,934,2145,7345,4774,3135,3666,1603,4754,7889,4369,13216,9978,6224,5323,40340,12589,2271,6732,3675,24682,16916,20246,6539,6539
199,1758,1758,1758,1758,7034,33234,6150,222,138,282,729,7675,33976,17123,2464,801,1157,3051,1469,3223,2312,12203,5414,3697,3725,3298,1114,2447,10086,3287,4397,3531,2252,14663,10776,19335,5926,5926
200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,NA,NA,NA,NA,NA,NA,NA,1463,1073,738,75,44,93,171,231,164,110,150,375,649,71,76,43,896,722,718,350,424,246,315,723,269,90,24,8,16,NA,NA
202,1,1,1,1,4,9,3,5,8,4,13,1,7,6,6,0,5,5,4,7,7,8,3,8,10,4,3,5,6,4,1,8,15,10,2,20,11,11
203,222,222,222,222,886,815,528,574,244,574,420,105,99,138,67,54,78,56,79,817,230,2173,2873,3363,9482,9775,4336,6725,8155,9585,11639,17249,10442,26663,40792,39339,4854,4854
204,82,82,82,82,328,230,727,69,25,45,28,14,13,30,18,5,9,15,13,32,13,18,19,49,22,23,14,11,30,11,7,8,7,10,11,23,66,66
205,36,36,36,36,142,103,215,128,64,170,756,123,139,112,60,102,592,247,1113,14052,9207,17608,8503,7276,5923,4237,1469,4624,7707,4653,20396,29565,14426,36685,33901,27678,6417,6417
206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,166,166,166,166,665,873,3031,3871,2782,496,118,42,38,17,18,5,25,15,19,28,18,24,11,32,23,320,1526,6523,4120,80,454,1179,421,416,241,165,804,804
208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,122,62,87,52,47,32,17,11,23,23,19,13,20,NA,NA
209,116,116,116,116,465,328,433,22,12,16,33,135,1990,1385,567,1876,1982,440,746,1306,335,433,68,44,102,209,49,15,20,37,25,230,131,96,83,50,405,405
210,33,33,33,33,132,118,477,1334,831,694,1288,189,5272,1679,2289,3809,2177,244,6506,5010,1886,2716,831,2046,2436,3105,832,1692,2127,749,806,2281,909,667,682,472,1604,1604
211,22,22,22,22,86,93,64,107,55,77,93,33,1625,17932,7267,3161,2052,1855,4501,7984,3685,2078,2356,2376,1430,829,253,693,741,303,388,1128,1872,734,1125,2045,1922,1922
212,468,468,468,468,1874,1212,6089,25524,20383,10621,16780,2307,12766,12432,6081,8346,8969,7298,22069,61075,17096,25132,11310,22735,19852,31841,11810,17824,17389,6942,6561,18179,6149,5711,1132,1275,12717,12717
213,257,257,257,257,1029,460,2601,3729,14741,7266,19885,1978,351,111,73,777,390,240,772,9340,1998,2560,1194,2703,1275,2371,1046,1097,1576,473,572,1874,585,468,149,151,2419,2419
214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,84,84,84,84,338,510,350,416,161,294,361,1222,4670,2833,866,696,346,150,175,520,247,172,4453,3850,1077,619,156,92,84,27,38,40,26,14,21,28,723,723
217,20,20,20,20,80,44,44,130,51,57,575,112,419,97,45,25,48,90,93,106,1469,2833,258,83,44,44,30,23,30,13,12,29,15,7,16,26,206,206
