FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Harry,Winks,MID,TOT,4800000,1,19,1.26666666666667,2.63888888888889E-07,3.95833333333333E-06,0,17195,0,5,0,0,0,0,0,4,1269,-2,0,19,2,0.2,0,1,0,0,2,0,0,0.3,23560,0,0,0,0,529,425,0,0,113,Stoke,Brighton,Man City,Burnley,Southampton,0.6,0.6,0.6,0.6,0.6,0,1.7,1.1,0.6,0.6,0.6,0.8,0.6,1,0.6,0.8,0.6,0.6,0.6,0.6,0.6,0.6,0.7,20.6
Chris,Wood,FWD,BUR,6400000,2,42,3.8,5.9375E-07,6.5625E-06,0,202716,1,5,0,0,0,4,0,6.6,6349,-1,0,42,1,0.4,0,2.8,8,0,4,0,0,1.7,270937,0,0,0,0,736,15929,0,0,120,Watford,Stoke,Brighton,Tottenham,Man Utd,3.6,5.1,4,3.9,2.8,3.5,4.3,4.1,4.4,4,3.7,3.8,4,5.1,3.8,3,4,4.4,4.4,4.8,4.4,2.6,4.3,49.7
Ben,Woodburn,MID,LIV,4300000,0,0,0,0,0,0,18559,0,0,0,0,0,0,0,0,747,-2,0,0,2,0,0,0,0,0,0,0,0,0.3,18977,0,0,0,0,0,533,0,0,0,Everton,West Brom,Bournemouth,Arsenal,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freddie,Woodman,GLK,NEW,4000000,0,0,0,0,0,0,4982,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0.2,11587,0,0,0,0,0,198,0,0,0,Leicester,Everton,Arsenal,West Ham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit,Xhaka,MID,ARS,5300000,2,48,3.2,6.0377358490566E-07,9.0566037735849E-06,0,803158,3,19,0,0,0,0,0,8.9,26527,-2,1,48,2,0.5,0,2.5,2,0,7,0,4,8.7,782232,0,0,0,1,1296,7270,-1,0,231,Southampton,West Ham,Newcastle,Liverpool,Crystal Palace,2.1,2,4,3.1,1.9,2,3,2.3,3.9,2.8,4.6,1.7,2.3,1.7,2.7,1.8,3.4,3.3,2.1,4.2,1.6,3.4,1.9,74.4
Claudio,Yacob,MID,WBA,4300000,3,8,0.533333333333333,1.24031007751938E-07,1.86046511627907E-06,0,17451,2,3,0,0,0,0,0,1.9,1962,-2,0,8,2,0.3,0,1.3,0,0,2,0,0,0.3,13060,0,0,0,0,249,7214,0,0,36,Swansea,Liverpool,Man Utd,Stoke,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,8
,Yaya Toure,MID,MCI,6100000,0,2,0.133333333333333,2.18579234972678E-08,3.27868852459016E-07,0,74485,0,0,0,0,0,0,0,0.3,612,-4,0,2,4,0,0,0,0,0,0,0,0,0.8,9362,0,0,0,0,29,167,0,0,16,Man Utd,Swansea,Tottenham,Bournemouth,Newcastle,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.8
DeAndre,Yedlin,DEF,NEW,4400000,1,22,2,4.54545454545455E-07,5E-06,0,26372,1,16,0,0,0,0,0,5,2298,-1,0,22,1,0.2,0,1,2,0,1,0,1,0.7,43234,1,0,0,1,905,703,0,0,157,Leicester,Everton,Arsenal,West Ham,Man City,1.6,1.6,1,1.5,1.2,2,1.4,1.5,1,1.7,2.3,1.8,1.2,1.1,1.7,1.3,2.4,1,2,1,2,1.9,1.6,31
Maya,Yoshida,DEF,SOU,4800000,0,48,4.4,9.16666666666667E-07,1E-05,0,282343,0,10,0,0,0,1,0,9.8,19617,-2,1,48,2,0.1,0,0.5,6,0,4,0,1,3.2,343693,0,0,0,0,904,2797,-1,0,213,Arsenal,Leicester,Chelsea,Huddersfield,Tottenham,5.6,4.8,5.2,6.6,5,3.7,6.3,6.2,5.4,5.8,5.2,5.4,5.1,5.1,4.7,4.8,5.4,3.9,4.8,4.2,4.9,3.4,3.9,43.2
Ashley,Young,MID,MUN,5100000,2,50,4.5,8.82352941176471E-07,9.80392156862745E-06,0,50236,3,7,0,0,0,2,0,10,22388,1,-1,50,-1,1.5,0,7.8,6,0,6,0,3,5,308007,0,0,0,1,977,85646,1,0,210,Man City,Bournemouth,West Brom,Leicester,Burnley,3.9,6,3.6,3.3,5.5,5.4,4,5.4,3.6,3.1,6.8,3.9,4.9,3.5,5.1,3.7,6.3,2.5,6,4.1,6.2,3.2,4.5,60.8
Pablo,Zabaleta,DEF,WHU,4900000,1,28,2,4.08163265306122E-07,5.71428571428571E-06,0,138167,6,27,0,0,0,0,0,5.7,2829,-1,0,28,1,0.2,0,0.8,4,0,3,0,0,1.6,40056,0,0,0,0,1231,760,0,0,211,Chelsea,Arsenal,Stoke,Newcastle,Bournemouth,1.7,2.1,1.2,1.9,1.1,0,3.3,1.2,1.7,3,1.4,1.8,1,1.1,1.8,1.9,1.8,1.3,1.8,1,1.3,1,1.7,46.6
Wilfried,Zaha,MID,CRY,6900000,3,36,2.4,3.47826086956522E-07,5.21739130434783E-06,0,1063329,0,10,0,0,0,3,0,5.2,21306,-1,0,36,1,0.6,0,3.8,0,0,3,0,0,5.1,258268,0,0,0,0,796,15040,0,0,102,Bournemouth,Watford,Leicester,Swansea,Arsenal,2.3,1.5,1.4,2.1,2.4,1.3,1.6,2,1.2,1.5,2.4,1.7,1.9,2,1.5,1.4,1.8,1.7,1.9,1.6,2.2,1.4,2.3,73.8
,Zanka,DEF,HUD,4500000,1,43,2.9,6.44444444444444E-07,9.55555555555555E-06,0,332026,2,26,0,0,0,0,0,9.6,11961,0,0,43,0,0.1,0,0.5,3,0,5,0,1,6.5,490281,0,0,0,1,1350,6687,0,0,259,Brighton,Chelsea,Watford,Southampton,Stoke,3.7,3.1,2.8,2.1,3.3,3.3,1.5,4.1,2,3.5,1.4,3.1,2.1,2,2.9,4.4,1.8,2.3,3.2,2.1,3.1,1.6,3.6,39.1
Davide,Zappacosta,DEF,CHE,5900000,0,30,2,3.38983050847458E-07,5.08474576271186E-06,0,23148,0,2,0,0,0,0,0,5.1,7302,-1,0,30,1,0.6,0,3.8,1,0,4,0,0,0.4,41070,0,0,0,0,471,1996,0,0,118,West Ham,Huddersfield,Southampton,Everton,Brighton,1.7,1.6,1.5,1,1.8,1.5,1.1,1.4,1.8,1.4,2.1,1.8,1,1.2,2.8,1.6,1.6,2.1,1.6,2.2,1.5,1.6,1.4,29.2
Mauro,Zarate,FWD,WAT,5400000,0,0,0,0,0,0,1514,0,0,0,0,0,0,0,0,94,-1,0,0,1,0,0,0,0,0,0,0,0,0,1249,0,0,0,0,0,85,0,0,0,Burnley,Crystal Palace,Huddersfield,Brighton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin,Zeegelaar,DEF,WAT,4500000,1,23,1.53333333333333,3.40740740740741E-07,5.11111111111111E-06,0,9515,2,5,0,0,0,0,0,5.2,3970,0,-1,23,0,1.3,0,5.8,5,0,2,0,2,1.6,90290,0,0,0,1,360,29825,1,0,103,Burnley,Crystal Palace,Huddersfield,Brighton,Leicester,1.2,2.1,1.3,1.3,0.8,0.8,0.9,0.8,0.9,1.1,0.8,1.2,0.8,1,0.8,0.9,0.8,0.8,1.1,2,1.1,0.9,0.8,16.6
Oleksandr,Zinchenko,MID,MCI,5000000,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,24,0,0,0,Man Utd,Swansea,Tottenham,Bournemouth,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurt,Zouma,DEF,STK,5500000,2,36,2.6,4.72727272727273E-07,6.54545454545455E-06,0,107197,0,26,0,0,0,1,0,6.5,4403,0,0,36,0,0.5,0,3,4,0,2,0,0,2.3,63367,0,0,0,0,1260,1468,0,0,248,Tottenham,Burnley,West Ham,West Brom,Huddersfield,2.2,2.3,3.2,2.9,2.2,2.3,2.5,1.5,3.4,2.4,2,2.9,1.7,2.3,1.7,2.2,1.6,2.6,2.4,2.5,1.9,3.8,2.1,53.6
