FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marcos,Alonso,DEF,CHE,7200000,2,146,4.9,6.80555555555556E-07,2.02777777777778E-05,0,1553002,5,27,0,0,0,6,0,20.3,7239,2,0,146,-2,0.2,0,1.5,13,0,12,0,1,19.7,1662423,0,0,0,4,2585,8045,0,0,580,Southampton,Burnley,Swansea,Liverpool,Huddersfield,11.4,0,5.2,13.4,4.8,185.2
Daniel,Amartey,MID,LEI,4300000,0,13,1.6,3.72093023255814E-07,3.02325581395349E-06,0,27619,0,7,0,0,0,0,0,3,97,-2,0,13,2,0,0,0,0,0,3,0,0,0.2,23730,0,0,0,0,486,6,0,1,53,Burnley,Southampton,Crystal Palace,West Ham,Arsenal,0,0,0,0,0,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,711,0,1,0,0,0,0,0,0.2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,798,0,0,0,0,10,4,0,0,6,Southampton,Burnley,Swansea,Liverpool,Huddersfield,0,0,0,0,0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2,4E-07,1.2E-06,0,7653,0,3,0,0,0,0,0,1.2,2,0,0,6,0,0,0,0,0,0,1,0,0,0,3628,0,0,0,0,198,0,0,0,11,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,0,0,0,0,0,8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,51997,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0.3,59772,0,0,0,0,0,7,0,0,0,Brighton,Watford,Leicester,Stoke,West Brom,0,0,0,0,0,0
,Andre Ayew,MID,SWA,6800000,2,63,1.96875,2.89522058823529E-07,9.26470588235294E-06,0,104412,4,31,0,0,0,3,0,9.3,359,-2,0,63,2,0.3,1,2,2,0,3,0,4,1,55732,0,0,0,0,1294,48,0,0,195,Everton,Man City,Chelsea,Bournemouth,Southampton,2,1,1.3,2.7,1.5,63.7
Michail,Antonio,MID,WHU,7400000,0,62,3,4.05405405405405E-07,8.37837837837838E-06,0,89413,1,23,0,0,0,3,0,8.4,215,-1,0,62,1,0.1,0,0.5,1,0,7,0,2,0.2,85785,0,0,0,0,1350,15,0,0,188,Stoke,Arsenal,Man City,Leicester,Man Utd,0,0,0,0,0,94.6
Scott,Arfield,MID,BUR,4900000,0,56,3.1,6.3265306122449E-07,1.14285714285714E-05,0,44014,3,15,0,0,0,2,0,11.4,98,-1,0,56,1,0,0,0,6,0,6,0,2,0.2,48011,0,0,0,2,1330,0,0,0,185,Leicester,Chelsea,Stoke,Brighton,Arsenal,0,0,0,0,0,60.1
Marko,Arnautovic,MID,WHU,6900000,5,114,4.6,6.66666666666667E-07,1.65217391304348E-05,0,1020228,3,40,0,0,0,9,0,16.5,5693,-1,0,114,1,1.5,0,10.5,10,0,5,0,5,5,1283629,0,0,0,3,1781,15566,0,1,347,Stoke,Arsenal,Man City,Leicester,Man Utd,5.7,3.5,3.8,9.2,6.6,182.2
Harry,Arter,MID,BOU,4700000,0,27,0.818181818181818,1.74081237911025E-07,5.74468085106383E-06,0,41508,4,13,0,0,0,1,0,5.7,48,-3,0,27,3,0,0,0,0,0,3,0,0,0.4,13944,0,0,0,0,959,18,0,0,156,Liverpool,Man Utd,Southampton,Swansea,Burnley,0.8,0,0.4,0.4,0.4,29.2
Christian,Atsu,MID,NEW,4800000,1,78,2.8,5.83333333333333E-07,1.625E-05,0,527052,1,22,0,0,0,2,0,16.3,842,-2,0,78,2,0.2,0,1,5,0,6,0,4,1.4,453291,0,0,0,1,1776,147,0,0,236,Arsenal,Everton,West Brom,Watford,Tottenham,3,2.3,3.1,3.4,2.4,112.9
Pierre-Emerick,Aubameyang,FWD,ARS,10800000,6,45,1.40625,1.30208333333333E-07,4.16666666666667E-06,0,268495,0,8,0,0,0,6,0,4.2,53831,3,0,45,-3,0.9,1,9.5,6,0,2,0,1,13.9,1096015,0,0,0,1,610,17753,0,0,186,Newcastle,West Ham,Man Utd,Burnley,Leicester,0.7,1.2,0.7,1.7,0.7,63.8
Serge,Aurier,DEF,TOT,5900000,1,75,2.34375,3.97245762711864E-07,1.27118644067797E-05,0,96794,1,12,0,0,0,2,0,12.7,1323,-1,0,75,1,0.1,0,0.5,9,0,6,0,2,1,136182,0,0,0,3,1337,1130,0,1,323,Man City,Brighton,Watford,West Brom,Newcastle,3.7,0,2.7,3.5,1.9,78.6
Charlie,Austin,FWD,SOU,5800000,5,60,1.875,3.23275862068966E-07,1.03448275862069E-05,0,448716,1,14,0,0,0,7,0,10.3,259,-7,0,60,7,0.6,0,3.5,9,0,1,0,0,0.8,411885,0,0,0,1,696,4719,0,0,191,Chelsea,Leicester,Bournemouth,Everton,Swansea,2.5,0,1.6,2.4,1.3,84.1
Cesar,Azpilicueta,DEF,CHE,6900000,11,154,5,7.2463768115942E-07,2.23188405797101E-05,0,1036723,1,31,0,0,0,2,0,22.3,3465,4,0,154,-4,0.9,0,6,22,0,13,0,6,20.2,1415418,1,0,0,4,2790,16879,0,0,785,Southampton,Burnley,Swansea,Liverpool,Huddersfield,11.8,0,5.3,13.8,4.9,145.7
Daniel,Bachmann,GLK,WAT,4000000,0,0,0,0,0,0,3804,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8394,0,0,0,0,0,23,0,0,0,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,0,0,0,0,0,0
,Badou Ndiaye,MID,STK,5100000,1,18,0.545454545454545,1.06951871657754E-07,3.52941176470588E-06,0,1315,2,12,0,0,0,0,0,3.5,39,-4,0,18,4,0.4,0,1.8,0,0,1,0,1,0,2233,0,0,0,0,688,9,0,0,66,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0.3,0.3,0.3,0.3,0.3,31.7
Eric,Bailly,DEF,MUN,6000000,1,48,1.5,2.5E-07,8E-06,0,888636,2,6,0,0,0,1,0,8,822,0,0,48,0,0.1,0,0.5,3,0,6,0,0,5.9,614328,1,0,0,1,909,2109,0,0,218,West Brom,Bournemouth,Arsenal,Brighton,West Ham,2,0,1.4,1.7,1.4,31.4
Leighton,Baines,DEF,EVE,5600000,6,57,1.72727272727273,3.08441558441558E-07,1.01785714285714E-05,0,467133,1,29,0,0,0,2,0,10.2,1490,-4,0,57,4,0.5,0,3,5,0,3,0,2,3.7,134195,0,0,0,2,1459,1822,0,0,281,Swansea,Newcastle,Huddersfield,Southampton,West Ham,0.9,1.3,0.9,1.5,1.1,67.7
Tiemoue,Bakayoko,MID,CHE,4900000,0,68,2.7,5.51020408163265E-07,1.38775510204082E-05,0,349051,2,20,0,0,0,2,0,13.9,248,-1,0,68,1,0,0,0,5,0,9,0,2,1.2,358403,0,0,0,1,1761,81,0,1,309,Southampton,Burnley,Swansea,Liverpool,Huddersfield,4.1,0,2,4.9,2,100.1
Sam,Baldock,FWD,BHA,4900000,0,2,0.0625,1.27551020408163E-08,4.08163265306122E-07,0,2885,0,1,0,0,0,0,0,0.4,19,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,0,2505,0,0,0,0,30,16,0,0,4,Crystal Palace,Tottenham,Burnley,Man Utd,Man City,0,0,0,0,0,0.7
Beni,Baningime,MID,EVE,4500000,1,7,0.212121212121212,4.71380471380471E-08,1.55555555555556E-06,0,500,0,1,0,0,0,0,0,1.6,7,0,0,7,0,0.2,0,0.7,0,0,0,0,0,0,624,0,0,0,0,171,11,0,0,20,Swansea,Newcastle,Huddersfield,Southampton,West Ham,0.1,0.1,0.1,0.1,0.1,0.8
Phil,Bardsley,DEF,BUR,4200000,0,33,1.03125,2.45535714285714E-07,7.85714285714286E-06,0,66369,5,13,0,0,0,0,0,7.9,607,-3,0,33,3,0,0,0,0,0,4,0,0,0.4,79744,0,0,0,0,1125,75,0,0,193,Leicester,Chelsea,Stoke,Brighton,Arsenal,1.1,0.5,0.7,0.5,0.5,38.3
Ross,Barkley,MID,CHE,7300000,0,1,0.03125,4.28082191780822E-09,1.36986301369863E-07,0,14536,0,1,0,0,0,0,0,0.1,21,-2,0,1,2,0,0,0,0,0,0,0,0,0.1,5542,0,0,0,0,53,8,0,0,4,Southampton,Burnley,Swansea,Liverpool,Huddersfield,0,0,0,0,0,3.9
Ashley,Barnes,FWD,BUR,5400000,2,74,2.4,4.44444444444444E-07,1.37037037037037E-05,0,128389,8,18,0,0,0,7,0,13.7,3302,-1,0,74,1,0.7,0,4,6,0,4,0,0,4.3,331756,0,0,0,0,1792,15169,0,0,232,Leicester,Chelsea,Stoke,Brighton,Arsenal,3.9,2.2,2.5,1.4,2.4,122
Modou,Barrow,MID,SWA,5000000,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1,0,0,0,Everton,Man City,Chelsea,Bournemouth,Southampton,0,0,0,0,0,0
Gareth,Barry,MID,WBA,4500000,0,56,2.2,4.88888888888889E-07,1.24444444444444E-05,0,134490,4,35,0,0,0,1,0,12.4,318,0,0,56,0,0,0,0,0,0,4,0,2,0.8,70636,0,0,0,0,1921,3,0,0,287,Man Utd,Liverpool,Newcastle,Tottenham,Crystal Palace,0,0,0,0,0,82
Kyle,Bartley,DEF,SWA,4300000,0,4,0.125,2.90697674418605E-08,9.30232558139535E-07,0,5759,2,3,0,0,0,0,0,0.9,14,-2,0,4,2,0,0,0,0,0,0,0,0,0.1,1377,0,0,0,0,210,12,0,0,25,Everton,Man City,Chelsea,Bournemouth,Southampton,0.1,0.1,0.1,0.2,0.1,10.5
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.59259259259259E-07,3.08641975308642E-06,0,181790,0,7,0,0,0,2,0,3.1,43,-4,0,25,4,0,0,0,3,0,1,0,1,0.5,121636,1,0,0,1,351,1,0,0,77,Southampton,Burnley,Swansea,Liverpool,Huddersfield,0,0,0,0,0,25.7
Moritz,Bauer,DEF,STK,4500000,1,25,0.757575757575758,1.68350168350168E-07,5.55555555555556E-06,0,29784,2,14,0,0,0,0,0,5.6,831,0,0,25,0,0.2,0,0.8,0,0,3,0,0,0.5,60350,0,0,0,0,900,77,0,0,138,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0.4,0.4,0.4,0.6,0.4,30.4
Jan,Bednarek,DEF,SOU,4100000,0,0,0,0,0,0,9782,0,0,0,0,0,0,0,0,34,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,2800,0,0,0,0,0,27,0,0,0,Chelsea,Leicester,Bournemouth,Everton,Swansea,0,0,0,0,0,0
Asmir,Begovic,GLK,BOU,4500000,2,95,2.9,6.44444444444444E-07,2.11111111111111E-05,0,267361,2,53,0,96,0,0,0,21.1,1890,0,0,95,0,0.5,0,2.3,4,0,5,0,0,4.4,216820,0,0,1,3,2970,1131,0,0,541,Liverpool,Man Utd,Southampton,Swansea,Burnley,5.5,0,2.8,3,2.5,70.2
Valon,Behrami,MID,WAT,4500000,0,0,0,0,0,0,10014,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,646,0,0,0,0,0,0,0,0,0,Huddersfield,Crystal Palace,Tottenham,Newcastle,Man Utd,0,0,0,0,0,0
Hector,Bellerin,DEF,ARS,5900000,0,107,3.5,5.93220338983051E-07,1.8135593220339E-05,0,918570,5,41,0,0,0,2,0,18.1,4952,-1,0,107,1,0.5,0,3,7,0,10,0,2,9.9,684319,0,0,0,1,2690,2228,0,0,538,Newcastle,West Ham,Man Utd,Burnley,Leicester,2.3,5.1,2.2,6.4,2.5,141.5
Yohan,Benalouane,DEF,LEI,4200000,0,0,0,0,0,0,3693,0,0,0,0,0,0,0,0,12,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1636,0,0,0,0,0,11,0,0,0,Burnley,Southampton,Crystal Palace,West Ham,Arsenal,0,0,0,0,0,0
Christian,Benteke,FWD,CRY,7500000,0,75,2.9,3.86666666666667E-07,1E-05,0,512300,6,36,0,0,0,2,0,10,3655,-5,1,75,5,0.1,1,1,5,0,6,0,7,2.6,184671,0,0,0,0,2153,33,-1,0,141,Brighton,Watford,Leicester,Stoke,West Brom,0,0,3.1,2.9,3.4,145.9
