FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Allan-Romeo,Nyom,DEF,WBA,5000000,0,25,4.2,8.4E-07,5E-06,0,116022,1,6,0,0,0,0,0,5,20993,0,0,25,0,0.1,0,0.3,6,0,2,0,1,2.3,168570,0,0,0,0,438,399,0,0,108,Leicester,Southampton,Man City,Huddersfield,Chelsea,2.9,5.5,3.6,4.6,4.3,5.4,5.5,5.9,4.9,3.2,4.3,3.8,5.2,6.3,3.3,6.3,3.3,3.1,5,4.8,5.5,5.9,4.7,3.7,4.9,4.1,2.7,5.9,3.7,4.3,5.1,16.3
Tashan,Oakley-Boothe,MID,TOT,4500000,0,0,0,0,0,0,685,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,988,0,0,0,0,0,166,0,0,0,Bournemouth,Liverpool,Man Utd,Crystal Palace,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro,Obiang,MID,WHU,4500000,0,17,0.809523809523809,1.7989417989418E-07,3.77777777777778E-06,0,91641,0,5,0,0,0,1,0,3.8,14264,0,0,17,0,0.2,0,1,3,0,2,0,0,1.8,130610,0,0,0,1,284,2420,0,0,83,Burnley,Brighton,Crystal Palace,Liverpool,Watford,0,0.5,0.4,0.5,0.4,0.6,0.4,0.4,0.4,0.9,0.4,0.5,0.4,0.4,0.5,0.4,0.7,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.7,13.4
Angelo,Ogbonna,DEF,WHU,4400000,0,2,0.0952380952380952,2.16450216450216E-08,4.54545454545455E-07,0,26494,1,13,0,0,0,0,0,0.5,2631,-1,0,2,1,0.1,0,0.3,0,0,0,0,0,0.8,8688,0,0,0,0,360,434,0,0,57,Burnley,Brighton,Crystal Palace,Liverpool,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Stefano,Okaka,FWD,WAT,5400000,0,7,0.333333333333333,6.17283950617284E-08,1.2962962962963E-06,0,50069,0,3,0,0,0,1,0,1.3,2339,-1,0,7,1,0,0,0,1,0,0,0,0,0.5,41749,0,0,0,0,62,697,0,0,26,Arsenal,Chelsea,Stoke,Everton,West Ham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.4
Shinji,Okazaki,FWD,LEI,5600000,2,22,3.7,6.60714285714286E-07,3.92857142857143E-06,0,193286,1,5,0,0,0,3,0,3.9,29251,1,0,22,-1,0.5,0,2.7,1,0,2,0,0,5.6,342341,0,0,0,0,367,50933,0,0,83,West Brom,Swansea,Everton,Stoke,Man City,4.5,3.8,5.3,3.7,3.2,2.3,2.7,3.6,2.8,3.7,5.2,3.6,4.3,2.8,3.7,3.2,3.3,3.7,3.1,2.7,5.4,5.2,2.9,5.5,3.2,4.4,3.3,3.2,4.5,5.4,3.6,28.8
Martin,Olsson,DEF,SWA,5000000,6,27,3.9,7.8E-07,5.4E-06,0,7433,0,7,0,0,0,0,0,5.4,934,0,0,27,0,0.9,0,4.3,0,0,4,0,0,0.3,8124,0,0,0,0,626,1624,0,0,119,Huddersfield,Leicester,Arsenal,Brighton,Burnley,3.6,2.9,3,4.9,5.2,3.8,5.3,4.5,4.3,2.1,4,4.3,3.9,5.8,2.6,4.4,4.1,5,3.6,3.1,5,5,5.2,3.1,3.4,5.1,3.4,3.8,2.6,4.4,3.9,11.9
Divock,Origi,FWD,LIV,7400000,0,1,1,1.35135135135135E-07,1.35135135135135E-07,0,20326,0,1,0,0,0,0,0,0.1,499,-1,0,1,1,0,0,0,0,0,0,0,0,0.2,1050,0,0,0,0,9,18,0,0,3,Man Utd,Tottenham,Huddersfield,West Ham,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oriol Romeu,MID,SOU,4500000,1,14,2,4.44444444444444E-07,3.11111111111111E-06,0,110733,3,7,0,0,0,0,0,3.1,12326,0,0,14,0,0.4,0,2,0,0,3,0,0,3.2,49846,0,0,0,0,630,8085,0,0,104,Newcastle,West Brom,Brighton,Burnley,Liverpool,1.4,1.2,1.3,1,1,1.8,1.2,1.8,2.3,1.4,2.1,1,2,1,1.5,2,1,1.3,1.4,1.2,1.8,1.2,1.6,2.7,1.4,1.2,1,1.6,1.7,2,1,34.5
David,Ospina,GLK,ARS,4900000,0,0,0,0,0,0,5290,0,0,0,0,0,0,0,0,433,-1,0,0,1,0,0,0,0,0,0,0,0,0.2,933,0,0,0,0,0,136,0,0,0,Watford,Everton,Swansea,Man City,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
