FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Trent,Alexander-Arnold,DEF,LIV,4300000,1,54,1.8,4.18604651162791E-07,1.25581395348837E-05,0,288959,3,13,0,0,0,1,0,12.6,8,-2,0,54,2,1,0,4.5,7,0,5,0,1,3.9,376798,0,0,0,3,1070,132,0,0,273,Watford,Crystal Palace,Everton,Bournemouth,West Brom,1.7,1.9,0.9,1.3,1,1.8,1.2,1.8,64.5
Joe,Allen,MID,STK,5100000,0,88,3.3,6.47058823529412E-07,1.72549019607843E-05,0,229250,6,42,0,0,0,2,0,17.3,6,-4,0,88,4,0.5,0,2.3,10,0,5,0,5,1.9,117533,0,0,0,2,2412,6,0,0,415,Everton,Arsenal,Tottenham,West Ham,Burnley,4.3,2.3,3,2.6,3.4,1.9,3.4,2.7,125
Bamidele,Alli,MID,TOT,8900000,0,127,4.5,5.0561797752809E-07,1.42696629213483E-05,0,2117982,6,22,0,0,0,5,0,14.3,40,-6,0,127,6,0.3,0,2.8,7,0,13,0,11,12.2,1021051,0,0,0,2,2357,15,0,0,396,Chelsea,Stoke,Man City,Brighton,Watford,0,3.7,4.1,3.8,3.7,5.2,4.3,5.6,208.1
Marcos,Alonso,DEF,CHE,7200000,0,141,5.2,7.22222222222222E-07,1.95833333333333E-05,0,1469839,5,22,0,0,0,6,0,19.6,49,2,0,141,-2,0.1,0,0.8,13,0,12,0,1,19.6,1576752,0,0,0,4,2323,39,0,0,547,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0,7.1,7.7,6.6,7.5,5.5,7.2,5.4,169.1
Daniel,Amartey,MID,LEI,4300000,0,13,0.433333333333333,1.0077519379845E-07,3.02325581395349E-06,0,25355,0,7,0,0,0,0,0,3,4,-2,0,13,2,0.1,0,0.3,0,0,3,0,0,0.3,23698,0,0,0,0,486,0,0,1,53,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,0,0,0.2,0.2,0.2,0.2,0.2,0.2,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,0.0333333333333333,7.40740740740741E-09,2.22222222222222E-07,0,654,0,1,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,766,0,0,0,0,10,0,0,0,6,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0,0,0,0,0,0,0,0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2,4E-07,1.2E-06,0,7641,0,3,0,0,0,0,0,1.2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,3626,0,0,0,0,198,0,0,0,11,Liverpool,Bournemouth,Burnley,Huddersfield,Crystal Palace,0,0,0,0,0,0,0,0,8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,51237,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,59642,0,0,0,0,0,0,0,0,0,Huddersfield,Liverpool,Bournemouth,Brighton,Watford,0,0,0,0,0,0,0,0,0
,Andre Ayew,MID,SWA,6800000,0,57,1.9,2.79411764705882E-07,8.38235294117647E-06,0,100951,3,28,0,0,0,3,0,8.4,0,-2,0,57,2,0.4,1,2.5,2,0,2,0,4,1,54083,0,0,0,0,1048,6,0,0,188,Man Utd,West Brom,Everton,Man City,Chelsea,0,1,1.1,2,1,1.3,1.2,1.5,61.2
Michail,Antonio,MID,WHU,7400000,0,59,1.96666666666667,2.65765765765766E-07,7.97297297297297E-06,0,84906,1,20,0,0,0,3,0,8,1,-1,0,59,1,0.6,0,4.5,1,0,7,0,2,0.3,84406,0,0,0,0,1252,12,0,0,163,Southampton,Chelsea,Stoke,Arsenal,Man City,0,1.5,1,1.6,1,1,1,2.1,84.1
Scott,Arfield,MID,BUR,4900000,0,56,1.86666666666667,3.80952380952381E-07,1.14285714285714E-05,0,42272,3,15,0,0,0,2,0,11.4,3,-1,0,56,1,0.1,0,0.3,6,0,6,0,2,0.2,47970,0,0,0,2,1330,0,0,0,185,West Brom,Watford,Leicester,Stoke,Brighton,0,1.1,1,1.4,1,1.4,0.9,1.5,60.1
Marko,Arnautovic,MID,WHU,7000000,0,91,3.03333333333333,4.33333333333333E-07,1.3E-05,0,916042,3,36,0,0,0,7,0,13,65,0,0,91,0,0.4,0,2.8,7,0,4,0,4,5.1,1186824,0,0,0,2,1522,26,0,1,286,Southampton,Chelsea,Stoke,Arsenal,Man City,0,2.9,1.9,3.2,1.8,2.1,2.1,3.9,150.7
Harry,Arter,MID,BOU,4700000,0,27,0.9,1.91489361702128E-07,5.74468085106383E-06,0,40836,4,13,0,0,0,1,0,5.7,0,-3,0,27,3,0,0,0,0,0,3,0,0,0.4,13741,0,0,0,0,959,0,0,0,156,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,29.2
Christian,Atsu,MID,NEW,4800000,0,75,3,6.25E-07,1.5625E-05,0,513315,1,21,0,0,0,2,0,15.6,13,-2,0,75,2,0.2,0,1,5,0,6,0,4,1.7,451463,0,0,0,1,1715,5,0,0,231,Huddersfield,Leicester,Arsenal,Everton,West Brom,0,3.5,2.3,3.2,2.7,3.4,2.2,2.6,111.8
Pierre-Emerick,Aubameyang,FWD,ARS,10400000,0,17,0.566666666666667,5.44871794871795E-08,1.63461538461538E-06,0,154696,0,7,0,0,0,2,0,1.6,74,-1,0,17,1,0.3,1,2.8,3,0,0,0,0,4.8,423819,0,0,0,0,360,45,0,0,68,Stoke,Southampton,Newcastle,West Ham,Man Utd,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,26.1
Serge,Aurier,DEF,TOT,5900000,0,61,2.03333333333333,3.44632768361582E-07,1.03389830508475E-05,0,85057,0,10,0,0,0,1,0,10.3,1,-1,0,61,1,0.6,0,3.3,7,0,6,0,1,0.6,104077,0,0,0,2,1157,1,0,1,268,Chelsea,Stoke,Man City,Brighton,Watford,0,1.4,1.5,1.5,1.4,2.1,1.2,1.7,62.8
Charlie,Austin,FWD,SOU,5900000,0,53,1.76666666666667,2.99435028248588E-07,8.98305084745763E-06,0,445979,1,10,0,0,0,6,0,9,3,-6,0,53,6,0,0,0,9,0,1,0,0,0.6,399730,0,0,0,1,596,0,0,0,163,West Ham,Arsenal,Chelsea,Leicester,Bournemouth,0,1.1,0.9,0.9,1.3,1.4,1.2,1.1,69.5
Cesar,Azpilicueta,DEF,CHE,6900000,0,139,5,7.2463768115942E-07,2.01449275362319E-05,0,959306,1,26,0,0,0,1,0,20.1,39,4,0,139,-4,0.4,0,2.8,18,0,13,0,6,20.5,1360914,1,0,0,3,2520,36,0,0,704,Tottenham,West Ham,Southampton,Huddersfield,Swansea,0,6.7,7.4,6.3,7.2,5.2,6.8,5.1,124.7
Daniel,Bachmann,GLK,WAT,4000000,0,0,0,0,0,0,3438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8073,0,0,0,0,0,0,0,0,0,Liverpool,Bournemouth,Burnley,Huddersfield,Crystal Palace,0,0,0,0,0,0,0,0,0
,Badou Ndiaye,MID,STK,5400000,0,11,0.366666666666667,6.79012345679012E-08,2.03703703703704E-06,0,769,1,3,0,0,0,0,0,2,0,-1,0,11,1,0.3,0,1.8,0,0,1,0,1,0,1811,0,0,0,0,328,0,0,0,41,Everton,Arsenal,Tottenham,West Ham,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,19.6
Eric,Bailly,DEF,MUN,6000000,1,48,1.6,2.66666666666667E-07,8E-06,0,877095,2,3,0,0,0,1,0,8,2,0,0,48,0,0.1,0,0.5,3,0,6,0,0,5.6,587738,0,0,0,1,730,25,0,0,204,Swansea,Man City,West Brom,Bournemouth,Arsenal,0,1.3,0.8,1.4,0.8,1.7,0.9,1.5,28.3
