FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Enner,Valencia,FWD,WHU,5000000,0,54,1.42105263157895,2.84210526315789E-07,1.08E-05,0,0,1,12,0,0,0,3,0,0,0,0,0,54,0,0,0,0,3,0,2,0,3,0.1,0,0,0,0,0,927,0,0,0,173,Man Utd,Southampton,Newcastle,Huddersfield,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
Patrick,van Aanholt,DEF,CRY,5500000,0,98,2.57894736842105,4.688995215311E-07,1.78181818181818E-05,0,0,3,53,0,0,0,5,0,0,0,0,0,98,0,0,0,0,9,0,5,0,1,4.4,0,0,0,0,0,2498,0,0,0,534,Huddersfield,Liverpool,Swansea,Burnley,Southampton,3.7,1.7,2.9,2.3,3.1,2.1,1.8,2.6,3.2,3.2,1.9,3.7,3.1,3.2,2.1,1.7,2.3,1.5,2.4,3,2.6,2.6,2.8,2.5,2.7,3.7,3.2,2.4,2.3,2,3.2,2.2,1.3,3.7,1.8,2,2.6,2.6,153.5
Mike,van der Hoorn,DEF,SWA,4500000,0,16,1.15738066081684E-27,2.57195702403743E-34,3.55555555555556E-06,0,0,1,20,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0.1,0,0,0,0,0,662,0,0,0,125,Southampton,Man Utd,Crystal Palace,Newcastle,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.3
Virgil,van Dijk,DEF,SOU,5500000,0,75,1.97368421052632,3.58851674641148E-07,1.36363636363636E-05,0,0,3,23,0,0,0,1,0,0,0,0,0,75,0,0,0,0,14,0,7,0,0,2.5,0,0,0,0,0,1852,0,0,1,435,Swansea,West Ham,Huddersfield,Watford,Crystal Palace,0,2.2,2.5,1.5,1.8,1.5,1.7,2.8,1.7,2.5,1.9,1.1,2.6,1.3,1,2,1.3,1.3,2.8,1.2,1.2,2.1,1.2,1.6,2.8,1.3,1.4,1.5,2.1,2.5,1.5,1.8,1.6,1.7,1,1,2.2,1.7,86
Rajiv,van La Parra,MID,HUD,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,Crystal Palace,Newcastle,Southampton,West Ham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamie,Vardy,FWD,LEI,8500000,0,161,4.23684210526316,4.98452012383901E-07,1.89411764705882E-05,0,0,2,57,0,0,0,13,0,0,0,0,0,161,0,0,0,0,24,0,7,0,8,4.9,0,0,0,0,0,2801,0,0,1,555,Arsenal,Brighton,Man Utd,Chelsea,Huddersfield,3.8,6,3.8,4.3,5.3,4.7,4.3,5.6,4.9,4.1,4.8,5.5,4.4,5.2,5.7,5.3,4.4,5.4,4.7,4.7,3.9,6,3.4,5.5,3.3,5.7,4.7,5.6,5.2,4.8,4.7,5.3,6,4.9,5.2,4.5,5.2,4.3,202.5
Jan,Vertonghen,DEF,TOT,6000000,0,126,3.31578947368421,5.52631578947368E-07,2.1E-05,0,0,5,21,0,0,0,0,0,0,0,0,0,126,0,0,0,0,8,0,15,0,0,10.3,0,0,0,0,0,2894,0,0,0,733,Newcastle,Chelsea,Burnley,Everton,Swansea,4.1,3.7,4,4.1,4.1,3.8,4.1,2.5,3.2,2.7,4.4,3.6,3.7,2.3,2.7,4.4,4.7,3.1,3.3,4.4,4.4,3.5,4.7,3.8,3.4,2.6,4.2,3.8,4.7,1.9,4.7,3,3.8,3.7,4.1,3.4,3,3,105.1
Sam,Vokes,FWD,BUR,6000000,0,121,3.18421052631579,5.30701754385965E-07,2.01666666666667E-05,0,0,0,34,0,0,0,10,0,0,0,0,0,121,0,0,0,0,12,0,5,0,4,2.6,0,0,0,0,0,2064,0,0,0,394,Chelsea,West Brom,Tottenham,Crystal Palace,Liverpool,2.2,3.8,2.8,3.6,2.5,4.5,2.1,3.5,3.1,4.5,2.8,3.9,3.1,2.8,2.7,3.7,3.8,4,3.4,2.4,4,3.1,3,3.1,4,3.7,3.2,3.5,2.7,2.8,2.8,3.2,3.1,3.4,3.2,4.5,2.4,3.4,164.6
Michel,Vorm,GLK,TOT,5000000,0,17,1.22971695211789E-27,2.45943390423579E-34,3.4E-06,0,0,0,2,0,7,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0.1,0,0,0,0,0,416,0,0,0,81,Newcastle,Chelsea,Burnley,Everton,Swansea,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9
Molla,Wague,DEF,LEI,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arsenal,Brighton,Man Utd,Chelsea,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theo,Walcott,MID,ARS,7500000,0,122,8.82502753872842E-27,1.17667033849712E-33,1.62666666666667E-05,0,0,1,26,0,0,0,10,0,0,0,0,0,122,0,0,1,0,7,0,8,0,3,3.1,0,0,0,0,0,1916,0,0,0,380,Leicester,Stoke,Liverpool,Bournemouth,Chelsea,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.1
