FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marc,Albrighton,MID,LEI,5500000,0,109,3.3,6E-07,1.98181818181818E-05,0,413215,5,37,0,0,0,2,0,19.8,2904,0,1,109,0,0.4,0,2,12,0,8,0,8,3.1,476350,0,0,0,2,2478,1142,-1,0,452,Crystal Palace,West Ham,Arsenal,Tottenham,,2.6,7.3,2.1,158.1
Toby,Alderweireld,DEF,TOT,5800000,0,40,1.17647058823529,2.02839756592292E-07,6.89655172413793E-06,0,658619,3,8,0,0,0,0,0,6.9,150,-2,0,40,2,0.1,0,0.5,3,0,5,0,0,5,167874,0,0,0,0,990,435,0,0,218,Watford,West Brom,Newcastle,Leicester,,0.9,1.2,0.6,30.7
Trent,Alexander-Arnold,DEF,LIV,4400000,0,69,1.97142857142857,4.48051948051948E-07,1.56818181818182E-05,0,340301,3,16,0,0,0,1,0,15.7,4013,-1,0,69,1,0.9,0,3.8,10,0,6,0,2,4.9,489797,0,0,0,3,1329,3491,0,0,335,Stoke,Chelsea,Brighton,,,2,1.3,2.1,79.3
Joe,Allen,MID,STK,5100000,2,103,3.1,6.07843137254902E-07,2.01960784313726E-05,0,252920,8,53,0,0,0,2,0,20.2,1013,-4,0,103,4,0.4,0,1.8,12,0,5,0,6,1.8,131083,0,0,0,2,2952,144,0,0,498,Liverpool,Crystal Palace,Swansea,,,1.7,2.8,2.5,149.2
Bamidele,Alli,MID,TOT,9000000,0,161,5,5.55555555555556E-07,1.78888888888889E-05,0,2268074,6,28,0,0,0,8,0,17.9,4658,-5,0,161,5,0.6,0,5.8,12,0,13,0,13,13.2,1228871,0,0,0,3,2704,6644,0,0,520,Watford,West Brom,Newcastle,Leicester,,6.2,11.8,6,246.4
Marcos,Alonso,DEF,CHE,7100000,0,150,4.8,6.76056338028169E-07,2.11267605633803E-05,0,1748389,5,29,0,0,0,6,0,21.1,39772,1,1,150,-1,0.3,0,1.8,13,0,12,0,2,16.8,1685240,0,0,0,4,2675,162,-1,0,600,Swansea,Liverpool,Huddersfield,Newcastle,,0,13.2,4.5,189.6
Daniel,Amartey,MID,LEI,4300000,0,13,1.6,3.72093023255814E-07,3.02325581395349E-06,0,28114,0,7,0,0,0,0,0,3,55,-2,0,13,2,0,0,0,0,0,3,0,0,0.2,23762,0,0,0,0,486,5,0,1,53,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,724,0,1,0,0,0,0,0,0.2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,813,0,0,0,0,10,4,0,0,6,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2,4E-07,1.2E-06,0,7654,0,3,0,0,0,0,0,1.2,0,0,0,6,0,0,0,0,0,0,1,0,0,0,3629,0,0,0,0,198,0,0,0,11,Tottenham,Newcastle,Man Utd,,,0,0,0,8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,52304,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0.3,59817,0,0,0,0,0,12,0,0,0,Leicester,Stoke,West Brom,,,0,0,0,0
,Andre Ayew,MID,SWA,6800000,2,67,2.6,3.82352941176471E-07,9.85294117647059E-06,0,105828,4,37,0,0,0,3,0,9.9,169,-2,0,67,2,0.3,1,2,2,0,3,0,4,1,56536,0,0,0,0,1474,184,0,0,208,Chelsea,Bournemouth,Southampton,Stoke,,2.2,4.3,2.4,74.4
Michail,Antonio,MID,WHU,7400000,0,62,3,4.05405405405405E-07,8.37837837837838E-06,0,90135,1,23,0,0,0,3,0,8.4,50,-1,0,62,1,0,0,0.3,1,0,7,0,2,0.2,85845,0,0,0,0,1350,9,0,0,188,Man City,Leicester,Man Utd,Everton,,0,0,0,94.6
Scott,Arfield,MID,BUR,4900000,0,56,3.1,6.3265306122449E-07,1.14285714285714E-05,0,44448,3,15,0,0,0,2,0,11.4,33,-1,0,56,1,0,0,0,6,0,6,0,2,0.2,48027,0,0,0,2,1330,1,0,0,185,Brighton,Arsenal,Bournemouth,,,0,0,0,60.1
Marko,Arnautovic,MID,WHU,7000000,6,122,4.5,6.42857142857143E-07,1.74285714285714E-05,0,1058202,4,45,0,0,0,10,0,17.4,7714,0,0,122,0,1,0,7.3,10,0,5,0,5,6.1,1387139,0,0,0,3,1961,10399,0,1,368,Man City,Leicester,Man Utd,Everton,,3.7,8.6,6.5,201.2
Harry,Arter,MID,BOU,4700000,0,27,0.771428571428571,1.64133738601824E-07,5.74468085106383E-06,0,41712,4,13,0,0,0,1,0,5.7,23,-3,0,27,3,0,0,0,0,0,3,0,0,0.4,14051,0,0,0,0,959,20,0,0,156,Southampton,Swansea,Burnley,,,0.4,0.4,0.4,29.2
Christian,Atsu,MID,NEW,4800000,0,78,2.8,5.83333333333333E-07,1.625E-05,0,533686,1,22,0,0,0,2,0,16.3,1176,-2,0,78,2,0.1,0,0.5,5,0,6,0,4,1.3,453902,0,0,0,1,1776,13,0,0,236,West Brom,Watford,Tottenham,Chelsea,,3.1,3.3,2.4,112.9
Pierre-Emerick,Aubameyang,FWD,ARS,10800000,4,54,1.58823529411765,1.47058823529412E-07,5E-06,0,510361,0,10,0,0,0,6,0,5,58839,3,0,54,-3,0.6,1,7,6,0,2,0,3,14.1,1335298,0,0,0,1,720,5443,0,0,219,Man Utd,Burnley,Leicester,Huddersfield,,0.8,2,0.8,78.4
Serge,Aurier,DEF,TOT,5900000,0,77,2.26470588235294,3.83848454636092E-07,1.30508474576271E-05,0,105027,1,13,0,0,0,2,0,13.1,793,-1,0,77,1,0.1,0,0.8,9,0,6,0,2,0.9,137400,0,0,0,3,1427,246,0,1,335,Watford,West Brom,Newcastle,Leicester,,2.5,3.3,1.8,81.4
Charlie,Austin,FWD,SOU,5800000,0,62,1.82352941176471,3.14401622718053E-07,1.06896551724138E-05,0,464436,1,14,0,0,0,7,0,10.7,1068,-7,0,62,7,0.4,0,2.3,9,0,1,0,0,1.1,449821,0,0,0,1,724,2103,0,0,197,Bournemouth,Everton,Swansea,Man City,,1.6,2.2,1.2,86.2
Cesar,Azpilicueta,DEF,CHE,6900000,0,157,4.8,6.95652173913044E-07,2.27536231884058E-05,0,1104850,1,34,0,0,0,2,0,22.8,4497,4,0,157,-4,0.6,0,3.8,22,0,13,0,6,20.3,1490750,1,0,0,4,2970,16611,0,0,812,Swansea,Liverpool,Huddersfield,Newcastle,,5,13.2,4.5,149.9
Daniel,Bachmann,GLK,WAT,4000000,0,0,0,0,0,0,4007,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0.1,8539,0,0,0,0,0,14,0,0,0,Tottenham,Newcastle,Man Utd,,,0,0,0,0
,Badou Ndiaye,MID,STK,5000000,9,28,0.8,1.6E-07,5.6E-06,0,1466,4,14,0,0,0,1,0,5.6,16,-5,0,28,5,0.7,0,3.3,3,0,1,0,1,0,2341,0,0,0,0,868,74,0,0,108,Liverpool,Crystal Palace,Swansea,,,0.4,0.4,0.4,42.5
Eric,Bailly,DEF,MUN,6000000,0,48,1.41176470588235,2.35294117647059E-07,8E-06,0,897544,2,6,0,0,0,1,0,8,1489,0,0,48,0,0.1,0,0.3,3,0,6,0,0,5.8,619685,1,0,0,1,909,115,0,0,218,Arsenal,Brighton,West Ham,Watford,,1.2,1.5,1.3,31.4
Leighton,Baines,DEF,EVE,5600000,8,67,1.91428571428571,3.41836734693878E-07,1.19642857142857E-05,0,475487,1,30,0,0,0,2,0,12,1917,-4,0,67,4,0.8,0,4.3,7,0,4,0,2,4,155248,0,0,0,2,1639,1052,0,0,324,Huddersfield,Southampton,West Ham,,,1,1.8,1.3,73.5
Tiemoue,Bakayoko,MID,CHE,4900000,0,70,2.7,5.51020408163265E-07,1.42857142857143E-05,0,350273,2,21,0,0,0,2,0,14.3,150,-1,0,70,1,0.1,0,0.5,5,0,9,0,2,1.2,358681,0,0,0,1,1851,41,0,1,322,Swansea,Liverpool,Huddersfield,Newcastle,,2,5,2,105.2
Sam,Baldock,FWD,BHA,4900000,0,2,0.0588235294117647,1.20048019207683E-08,4.08163265306122E-07,0,2964,0,1,0,0,0,0,0,0.4,17,-1,0,2,1,0.1,0,0.3,0,0,0,0,0,0,2595,0,0,0,0,30,13,0,0,4,Burnley,Man Utd,Man City,Liverpool,,0,0,0,0.7
Beni,Baningime,MID,EVE,4500000,0,7,0.2,4.44444444444444E-08,1.55555555555556E-06,0,520,1,2,0,0,0,0,0,1.6,3,0,0,7,0,0.1,0,0.5,0,0,0,0,0,0,653,0,0,0,0,192,4,0,0,20,Huddersfield,Southampton,West Ham,,,0.1,0.1,0.1,1.3
Phil,Bardsley,DEF,BUR,4100000,0,33,0.942857142857143,2.29965156794425E-07,8.04878048780488E-06,0,69469,5,13,0,0,0,0,0,8,339,-4,1,33,4,0,0,0,0,0,4,0,0,0.4,80181,0,0,0,0,1125,74,-1,0,193,Brighton,Arsenal,Bournemouth,,,0.6,0.5,0.5,38.3
Ross,Barkley,MID,CHE,7300000,0,1,0.0294117647058824,4.0290088638195E-09,1.36986301369863E-07,0,14607,0,1,0,0,0,0,0,0.1,16,-2,0,1,2,0,0,0,0,0,0,0,0,0.2,5613,0,0,0,0,53,13,0,0,4,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,3.9
Ashley,Barnes,FWD,BUR,5400000,7,89,2.6,4.81481481481482E-07,1.64814814814815E-05,0,152348,10,22,0,0,0,9,0,16.5,4996,-1,0,89,1,0.9,0,4.6,9,0,4,0,0,5.3,411508,0,0,0,0,2039,7824,0,0,285,Brighton,Arsenal,Bournemouth,,,2.8,1.6,2.7,137.6
Harvey,Barnes,MID,LEI,4500000,0,1,0.0294117647058824,6.5359477124183E-09,2.22222222222222E-07,0,17,0,0,0,0,0,0,0,0.2,6,0,0,1,0,0.1,0,0.5,0,0,0,0,0,0,45,0,0,0,0,1,11,0,0,2,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,0.3
Modou,Barrow,MID,SWA,5000000,0,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,Chelsea,Bournemouth,Southampton,Stoke,,0,0,0,0
Gareth,Barry,MID,WBA,4400000,0,56,2.2,5E-07,1.27272727272727E-05,0,136039,4,35,0,0,0,1,0,12.7,168,-1,0,56,1,0,0,0,0,0,4,0,2,0.8,70666,0,0,0,0,1921,8,0,0,287,Newcastle,Tottenham,Crystal Palace,,,0,0,0,82
Kyle,Bartley,DEF,SWA,4300000,1,5,0.147058823529412,3.41997264021888E-08,1.16279069767442E-06,0,5809,2,4,0,0,0,0,0,1.2,12,-2,0,5,2,0.1,0,0.3,0,0,0,0,0,0.1,1419,0,0,0,0,233,14,0,0,29,Chelsea,Bournemouth,Southampton,Stoke,,0.1,0.2,0.1,11.2
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.59259259259259E-07,3.08641975308642E-06,0,181896,0,7,0,0,0,2,0,3.1,22,-4,0,25,4,0,0,0,3,0,1,0,1,0.5,121643,1,0,0,1,351,3,0,0,77,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,25.7
Moritz,Bauer,DEF,STK,4500000,2,34,0.971428571428571,2.15873015873016E-07,7.55555555555556E-06,0,34455,2,15,0,0,0,0,0,7.6,998,0,0,34,0,0.6,0,2.8,1,0,4,0,0,0.5,63731,0,0,0,0,1037,52,0,0,169,Liverpool,Crystal Palace,Swansea,,,0.5,0.9,0.5,36.6
Jan,Bednarek,DEF,SOU,4100000,0,13,0.382352941176471,9.32568149210904E-08,3.17073170731707E-06,0,10568,0,3,0,0,0,1,0,3.2,299,-4,0,13,4,0.8,0,3.3,0,0,1,0,0,0.2,9600,0,0,0,1,180,3847,0,0,48,Bournemouth,Everton,Swansea,Man City,,0.2,0.4,0.2,8.3
Asmir,Begovic,GLK,BOU,4500000,0,98,2.8,6.22222222222222E-07,2.17777777777778E-05,0,284722,2,58,0,101,0,0,0,21.8,1233,0,0,98,0,0.4,0,1.8,4,0,5,0,0,4.2,221190,0,0,1,3,3150,437,0,0,571,Southampton,Swansea,Burnley,,,2.7,2.9,2.4,73.5
Valon,Behrami,MID,WAT,4500000,0,0,0,0,0,0,10036,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,648,0,0,0,0,0,1,0,0,0,Tottenham,Newcastle,Man Utd,,,0,0,0,0
Hector,Bellerin,DEF,ARS,5900000,2,109,3.4,5.76271186440678E-07,1.84745762711864E-05,0,941463,5,42,0,0,0,2,0,18.5,4621,-1,0,109,1,0.3,0,2,7,0,10,0,2,10,712096,0,0,0,1,2780,957,0,0,553,Man Utd,Burnley,Leicester,Huddersfield,,2.2,6.1,2.4,145.6
Yohan,Benalouane,DEF,LEI,4200000,0,0,0,0,0,0,3753,0,0,0,0,0,0,0,0,8,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1691,0,0,0,0,0,6,0,0,0,Crystal Palace,West Ham,Arsenal,Tottenham,,0,0,0,0
Christian,Benteke,FWD,CRY,7500000,1,77,2.8,3.73333333333333E-07,1.02666666666667E-05,0,520826,6,36,0,0,0,2,0,10.3,1128,-5,0,77,5,0.1,1,0.8,5,0,6,0,7,2.5,189965,0,0,0,0,2181,330,0,0,147,Leicester,Stoke,West Brom,,,2.9,2.7,3.1,147.8
Saido,Berahino,FWD,STK,5600000,0,20,0.571428571428571,1.02040816326531E-07,3.57142857142857E-06,0,35809,0,13,0,0,0,0,0,3.6,31,-4,0,20,4,0.1,1,0.3,0,0,2,0,1,0.3,15448,0,0,0,0,483,17,0,0,42,Liverpool,Crystal Palace,Swansea,,,0.3,0.3,0.3,23.7
Steven,Berghuis,MID,WAT,5000000,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,Tottenham,Newcastle,Man Utd,,,0,0,0,0
,Bernardo Silva,MID,MCI,7200000,11,99,2.91176470588235,4.04411764705882E-07,1.375E-05,0,208697,0,9,0,0,0,5,0,13.8,867,-8,0,99,8,0.5,0,3.8,6,0,8,0,5,1.3,163272,0,0,0,2,1330,3847,0,0,398,West Ham,Huddersfield,Brighton,Southampton,,2.2,5.9,2.5,130.2
Ryan,Bertrand,DEF,SOU,5300000,0,87,2.8,5.28301886792453E-07,1.64150943396226E-05,0,803663,2,47,0,0,0,0,0,16.4,471,-2,0,87,2,0.5,0,2.8,4,0,6,0,5,5,310771,0,0,0,1,2785,1883,0,0,502,Bournemouth,Everton,Swansea,Man City,,2.3,4.1,2.3,127.9
Muhamed,Besic,MID,EVE,4200000,0,2,1,2.38095238095238E-07,4.76190476190476E-07,0,15539,0,0,0,0,0,0,0,0.5,28,-3,0,2,3,0,0,0,0,0,0,0,0,0.1,11680,0,0,0,0,46,9,0,0,10,Huddersfield,Southampton,West Ham,,,0,0,0,3
Philip,Billing,MID,HUD,4400000,0,18,0.529411764705882,1.20320855614973E-07,4.09090909090909E-06,0,38576,3,9,0,0,0,0,0,4.1,11,-1,0,18,1,0.2,0,0.7,0,0,3,0,0,0.2,32166,0,0,0,0,623,4,0,0,78,Everton,Man City,Chelsea,Arsenal,,0.3,0.6,0.3,16.4
Daley,Blind,DEF,MUN,5100000,0,21,0.617647058823529,1.21107266435986E-07,4.11764705882353E-06,0,189545,0,0,0,0,0,0,0,4.1,22,-4,0,21,4,0.1,0,0.3,0,0,3,0,0,0.9,135961,0,0,0,0,284,19,0,0,91,Arsenal,Brighton,West Ham,Watford,,0.3,0.6,0.3,15.2
Jeremie,Boga,MID,CHE,6000000,0,1,1,1.66666666666667E-07,1.66666666666667E-07,0,997,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,17,1,0,0,1,Swansea,Liverpool,Huddersfield,Newcastle,,0,0,0,0
,Bojan,MID,STK,5500000,0,2,2,3.63636363636364E-07,3.63636363636364E-07,0,6606,0,1,0,0,0,0,0,0.4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1884,0,0,0,0,71,0,0,0,5,Liverpool,Crystal Palace,Swansea,,,0,0,0,1.9
Yannick,Bolasie,MID,EVE,6400000,1,33,0.942857142857143,1.47321428571429E-07,5.15625E-06,0,15947,0,14,0,0,0,1,0,5.2,342,-1,0,33,1,0.5,0,3.3,0,0,3,0,1,0.2,18531,0,0,0,0,796,109,0,0,76,Huddersfield,Southampton,West Ham,,,0.5,0.5,0.5,37.9
Gaetan,Bong,DEF,BHA,4400000,0,48,2.3,5.22727272727273E-07,1.09090909090909E-05,0,13952,2,29,0,0,0,0,0,10.9,47,-1,0,48,1,0.3,0,1.3,3,0,4,0,0,0.2,15381,1,0,0,1,1877,66,0,0,297,Burnley,Man Utd,Man City,Liverpool,,1.5,3.6,1.5,45.7
Wilfried,Bony,FWD,SWA,5600000,0,33,2.2,3.92857142857143E-07,5.89285714285714E-06,0,88304,2,8,0,0,0,2,0,5.9,16,-4,0,33,4,0,0,0,3,0,2,0,1,0.1,87810,0,0,0,0,701,17,0,0,103,Chelsea,Bournemouth,Southampton,Stoke,,0,0,0,39.3
Artur,Boruc,GLK,BOU,4100000,0,0,0,0,0,0,158818,0,0,0,0,0,0,0,0,116,-4,0,0,4,0,0,0,0,0,0,0,0,1.4,10168,0,0,0,0,0,41,0,0,0,Southampton,Swansea,Burnley,,,0,0,0,0
Sofiane,Boufal,MID,SOU,5700000,0,55,1.61764705882353,2.83797729618163E-07,9.64912280701754E-06,0,23781,1,24,0,0,0,2,0,9.6,55,-3,0,55,3,0.1,0,0.3,2,0,1,0,2,0.2,17886,0,0,0,0,1206,4,0,0,215,Bournemouth,Everton,Swansea,Man City,,0,1.9,0.8,103.7
,Brad Smith,DEF,BOU,3900000,0,0,0,0,0,0,200543,0,0,0,0,0,0,0,0,510,-1,0,0,1,0,0,0,0,0,0,0,0,3.2,111046,0,0,0,0,0,437,0,0,0,Southampton,Swansea,Burnley,,,0,0,0,0
Robbie,Brady,MID,BUR,5300000,0,56,3.7,6.9811320754717E-07,1.05660377358491E-05,0,212805,3,12,0,0,0,1,0,10.6,26,-2,0,56,2,0,0,0,7,0,6,0,4,0.4,199016,0,0,0,1,1277,4,0,0,216,Brighton,Arsenal,Bournemouth,,,0,0,0,97.3
Claudio,Bravo,GLK,MCI,4500000,0,1,0.0294117647058824,6.5359477124183E-09,2.22222222222222E-07,0,40353,0,0,0,0,0,0,0,0.2,68,-5,0,1,5,0,0,0,0,0,0,0,0,0.5,9256,0,0,0,0,44,60,0,0,4,West Ham,Huddersfield,Brighton,Southampton,,0,0,0,0.3
Miguel,Britos,DEF,WAT,4300000,0,22,0.628571428571429,1.46179401993355E-07,5.11627906976744E-06,0,145793,3,16,0,0,0,1,0,5.1,14,-2,0,22,2,0,0,0,0,0,2,0,0,0.5,115442,0,0,0,0,795,8,0,1,149,Tottenham,Newcastle,Man Utd,,,0.3,0.3,0.3,27.3
Leon,Britton,MID,SWA,4400000,0,9,0.264705882352941,6.01604278074866E-08,2.04545454545455E-06,0,8906,1,1,0,0,0,0,0,2,3,-1,0,9,1,0,0,0,0,0,3,0,0,0.1,4211,0,0,0,0,269,3,0,0,25,Chelsea,Bournemouth,Southampton,Stoke,,0.1,0.2,0.1,1.6
Isaiah,Brown,MID,BHA,5200000,0,16,1.2,2.30769230769231E-07,3.07692307692308E-06,0,3956,0,8,0,0,0,0,0,3.1,0,-3,0,16,3,0,0,0,0,0,0,0,0,0,695,0,0,0,0,302,1,0,0,60,Burnley,Man Utd,Man City,Liverpool,,0,0,0,14.5
Marcus,Browne,MID,WHU,4500000,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,6,0,0,0,Man City,Leicester,Man Utd,Everton,,0,0,0,0
,Bruno,DEF,BHA,4500000,0,68,3.1,6.88888888888889E-07,1.51111111111111E-05,0,107682,3,20,0,0,0,0,0,15.1,253,0,0,68,0,0.1,0,0.5,5,0,8,0,0,0.8,136908,0,0,0,0,1746,24,0,0,355,Burnley,Man Utd,Man City,Liverpool,,2.5,5.7,2.5,47.7
Chris,Brunt,MID,WBA,5000000,5,72,3.1,6.2E-07,1.44E-05,0,139826,3,21,0,0,0,0,0,14.4,94,-5,0,72,5,0.6,0,2.8,6,0,7,0,7,0.5,128048,0,0,0,0,1647,104,0,0,344,Newcastle,Tottenham,Crystal Palace,,,2.3,2.6,2.2,109.5
Harry,Bunn,MID,HUD,4500000,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,Everton,Man City,Chelsea,Arsenal,,0,0,0,0
Oliver,Burke,MID,WBA,4900000,1,23,0.657142857142857,1.34110787172012E-07,4.69387755102041E-06,0,4134,0,11,0,0,0,0,0,4.7,9,-6,0,23,6,0.1,0,0.5,0,0,0,0,2,0,4420,0,0,0,0,356,2,0,0,75,Newcastle,Tottenham,Crystal Palace,,,0.3,0.3,0.3,22.5
Reece,Burke,DEF,WHU,4000000,0,0,0,0,0,0,1933,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2915,0,0,0,0,0,0,0,0,0,Man City,Leicester,Man Utd,Everton,,0,0,0,0
Matt,Butcher,MID,BOU,4500000,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0,0,0,0,0,4,0,0,0,Southampton,Swansea,Burnley,,,0,0,0,0
Jack,Butland,GLK,STK,5000000,5,110,3.4,6.8E-07,2.2E-05,0,178377,0,58,0,134,0,0,0,22,1214,0,0,110,0,0.6,0,3,13,0,5,0,0,2.6,159293,1,0,0,2,2880,237,0,0,622,Liverpool,Crystal Palace,Swansea,,,3.1,4.8,3,92.8
Sam,Byram,DEF,WHU,4200000,0,5,1,2.38095238095238E-07,1.19047619047619E-06,0,10680,1,7,0,0,0,0,0,1.2,16,-3,0,5,3,0,0,0,0,0,0,0,0,0.1,3382,0,0,0,0,246,2,0,0,41,Man City,Leicester,Man Utd,Everton,,0,0,0,14.5
Willy,Caballero,GLK,CHE,4800000,0,9,0.264705882352941,5.51470588235294E-08,1.875E-06,0,12967,0,3,0,6,0,0,0,1.9,44,-2,0,9,2,0.1,0,0.5,0,0,1,0,0,0.1,10684,0,0,0,0,180,20,0,0,43,Swansea,Liverpool,Huddersfield,Newcastle,,0.1,0.2,0.1,4.5
Yohan,Cabaye,MID,CRY,5300000,3,66,1.88571428571429,3.55795148247978E-07,1.24528301886792E-05,0,34811,6,35,0,0,0,0,0,12.5,35,-2,0,66,2,0.5,0,2.8,3,0,6,0,4,0.2,19591,0,0,0,0,2132,64,0,0,377,Leicester,Stoke,West Brom,,,1.3,1.1,1.6,144
Gary,Cahill,DEF,CHE,6200000,0,61,1.79411764705882,2.89373814041746E-07,9.83870967741936E-06,0,608742,1,24,0,0,0,0,0,9.8,169,-3,0,61,3,0.2,0,1,2,0,7,0,0,3,86410,0,0,0,0,1812,232,0,1,381,Swansea,Liverpool,Huddersfield,Newcastle,,1,3.3,0.9,58.6
Dominic,Calvert-Lewin,FWD,EVE,5000000,1,88,2.8,5.6E-07,1.76E-05,0,1149525,4,28,0,0,0,4,0,17.6,3962,0,0,88,0,0.4,0,1.8,3,0,6,0,8,4.4,1296019,0,0,0,1,1871,1021,0,0,255,Huddersfield,Southampton,West Ham,,,2,3.1,2,130.2
Rafael,Camacho,MID,LIV,4500000,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,6,0,0,0,Stoke,Chelsea,Brighton,,,0,0,0,0
Geoff,Cameron,DEF,STK,4300000,0,33,1.6,3.72093023255814E-07,7.67441860465116E-06,0,43082,2,30,0,0,0,0,0,7.7,82,-2,0,33,2,0.1,0,0.3,0,0,2,0,0,0.3,31606,0,0,0,0,1522,5,0,0,220,Liverpool,Crystal Palace,Swansea,,,0.9,1.9,0.9,39
Tyrese,Campbell,FWD,STK,4500000,1,3,0.0857142857142857,1.9047619047619E-08,6.66666666666667E-07,0,15666,0,1,0,0,0,0,0,0.7,649,0,0,3,0,0.1,0,0.5,0,0,0,0,0,0.5,38787,0,0,0,0,62,799,0,0,6,Liverpool,Crystal Palace,Swansea,,,0,0,0,4.1
Emre,Can,MID,LIV,4900000,0,92,3.5,7.14285714285714E-07,1.87755102040816E-05,0,722754,8,29,0,0,0,3,0,18.8,2746,-1,0,92,1,0,0,0,10,0,8,0,6,4.2,550064,0,0,0,2,2089,21,0,0,499,Stoke,Chelsea,Brighton,,,0,0,0,120.6
Etienne,Capoue,MID,WAT,4800000,3,44,1.25714285714286,2.61904761904762E-07,9.16666666666667E-06,0,299878,3,26,0,0,0,1,0,9.2,96,-7,0,44,7,0.5,0,2.3,0,0,4,0,1,1.4,42508,0,0,0,0,1357,24,0,0,215,Tottenham,Newcastle,Man Utd,,,0.6,0.8,0.6,52.4
Michael,Carrick,MID,MUN,4200000,0,1,0.0294117647058824,7.00280112044818E-09,2.38095238095238E-07,0,117541,0,0,0,0,0,0,0,0.2,148,-3,0,1,3,0,0,0,0,0,0,0,0,0.8,89695,0,0,0,0,24,144,0,0,0,Arsenal,Brighton,West Ham,Watford,,0,0,0,5.1
Andre,Carrillo,MID,WAT,5400000,0,63,2.3,4.25925925925926E-07,1.16666666666667E-05,0,11764,2,31,0,0,0,1,0,11.7,28,-1,0,63,1,0.1,0,0.3,4,0,4,0,3,0,13230,0,0,0,0,1522,2,0,0,270,Tottenham,Newcastle,Man Utd,,,1.2,2.1,1.2,85.8
Guido,Carrillo,FWD,SOU,6000000,0,15,0.441176470588235,7.35294117647059E-08,2.5E-06,0,13363,0,8,0,0,0,0,0,2.5,52,-5,0,15,5,0.1,0,0.3,0,0,1,0,1,0,15589,0,0,0,0,449,9,0,0,40,Bournemouth,Everton,Swansea,Man City,,0.2,0.4,0.2,29.4
Andy,Carroll,FWD,WHU,5700000,1,34,2.4,4.21052631578947E-07,5.96491228070175E-06,0,103900,5,13,0,0,0,3,0,6,238,-3,0,34,3,0.4,0,2.3,6,0,3,0,1,0.2,106602,0,0,0,1,703,240,0,1,101,Man City,Leicester,Man Utd,Everton,,2.1,4.1,2.6,56.4
Tom,Carroll,MID,SWA,4300000,2,79,2.4,5.58139534883721E-07,1.83720930232558E-05,0,664597,3,36,0,0,0,0,0,18.4,1889,-2,0,79,2,0.8,0,3.3,6,0,7,0,4,4.3,590977,0,0,0,0,2347,4289,0,0,391,Chelsea,Bournemouth,Southampton,Stoke,,1.9,3.8,2.1,120.4
