FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Simon,Francis,DEF,BOU,4400000,0,20,1.53846153846154,3.4965034965035E-07,4.54545454545455E-06,0,121928,3,8,0,0,0,0,0,4.5,2051,-1,0,20,1,0.3,0,1.3,1,0,2,0,0,1.2,42172,0,0,0,0,802,1952,0,1,140,Burnley,Southampton,Crystal Palace,Man Utd,Liverpool,1,1,1.8,0.8,1.3,0.8,1.4,0.9,1,1.4,1,1,1.1,1,1.1,0.8,1.1,1.3,1.3,2.3,0.8,1.1,1,0.9,1,30.1
Ryan,Fraser,MID,BOU,5100000,0,8,0.615384615384615,1.20663650075415E-07,1.56862745098039E-06,0,57327,0,5,0,0,0,0,0,1.6,439,-4,0,8,4,0,0,0,0,0,0,0,0,0.3,7365,0,0,0,0,270,45,0,0,32,Burnley,Southampton,Crystal Palace,Man Utd,Liverpool,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,14.3
Christian,Fuchs,DEF,LEI,4900000,2,36,3.3,6.73469387755102E-07,7.3469387755102E-06,0,131674,1,15,0,0,0,0,0,7.3,5739,-1,0,36,1,0.3,0,1.3,6,0,3,0,1,2.6,70020,0,0,0,1,990,1219,0,0,193,Tottenham,Burnley,Newcastle,Southampton,Crystal Palace,3.6,3.5,2.8,3.2,4.9,3.7,4,2.7,4.6,3.3,3.5,2.3,3.1,2.4,3.7,3.4,3.3,4.3,3.4,3.7,3.3,3.4,3.8,4.3,3.1,36.1
Jay,Fulton,MID,SWA,4400000,0,0,0,0,0,0,2941,1,0,0,0,0,0,0,0,94,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,3206,0,0,0,0,16,25,0,0,-2,Chelsea,Stoke,West Brom,Man City,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ramiro,Funes Mori,DEF,EVE,4900000,0,0,0,0,0,0,857,0,0,0,0,0,0,0,0,20,-1,0,0,1,0,0,0,0,0,0,0,0,0,269,0,0,0,0,0,15,0,0,0,West Ham,Huddersfield,Liverpool,Newcastle,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manolo,Gabbiadini,FWD,SOU,6600000,0,35,2.9,4.39393939393939E-07,5.3030303030303E-06,0,425086,1,8,0,0,0,3,0,5.3,22215,-4,0,35,4,0.2,0,1,4,0,4,0,0,2.2,240657,0,0,0,1,671,2460,0,0,110,Man City,Bournemouth,Arsenal,Leicester,Chelsea,2.5,2.6,2.9,2.9,2.3,3.1,2.2,1.7,4,3,2.2,3,2.9,3,2.4,3.4,2.6,2.6,2.6,1.6,1.8,2.7,2.7,3.3,2.3,34.3
,Gabriel,DEF,ARS,5000000,0,0,0,0,0,0,1874,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,2,0,0,0,Huddersfield,Man Utd,Southampton,West Ham,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gamez,DEF,NEW,4000000,0,9,0.692307692307692,1.73076923076923E-07,2.25E-06,0,142355,0,0,0,0,0,0,0,2.3,5459,0,0,9,0,0,0,0,2,0,1,0,0,2.9,179395,0,0,0,0,97,1171,0,0,38,West Brom,Chelsea,Leicester,Everton,Arsenal,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.4,0.3,0.4,0.3,0.3,8.4
Dwight,Gayle,FWD,NEW,6100000,2,19,1.46153846153846,2.39596469104666E-07,3.11475409836066E-06,0,103815,1,12,0,0,0,1,0,3.1,1637,-4,0,19,4,0.5,0,3,1,0,0,0,0,0.7,23279,0,0,0,0,465,1997,0,0,51,West Brom,Chelsea,Leicester,Everton,Arsenal,0.8,0.7,1.1,1.5,0.7,0.7,0.8,1.1,1,0.8,0.7,0.8,0.9,1.1,0.7,0.7,0.9,0.7,1.2,0.8,1.1,1,1.3,0.9,0.7,33.2
Paulo,Gazzaniga,GLK,TOT,4400000,0,9,0.692307692307692,1.57342657342657E-07,2.04545454545455E-06,0,2344,0,0,0,3,0,0,0,2,539,-1,1,9,1,0.7,0,3,2,0,1,0,0,0.1,4851,0,0,0,0,90,147,-1,0,26,Leicester,Watford,Stoke,Brighton,Man City,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.7,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,2.7
Kieran,Gibbs,DEF,WBA,5000000,1,17,1.7,3.4E-07,3.4E-06,0,16830,1,16,0,0,0,0,0,3.4,728,0,0,17,0,0.2,0,1,0,0,1,0,0,0.4,22179,0,0,0,0,837,1049,0,0,113,Newcastle,Crystal Palace,Swansea,Liverpool,Man Utd,1.4,2.6,1,0.8,1.4,1,1.1,1.7,1.1,1.6,0.8,0.8,1.2,1.1,1.9,1.5,1.1,0.9,1.3,1.1,0.8,1.6,0.9,1.4,1.9,30.5
Olivier,Giroud,FWD,ARS,8200000,0,14,1.07692307692308,1.31332082551595E-07,1.70731707317073E-06,0,89572,0,3,0,0,0,1,0,1.7,967,-3,0,14,3,0,0,0.3,0,0,0,0,0,1.1,30652,0,0,0,0,176,875,0,0,51,Huddersfield,Man Utd,Southampton,West Ham,Newcastle,0.9,0.8,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.5,1.2,0.5,1.1,0.5,0.6,0.5,0.5,0.5,1,0.6,0.5,0.9,0.5,0.6,0.5,22.2
Connor,Goldson,DEF,BHA,3900000,0,0,0,0,0,0,31511,0,0,0,0,0,0,0,0,1380,-1,0,0,1,0,0,0,0,0,0,0,0,1,31958,0,0,0,0,0,1346,0,0,0,Crystal Palace,Liverpool,Huddersfield,Tottenham,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heurelho,Gomes,GLK,WAT,4500000,8,46,3.5,7.77777777777778E-07,1.02222222222222E-05,0,64860,0,18,0,34,0,0,0,10.2,2160,0,0,46,0,1.2,0,5.3,4,0,5,0,0,2.2,82580,0,0,0,0,1138,4025,0,0,247,Man Utd,Tottenham,Burnley,Crystal Palace,Huddersfield,3.4,3.3,4.2,4.6,4.3,4.3,2.8,2.7,3.2,3,3.3,4,2.8,4.1,2.8,3.9,3.1,3.5,3.1,3.2,4.1,4.8,4,3.3,2.7,25.6
Joseph,Gomez,DEF,LIV,4600000,2,38,3.8,8.26086956521739E-07,8.26086956521739E-06,0,129200,2,10,0,0,0,0,0,8.3,7917,1,0,38,-1,0.3,0,1.3,5,0,4,0,1,4.6,310553,0,0,0,2,811,10283,0,0,215,Stoke,Brighton,Everton,West Brom,Bournemouth,3.2,3.6,4.3,5.4,3,2.4,4.2,4.3,3.4,3.7,3.1,3.3,4.8,3.3,5.6,4.9,2,4.7,3.7,2.3,4.6,3.5,4.9,3.4,5.4,37.2
Dan,Gosling,MID,BOU,4800000,1,11,0.846153846153846,1.76282051282051E-07,2.29166666666667E-06,0,3338,0,8,0,0,0,0,0,2.3,75,-2,1,11,2,0.1,0,0.7,0,0,0,0,0,0.1,1256,0,0,0,0,367,38,-1,0,49,Burnley,Southampton,Crystal Palace,Man Utd,Liverpool,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,10
Yoan,Gouffran,MID,NEW,5000000,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,West Brom,Chelsea,Leicester,Everton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max,Gradel,MID,BOU,5000000,0,0,0,0,0,0,3684,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,Burnley,Southampton,Crystal Palace,Man Utd,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,Grant,GLK,STK,4300000,2,3,0.230769230769231,5.36672629695886E-08,6.97674418604651E-07,0,18006,0,4,0,4,0,0,0,0.7,409,-2,0,3,2,0.2,0,1,0,0,0,0,0,0.3,3183,0,0,0,0,180,490,0,0,24,Liverpool,Swansea,Tottenham,Burnley,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,3.4
Andre,Gray,FWD,WAT,6300000,6,40,3.1,4.92063492063492E-07,6.34920634920635E-06,0,123263,1,10,0,0,0,2,0,6.3,6003,-2,0,40,2,0.8,0,5.3,2,0,5,0,3,2.2,126403,0,0,0,0,820,40527,0,0,113,Man Utd,Tottenham,Burnley,Crystal Palace,Huddersfield,2.7,2.1,3,3.7,3.1,3.3,2.8,2.2,3,2.4,3.3,3.9,1.7,3.2,3.6,3.2,2.1,2.6,2.6,2.1,2.8,4,2.7,2.9,2.2,55
Demarai,Gray,MID,LEI,5300000,1,28,2.3,4.33962264150943E-07,5.28301886792453E-06,0,47785,1,9,0,0,0,1,0,5.3,7319,-2,0,28,2,0.3,0,1.7,2,0,2,0,1,1,60647,0,0,0,0,574,1906,0,0,104,Tottenham,Burnley,Newcastle,Southampton,Crystal Palace,1.6,1.7,1.6,1.6,2.4,1.9,1.6,1.2,2.4,1.6,1.3,1.9,2.2,1.2,1.8,2.1,1.5,2.4,1.3,2.2,1.6,1.7,1.4,2.3,1.3,27
Robert,Green,GLK,HUD,4000000,0,0,0,0,0,0,2086,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0.1,7542,0,0,0,0,0,256,0,0,0,Arsenal,Everton,Brighton,Chelsea,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal,Gro?,MID,BHA,6000000,5,73,5.6,9.33333333333333E-07,1.21666666666667E-05,0,394568,1,14,0,0,0,3,0,12.4,15142,5,-1,73,-5,1,0,6,14,0,4,0,5,21.6,1434486,0,0,0,1,1090,127713,1,0,277,Crystal Palace,Liverpool,Huddersfield,Tottenham,Burnley,8.2,7.1,5.8,5.4,6.8,5.6,6.1,6.3,7.7,6,6.1,6.2,8,5.7,7.6,8.1,6.6,4.3,7.3,8.2,5.7,6.6,6.2,7.2,4.3,88.9
Marko,Grujic,MID,LIV,4300000,0,2,0.153846153846154,3.5778175313059E-08,4.65116279069767E-07,0,27298,0,0,0,0,0,0,0,0.5,2836,-2,0,2,2,0,0,0,0,0,0,0,0,0.7,43525,0,0,0,0,13,522,0,0,7,Stoke,Brighton,Everton,West Brom,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.9
Johann Berg,Gudmundsson,MID,BUR,5000000,2,31,2.6,5.2E-07,6.2E-06,0,4858,1,7,0,0,0,0,0,6.2,602,0,0,31,0,0.8,0,4,0,0,4,0,3,0.2,8078,0,0,0,0,794,1259,0,0,119,Bournemouth,Leicester,Watford,Stoke,Brighton,2.3,2,1.5,2,1.7,1.9,1.3,1.9,2.1,1.9,2.2,2.2,1.3,2.7,1.9,2.9,2,1.7,2,2.1,2.2,1.9,1.9,1.5,2.4,38.7
Idrissa,Gueye,MID,EVE,4800000,2,22,1.7,3.54166666666667E-07,4.58333333333333E-06,0,49408,3,24,0,0,0,0,0,4.6,1142,-2,0,22,2,0.4,0,2,0,0,2,0,0,0.9,21982,0,0,0,0,1099,333,0,1,175,West Ham,Huddersfield,Liverpool,Newcastle,Swansea,1.5,1.6,0.8,0.9,1.4,0.9,0.8,1,1.2,0.8,1.3,1.3,0.8,1.6,0.9,0.9,1.1,0.8,0.8,1.2,1.3,1.5,0.8,1.1,0.9,36.2
Ilkay,Gundogan,MID,MCI,5400000,1,8,0.615384615384615,1.13960113960114E-07,1.48148148148148E-06,0,24268,0,1,0,0,0,0,0,1.5,668,-1,0,8,1,0.2,0,1,0,0,0,0,0,0.2,14313,0,0,0,0,89,358,0,0,35,Southampton,West Ham,Man Utd,Swansea,Tottenham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,6.9
Florent,Hadergjonaj,DEF,HUD,4500000,0,9,0.692307692307692,1.53846153846154E-07,2E-06,0,696,1,5,0,0,0,0,0,2,88,0,0,9,0,0.5,0,2.3,2,0,1,0,0,0,1292,0,0,0,0,202,33,0,0,56,Arsenal,Everton,Brighton,Chelsea,Watford,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.3,1,0.3,0.3,0.3,0.3,0.3,0.3,0.4,10.2
Massadio,Haidara,DEF,NEW,3900000,0,0,0,0,0,0,60159,0,0,0,0,0,0,0,0,2433,-1,0,0,1,0,0,0,0,0,0,0,0,1.3,48395,0,0,0,0,0,4568,0,0,0,West Brom,Chelsea,Leicester,Everton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sead,Haksabanovic,MID,WHU,5000000,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,23,0,0,0,Everton,Man City,Chelsea,Arsenal,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben,Hamer,GLK,LEI,4400000,0,0,0,0,0,0,1424,0,0,0,0,0,0,0,0,37,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,465,0,0,0,0,0,10,0,0,0,Tottenham,Burnley,Newcastle,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,Hanley,DEF,NEW,4000000,0,0,0,0,0,0,75415,0,0,0,0,0,0,0,0,893,0,0,0,0,0,0,0,0,0,0,0,0,0.6,5581,0,0,0,0,0,15,0,0,0,West Brom,Chelsea,Leicester,Everton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rekeem,Harper,MID,WBA,4500000,0,1,1,2.22222222222222E-07,2.22222222222222E-07,0,1979,0,0,0,0,0,0,0,0.2,21,0,0,1,0,0,0,0,0,0,0,0,0,0,1323,0,0,0,0,20,1,0,0,6,Newcastle,Crystal Palace,Swansea,Liverpool,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
Joe,Hart,GLK,WHU,4400000,2,40,3.1,7.04545454545455E-07,9.09090909090909E-06,0,316547,0,26,0,38,0,0,0,9.1,11591,-1,0,40,1,0.4,0,1.7,3,0,3,0,1,8.2,122268,0,0,0,1,1170,1835,0,0,240,Everton,Man City,Chelsea,Arsenal,Stoke,1.8,1.9,3.1,4.1,2.6,3.6,2.4,2.5,4,2.6,3.3,4.6,2.8,3.4,2.1,2.5,3.4,3.6,3.3,2.7,3.6,1.9,2.6,2,3.1,27.8
Jakob,Haugaard,GLK,STK,4000000,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,0,0,0,0,0,695,0,0,0,Liverpool,Swansea,Tottenham,Burnley,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac,Hayden,MID,NEW,4500000,0,23,1.9,4.22222222222222E-07,5.11111111111111E-06,0,19911,5,12,0,0,0,1,0,5.1,944,0,0,23,0,0.2,0,1,0,0,2,0,0,0.3,22756,0,0,0,0,804,165,0,0,101,West Brom,Chelsea,Leicester,Everton,Arsenal,1,1.1,1.5,2,1,1,1,1.3,1,1.7,1,1.3,1,1.5,1.2,1,1.3,1,1.8,1.1,1.8,1.3,1.6,1.1,1.1,38.7
Eden,Hazard,MID,CHE,10700000,8,52,5.2,4.85981308411215E-07,4.85981308411215E-06,0,218778,1,6,0,0,0,3,0,4.9,4124,2,-1,52,-2,0.9,0,9.7,9,0,3,0,3,8.8,559787,0,0,0,2,631,158152,1,0,185,Swansea,Newcastle,West Ham,Huddersfield,Southampton,6.4,6.5,6.1,5.9,5.3,6.9,5.3,5.5,4.9,5.9,5.4,6.3,6.3,6.2,4.2,4.5,6.8,6.3,5.2,6.6,6.3,6.8,7.4,5.7,6.4,74.5
Tom,Heaton,GLK,BUR,4800000,0,8,0.615384615384615,1.28205128205128E-07,1.66666666666667E-06,0,332118,0,4,0,8,0,0,0,1.7,3451,-2,0,8,2,0,0,0,0,0,0,0,0,2.1,18136,0,0,0,0,305,28,0,0,48,Bournemouth,Leicester,Watford,Stoke,Brighton,0,0,0,0,0,0.3,0.3,0.3,0.3,0.6,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,5.3
Michael,Hefele,DEF,HUD,4200000,0,1,0.0769230769230769,1.83150183150183E-08,2.38095238095238E-07,0,7881,0,0,0,0,0,0,0,0.2,86,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,2120,0,0,0,0,1,9,0,0,4,Arsenal,Everton,Brighton,Chelsea,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
Ahmed El-Sayed,Hegazi,DEF,WBA,4500000,2,39,3,6.66666666666667E-07,8.66666666666667E-06,0,818591,3,18,0,0,0,1,0,8.7,29696,0,1,39,0,0.2,0,1,5,0,3,0,0,18.4,1276593,0,0,0,1,1136,18391,-1,0,203,Newcastle,Crystal Palace,Swansea,Liverpool,Man Utd,3.3,4.5,2.5,2.2,3.3,2.6,2.8,3.8,2.7,3.7,1.8,1.9,3,2.8,4.1,3.4,2.8,2.4,3.1,2.7,1.6,3.7,2.3,3.2,3.3,43.8
Tomer,Hemed,FWD,BHA,4900000,1,28,3.5,7.14285714285714E-07,5.71428571428571E-06,0,180792,0,3,0,0,0,2,0,5.7,4407,-1,0,28,1,0.1,0,0.7,5,0,2,0,1,1.4,226982,0,0,0,0,462,6539,0,0,83,Crystal Palace,Liverpool,Huddersfield,Tottenham,Burnley,5.2,4.3,2.8,2.6,3.3,3.2,2.8,3.2,3.9,3.5,2.8,3.3,4.5,3.9,3.4,4.2,3.9,3,4.1,4.4,3.8,3.3,2.9,4,2.5,23.9
Jordan,Henderson,MID,LIV,5500000,2,37,3.4,6.18181818181818E-07,6.72727272727273E-06,0,119843,1,16,0,0,0,1,0,6.7,4010,0,0,37,0,0.3,0,1.7,3,0,5,0,1,1.8,115051,0,0,0,0,990,1624,0,0,182,Stoke,Brighton,Everton,West Brom,Bournemouth,2.2,1.9,4.8,4.1,2.7,1.7,4.2,3.9,2.5,2.5,3.3,2.2,3.4,2.5,4.4,4.3,1.7,2.8,2.2,3,4.2,2.3,3.7,2.4,3.5,52.5
Jeff,Hendrick,MID,BUR,5400000,2,38,2.92307692307692,5.41310541310541E-07,7.03703703703704E-06,0,10969,0,6,0,0,0,2,0,7,944,-1,0,38,1,0.9,0,4.8,1,0,5,0,1,0.3,16732,0,0,0,0,778,1520,0,0,121,Bournemouth,Leicester,Watford,Stoke,Brighton,2.8,2.5,1.8,2.4,2.1,2.3,1.5,2.3,2.5,2.3,2.6,2.6,1.5,3.3,2.3,3.4,2.5,2,2.4,2.6,2.7,2.3,2.4,1.8,2.9,44.6
Wayne,Hennessey,GLK,CRY,4300000,2,21,2.6,6.04651162790698E-07,4.88372093023256E-06,0,56737,0,18,0,30,0,0,0,4.9,932,-2,0,21,2,0.2,0,0.7,3,0,0,0,0,0.9,23744,0,0,0,0,720,1188,0,0,136,Brighton,West Brom,Bournemouth,Watford,Leicester,2,1.9,2.6,2.7,1.4,1.7,3.3,2,1.9,2.7,1.3,1.9,2.9,1.3,2.8,2.9,1.9,1.8,3.2,1.6,3.2,2.5,2.4,1.8,3.2,21.4
Dion,Henry,GLK,CRY,4000000,0,0,0,0,0,0,849,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2680,0,0,0,0,0,214,0,0,0,Brighton,West Brom,Bournemouth,Watford,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ander,Herrera,MID,MUN,5100000,0,15,1.15384615384615,2.26244343891403E-07,2.94117647058824E-06,0,180191,2,5,0,0,0,0,0,2.9,1951,-4,0,15,4,0.1,0,0.7,0,0,2,0,0,1.4,21814,0,0,0,0,497,209,0,0,72,Watford,Arsenal,Man City,Bournemouth,West Brom,0.6,0.6,0.6,0.8,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.9,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.8,0.6,0.9,0.6,0.6,24.8
Wesley,Hoedt,DEF,SOU,5000000,2,14,1.07692307692308,2.15384615384615E-07,2.8E-06,0,3457,1,8,0,0,0,0,0,2.8,101,0,0,14,0,0.2,0,1,1,0,1,0,0,0,4469,0,0,0,0,540,75,0,0,111,Man City,Bournemouth,Arsenal,Leicester,Chelsea,0.5,0.5,0.7,0.5,0.6,0.8,0.5,0.5,1.6,0.8,0.6,0.7,0.6,0.7,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,19.4
Jonathan,Hogg,MID,HUD,4400000,1,14,1.07692307692308,2.44755244755245E-07,3.18181818181818E-06,0,20794,2,10,0,0,0,0,0,3.2,1538,-1,0,14,1,0.3,0,1.3,0,0,2,0,0,0.4,38241,0,0,0,0,568,477,0,0,105,Arsenal,Everton,Brighton,Chelsea,Watford,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.8,0.5,0.6,0.5,0.7,0.5,0.5,0.7,0.8,0.5,0.5,0.5,0.5,0.9,0.5,0.8,11.8
Pierre-Emile,H?jbjerg,MID,SOU,4300000,2,3,0.230769230769231,5.36672629695886E-08,6.97674418604651E-07,0,17812,0,1,0,0,0,0,0,0.7,945,-2,1,3,2,0.2,0,0.7,0,0,0,0,0,0.3,15554,0,0,0,0,96,3104,-1,0,30,Man City,Bournemouth,Arsenal,Leicester,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.2
Rob,Holding,DEF,ARS,4500000,0,8,0.615384615384615,1.36752136752137E-07,1.77777777777778E-06,0,93147,1,8,0,0,0,0,0,1.8,707,-5,1,8,5,0,0,0,0,0,1,0,0,0.6,14654,0,0,0,0,263,175,-1,0,68,Huddersfield,Man Utd,Southampton,West Ham,Newcastle,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.9,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,10.7
Jose,Holebas,DEF,WAT,5000000,0,30,2.7,5.4E-07,6E-06,0,42471,3,21,0,0,0,0,0,6,4839,0,0,30,0,0.3,0,1.3,3,0,2,0,3,0.6,41229,0,0,0,0,904,432,0,0,169,Man Utd,Tottenham,Burnley,Crystal Palace,Huddersfield,2.2,2.2,2.9,3.5,3,3,1.8,1.8,2.1,2,2.2,2.7,1.8,2.8,1.8,2.6,2.1,2.3,2,2.1,2.8,3.7,2.7,2.2,1.8,53.6
Mason,Holgate,DEF,EVE,4200000,0,7,0.538461538461538,1.28205128205128E-07,1.66666666666667E-06,0,76620,0,5,0,0,0,0,0,1.7,2944,-3,0,7,3,0,0,0,0,0,0,0,0,0.6,39084,0,0,0,0,360,62,0,0,40,West Ham,Huddersfield,Liverpool,Newcastle,Swansea,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.2
Mark,Hudson,DEF,HUD,4000000,0,0,0,0,0,0,16291,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0.1,982,0,0,0,0,0,18,0,0,0,Arsenal,Everton,Brighton,Chelsea,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Will,Hughes,MID,WAT,4600000,8,25,1.92307692307692,4.18060200668896E-07,5.43478260869565E-06,0,15522,0,3,0,0,0,2,0,5.4,2639,-4,0,25,4,1.7,0,8,3,0,2,0,1,1.1,56590,0,0,0,1,266,37339,0,0,85,Man Utd,Tottenham,Burnley,Crystal Palace,Huddersfield,1.1,1,1.5,1.3,1.5,1.2,1.1,1.3,1,1,1.4,1.3,1,1.4,1.6,1.2,1,1,1.3,1,1.3,1.4,1.2,1.3,1,29.5
Uwe,Hunemeier,DEF,BHA,3900000,0,1,0.0769230769230769,1.9723865877712E-08,2.56410256410256E-07,0,259381,0,1,0,0,0,0,0,0.3,8861,-1,0,1,1,0,0,0,0,0,0,0,0,7.1,265290,0,0,0,0,17,4660,0,0,5,Crystal Palace,Liverpool,Huddersfield,Tottenham,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
Robert,Huth,DEF,LEI,4900000,0,0,0,0,0,0,4258,0,0,0,0,0,0,0,0,58,-1,0,0,1,0,0,0,0,0,0,0,0,0.1,1058,0,0,0,0,0,20,0,0,0,Tottenham,Burnley,Newcastle,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
