FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Brahim,Diaz,MID,MCI,4700000,0,0,0,0,0,0,3360,0,0,0,0,0,0,0,0,48,-3,0,0,3,0,0,0,0,0,0,0,0,0,928,0,0,0,0,0,21,0,0,0,Southampton,West Ham,Man Utd,Swansea,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Dier,MID,TOT,4800000,1,28,2.2,4.58333333333333E-07,5.83333333333333E-06,0,173270,3,8,0,0,0,0,0,5.7,7828,-2,1,28,2,0.4,0,2,0,0,6,0,0,2.8,103869,0,0,0,0,1066,2112,-1,0,158,Leicester,Watford,Stoke,Brighton,Man City,1.5,1.6,1.6,1.6,1.1,1.5,1.6,2.1,2,2.4,1.5,1.7,1.1,2.2,1.3,2.2,1.7,2.1,1.5,1.3,1.1,1.2,1.2,1.4,1.8,45.9
Mame Biram,Diouf,FWD,STK,5500000,2,45,3.8,6.90909090909091E-07,8.18181818181818E-06,0,160318,1,24,0,0,0,3,0,8.2,27212,0,0,45,0,0.4,0,2,4,0,2,0,2,5.3,398437,0,0,0,0,1058,40560,0,0,185,Liverpool,Swansea,Tottenham,Burnley,West Ham,4.7,3.8,3.1,3.5,4.9,5,3.3,3.3,4.7,2.5,4.8,3.5,3.7,4.6,3.8,3.8,3.8,5.5,2.4,3.6,3.7,3.7,3,5.7,3.7,64.1
Abdoulaye,Doucoure,MID,WAT,5400000,3,58,4.5,8.33333333333333E-07,1.07407407407407E-05,0,557420,3,21,0,0,0,4,0,10.7,77071,4,0,58,-4,0.6,0,3,10,0,5,0,0,15.7,1258677,0,0,0,1,1170,15517,0,0,273,Man Utd,Tottenham,Burnley,Crystal Palace,Huddersfield,4.4,3.8,5.3,4.9,5.3,4.5,4.5,4.9,3.8,4,5.2,4.9,3.5,5.2,5.7,4.7,4.1,3.8,4.8,4,5,5.3,4.7,5,3.6,73.5
Aleksandar,Dragovic,DEF,LEI,4900000,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0,45,-1,0,0,1,0,0,0,0,0,0,0,0,0,969,0,0,0,0,0,28,0,0,0,Tottenham,Burnley,Newcastle,Southampton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel,Drinkwater,MID,CHE,4800000,2,5,0.384615384615385,8.01282051282051E-08,1.04166666666667E-06,0,14944,0,1,0,0,0,0,0,1,227,-2,0,5,2,0.3,0,1.3,0,0,0,0,0,0.2,6896,0,0,0,0,118,545,0,0,16,Swansea,Newcastle,West Ham,Huddersfield,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,7.6
Shane,Duffy,DEF,BHA,4600000,1,42,3.2,6.95652173913044E-07,9.13043478260869E-06,0,50191,4,13,0,0,0,0,0,9.1,4940,1,0,42,-1,0.7,0,3,5,0,5,0,0,2.8,169543,0,0,0,1,1152,13971,0,0,218,Crystal Palace,Liverpool,Huddersfield,Tottenham,Burnley,4.8,4,3,2.9,3.4,3.4,3.1,2.6,3.3,3.1,3.1,3,4.2,2.9,3,4.2,2.1,2.2,3.1,4.4,3.6,3.5,3.1,3.6,2.5,55.2
Paul,Dummett,DEF,NEW,4200000,0,1,0.0769230769230769,1.83150183150183E-08,2.38095238095238E-07,0,35647,0,0,0,0,0,0,0,0.2,205,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,1140,0,0,0,0,7,112,0,0,4,West Brom,Chelsea,Leicester,Everton,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Lewis,Dunk,DEF,BHA,4400000,0,31,2.4,5.45454545454545E-07,7.04545454545455E-06,0,72047,2,14,0,0,0,0,0,7,4447,-1,0,31,1,0.5,0,2,0,0,4,0,0,2.4,112089,2,0,0,0,1170,13325,0,0,208,Crystal Palace,Liverpool,Huddersfield,Tottenham,Burnley,3.6,2.7,1.9,1.8,2.2,2.2,2,1.6,2.1,2,2,1.9,2.8,1.8,1.9,2.8,1.3,1.3,2,3,2.7,2.3,2,2.4,1.5,54
Nathan,Dyer,MID,SWA,4400000,0,6,0.461538461538462,1.04895104895105E-07,1.36363636363636E-06,0,5180,1,3,0,0,0,0,0,1.4,476,-1,0,6,1,0.2,0,1,0,0,0,0,0,0.1,7653,0,0,0,0,236,228,0,0,25,Chelsea,Stoke,West Brom,Man City,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.4
