"","id","name","type"
"123","sr:player:990235","Feeney, Morgan","defender"
"124","sr:player:1342896","Baningime, Beni","midfielder"
"125","sr:player:758396","Broadhead, Nathan","midfielder"
"126","sr:player:1089774","Denny, Alex","midfielder"
"127","sr:player:789203","Lavery, Shayne","forward"
"128","sr:player:979095","Hornby, Fraser","midfielder"
"129","sr:player:1373591","Duke-Mckenna, Stephen","midfielder"
"130","sr:player:1373593","Collins, Michael","defender"
"131","sr:player:1373595","Gordon, Anthony","midfielder"
"132","sr:player:44760","Cedric","defender"
"133","sr:player:24248","Yoshida, Maya","defender"
"134","sr:player:134361","Stephens, Jack","defender"
"135","sr:player:336813","Hoedt, Wesley","defender"
"136","sr:player:10486","Long, Shane","forward"
"137","sr:player:559","Davis, Steven","midfielder"
"138","sr:player:174519","Carrillo, Guido","forward"
"139","sr:player:97905","Austin, Charlie","forward"
"140","sr:player:38560","Tadic, Dusan","midfielder"
"141","sr:player:45502","McCarthy, Alex","goalkeeper"
"142","sr:player:69416","Romeu, Oriol","midfielder"
"143","sr:player:161717","Ward-Prowse, James","midfielder"
"144","sr:player:307284","Lemina, Mario","midfielder"
"145","sr:player:257205","Boufal, Sofiane","midfielder"
"146","sr:player:53816","Gabbiadini, Manolo","forward"
"147","sr:player:20756","Bertrand, Ryan","defender"
"148","sr:player:115346","Redmond, Nathan","midfielder"
"149","sr:player:149593","Hojbjerg, Pierre","midfielder"
"150","sr:player:83553","Gardos, Florin","defender"
"151","sr:player:37761","Pied, Jeremy","defender"
"152","sr:player:10","Taylor, Stuart","goalkeeper"
"153","sr:player:968925","Olomola, Olufela","forward"
"154","sr:player:286085","Bednarek, Jan","defender"
"155","sr:player:387082","McQueen, Sam","midfielder"
"156","sr:player:548198","Sims, Josh","midfielder"
"157","sr:player:783888","Hesketh, Jake Alexander","midfielder"
"158","sr:player:19314","Forster, Fraser","goalkeeper"
"159","sr:player:1392219","Obafemi, Michael","forward"
"160","sr:player:770477","Rose, Jack","goalkeeper"
"161","sr:player:52741","Caballero, Willy","goalkeeper"
"162","sr:player:142622","Rudiger, Antonio","defender"
"163","sr:player:69408","Alonso, Marcos","defender"
"164","sr:player:518","Fabregas, Cesc","midfielder"
"165","sr:player:54330","Drinkwater, Danny","midfielder"
"166","sr:player:234148","Kante, N'Golo","midfielder"
"167","sr:player:98435","Barkley, Ross","midfielder"
"168","sr:player:125407","Morata, Alvaro","forward"
"169","sr:player:27583","Hazard, Eden","forward"
"170","sr:player:35428","Pedro","forward"
"171","sr:player:70988","Courtois, Thibaut","goalkeeper"
"172","sr:player:149735","Bakayoko, Tiemoue","midfielder"
"173","sr:player:31585","Moses, Victor","midfielder"
"174","sr:player:39070","Giroud, Olivier","forward"
"175","sr:player:132318","Zappacosta, Davide","defender"
"176","sr:player:31417","Willian","forward"
"177","sr:player:9628","Cahill, Gary","defender"
"178","sr:player:186795","Christensen, Andreas","defender"
"179","sr:player:21555","Azpilicueta, Cesar","defender"
"180","sr:player:21300","Luiz, David","defender"
"181","sr:player:155997","Emerson","defender"
"182","sr:player:1243200","Bulka, Marcin","goalkeeper"
"183","sr:player:369318","Scott, Kyle","midfielder"
"184","sr:player:18868","Eduardo","goalkeeper"
"185","sr:player:974231","Ampadu, Ethan","defender"
"186","sr:player:796780","Sterling, Dujon","defender"
"187","sr:player:1089772","Hudson Odoi, Callum","midfielder"
"188","sr:player:936988","Osei-Tutu, Jordi","defender"
"189","sr:player:369","Mertesacker, Per","defender"
"190","sr:player:51340","Koscielny, Laurent","defender"
"191","sr:player:37151","Mkhitaryan, Henrikh","midfielder"
"192","sr:player:23571","Ramsey, Aaron","midfielder"
"193","sr:player:50070","Lacazette, Alexandre","forward"
"194","sr:player:38094","Wilshere, Jack","midfielder"
"195","sr:player:16176","Ozil, Mesut","midfielder"
"196","sr:player:33596","Ospina, David","goalkeeper"
"197","sr:player:51498","Aubameyang, Pierre-Emerick","forward"
"198","sr:player:821198","Holding, Rob","defender"
"199","sr:player:352770","Iwobi, Alex","midfielder"
"200","sr:player:17088","Monreal, Nacho","defender"
"201","sr:player:17651","Cazorla, Santi","midfielder"
"202","sr:player:89894","Mustafi, Shkodran","defender"
"203","sr:player:227942","Chambers, Calum","defender"
"204","sr:player:33902","Welbeck, Danny","forward"
"205","sr:player:188365","Bellerin, Hector","defender"
"206","sr:player:950080","Mavropanos, Konstantinos","defender"
"207","sr:player:117777","Xhaka, Granit","midfielder"
"208","sr:player:352768","Maitland-Niles, Ainsley","midfielder"
"209","sr:player:142148","Kolasinac, Sead","defender"
"210","sr:player:1185","Cech, Petr","goalkeeper"
"211","sr:player:159675","Elneny, Mohamed","midfielder"
"212","sr:player:796084","Da Silva, Joshua","forward"
"213","sr:player:559058","Dragomir, Vlad","midfielder"
"214","sr:player:936994","Gilmour, Charlie","midfielder"
"215","sr:player:109065","Iliev, Deyan","goalkeeper"
"216","sr:player:225096","Macey, Matt","goalkeeper"
"217","sr:player:936316","Nelson, Reiss","forward"
