FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Manuel,Lanzini,MID,WHU,6800000,2,8,0.266666666666667,3.92156862745098E-08,1.17647058823529E-06,0,47937,0,8,0,0,0,0,0,1.2,1661,-2,0,8,2,0.3,0,2,0,0,0,0,0,0.6,14699,0,0,0,0,340,817,0,0,55,Liverpool,Watford,Leicester,Everton,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,21.1
Jamaal,Lascelles,DEF,NEW,4800000,2,43,4.3,8.95833333333333E-07,8.95833333333333E-06,0,183448,3,9,0,0,0,2,0,9.1,17400,3,-1,43,-3,0.6,0,3,4,0,3,0,0,13.3,748646,0,0,0,1,893,49474,1,0,181,Bournemouth,Man Utd,Watford,West Brom,Chelsea,5.8,2.5,5.4,4.1,4.4,5.2,5.2,2.6,3.8,4.4,6.3,3.8,4.6,3,5.9,4.5,5.3,3.9,3,5.3,4.1,6.3,2.8,6.4,3,6.4,5.6,4.9,37.4
,Lee Chung-yong,MID,CRY,4400000,0,3,0.1,2.27272727272727E-08,6.81818181818182E-07,0,28016,0,2,0,0,0,0,0,0.7,2086,-1,0,3,1,0,0,0,0,0,0,0,0,0.5,41090,0,0,0,0,109,12,0,0,8,Tottenham,Everton,Stoke,Brighton,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2
Adam,Legzdins,GLK,BUR,4000000,0,0,0,0,0,0,1862,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6459,0,0,0,0,0,129,0,0,0,Southampton,Swansea,Arsenal,Bournemouth,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florian,Lejeune,DEF,NEW,4400000,2,9,0.3,6.81818181818182E-08,2.04545454545455E-06,0,27678,1,3,0,0,0,0,0,2,313,-1,0,9,1,0.6,0,2.7,0,0,1,0,0,0.2,3862,0,0,0,0,303,956,0,0,58,Bournemouth,Man Utd,Watford,West Brom,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,11.5
Jonathan,Leko,MID,WBA,4500000,0,0,0,0,0,0,3728,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,4,0,0,0,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario,Lemina,MID,SOU,5000000,0,17,0.566666666666667,1.13333333333333E-07,3.4E-06,0,20281,0,6,0,0,0,0,0,3.4,3261,0,0,17,0,0.3,0,1.7,0,0,3,0,0,0.2,20149,0,0,0,0,572,48,0,0,127,Burnley,Liverpool,Everton,Man City,Bournemouth,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,25.2
Aaron,Lennon,MID,EVE,5400000,1,2,0.0666666666666667,1.23456790123457E-08,3.7037037037037E-07,0,4686,0,2,0,0,0,0,0,0.4,97,-1,0,2,1,0.1,0,0.3,0,0,0,0,0,0.1,1425,0,0,0,0,52,137,0,0,7,Watford,Crystal Palace,Southampton,West Ham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
,Lewis Cook,MID,BOU,4400000,2,8,0.266666666666667,6.06060606060606E-08,1.81818181818182E-06,0,32616,1,3,0,0,0,0,0,1.8,1899,-1,0,8,1,0.4,0,1.7,0,0,1,0,0,1,29861,0,0,0,0,338,1595,0,0,51,Newcastle,Huddersfield,Swansea,Burnley,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,13.6
Anders,Lindegaard,GLK,BUR,4000000,0,0,0,0,0,0,1322,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5765,0,0,0,0,0,484,0,0,0,Southampton,Swansea,Arsenal,Bournemouth,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor,Lindelof,DEF,MUN,4900000,0,2,0.0666666666666667,1.36054421768707E-08,4.08163265306122E-07,0,240010,0,2,0,0,0,0,0,0.4,2075,-6,0,2,6,0.1,0,0.7,0,0,0,0,0,1,9096,0,0,0,0,68,148,0,0,13,Chelsea,Newcastle,Brighton,Watford,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
Jesse,Lingard,MID,MUN,5800000,1,15,0.5,8.62068965517241E-08,2.58620689655172E-06,0,16651,0,2,0,0,0,0,0,2.6,1387,-2,0,15,2,0.2,0,1.3,0,0,0,0,2,0.3,8786,0,0,0,0,217,359,0,0,49,Chelsea,Newcastle,Brighton,Watford,Arsenal,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,20.1
Jake,Livermore,MID,WBA,4900000,2,18,2,4.08163265306122E-07,3.6734693877551E-06,0,10333,1,11,0,0,0,0,0,3.7,370,-1,0,18,1,0.4,0,2,0,0,2,0,0,0.2,6017,0,0,0,0,700,87,0,0,83,Huddersfield,Chelsea,Tottenham,Newcastle,Crystal Palace,1,1.3,1,2,2,1.6,1,1.5,1,2.4,2.2,1.1,1.6,1.6,1,1.4,1.3,1.9,1.3,1.9,1.3,1.6,1.8,1,1.9,1,1.2,1.1,15.7
Fernando,Llorente,FWD,TOT,7400000,1,4,0.8,1.08108108108108E-07,5.40540540540541E-07,0,13455,1,1,0,0,0,0,0,0.5,2372,-1,0,4,1,0.1,0,1,0,0,0,0,0,0.2,11183,0,0,0,0,52,1267,0,0,13,Crystal Palace,Arsenal,West Brom,Leicester,Watford,0.6,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2.2
Hugo,Lloris,GLK,TOT,5500000,2,41,4.1,7.45454545454545E-07,7.45454545454545E-06,0,281921,0,7,0,19,0,0,0,7.5,59122,0,0,41,0,0.7,0,4,0,0,5,0,0,10.6,135690,0,0,0,0,900,14689,0,0,190,Crystal Palace,Arsenal,West Brom,Leicester,Watford,0,3.4,5.4,3.5,6.1,4.6,5.2,3.7,4.8,4.2,5.3,4.5,4.1,5.1,4.2,3.7,5.4,5.2,5.3,4.7,5.1,5.1,4.6,3.3,4.9,4.3,4.9,4,17.5
