FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Yoan,Gouffran,MID,NEW,5000000,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,1,0,0,0,Man Utd,Bournemouth,Liverpool,Southampton,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0
Max,Gradel,MID,BOU,5000000,0,0,0,0,0,0,4022,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,2,0,0,0,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,Grant,GLK,STK,4200000,0,5,0.192307692307692,4.57875457875458E-08,1.19047619047619E-06,0,26839,0,7,0,8,0,0,0,1.2,150,-3,0,5,3,0,0,0,0,0,0,0,0,0.3,9230,0,0,0,0,270,198,0,0,44,Brighton,Leicester,Southampton,Man City,Everton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,6.3
Andre,Gray,FWD,WAT,6300000,1,65,2.6,4.12698412698413E-07,1.03174603174603E-05,0,281046,1,25,0,0,0,4,0,10.3,3480,-2,0,65,2,0.4,0,2.3,3,0,5,0,3,1.6,247789,0,0,0,0,1245,750,0,0,191,West Ham,Everton,West Brom,Arsenal,Liverpool,2.1,2.7,2.7,1.6,1.8,2.5,2.2,2.1,2.6,1.8,2.5,1.7,89.7
Demarai,Gray,MID,LEI,5300000,1,57,2.3,4.33962264150943E-07,1.07547169811321E-05,0,131922,2,21,0,0,0,3,0,10.8,1626,-2,0,57,2,0.2,0,1.3,2,0,3,0,1,0.8,129003,0,0,0,0,1182,204,0,0,215,Man City,Stoke,Bournemouth,West Brom,Arsenal,1.2,2,2.1,1.5,2.2,1.2,2,1.4,1.8,1.3,2.2,1.2,78.9
Robert,Green,GLK,HUD,4000000,0,0,0,0,0,0,5068,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0.2,12331,0,0,0,0,0,151,0,0,0,Bournemouth,West Brom,Tottenham,Swansea,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal,Gro?,MID,BHA,5800000,13,120,4.6,7.93103448275862E-07,2.06896551724138E-05,0,1345558,1,30,0,0,0,5,0,20.7,9145,3,0,120,-3,0.8,0,4.8,20,0,8,0,6,15.7,2076574,0,0,0,2,1981,63180,0,0,443,Stoke,Swansea,Arsenal,Everton,Man City,4,5.8,6.1,4.8,2.8,5.7,6.5,3.9,5,4.2,4.8,3.1,167.1
Marko,Grujic,MID,LIV,4200000,0,3,1,2.38095238095238E-07,7.14285714285714E-07,0,49471,0,0,0,0,0,0,0,0.7,429,-3,0,3,3,0,0,0,0,0,0,0,0,0.5,51888,0,0,0,0,14,26,0,0,9,Southampton,West Ham,Newcastle,Man Utd,Watford,0,0,0,0,0,0,0,0,0,0,0,0,1.9
Johann Berg,Gudmundsson,MID,BUR,5000000,10,80,3.2,6.4E-07,1.6E-05,0,42627,2,20,0,0,0,2,0,16,1783,0,0,80,0,0.8,0,4,4,0,8,0,5,1,93968,0,0,0,0,1950,16469,0,0,317,Swansea,Southampton,Everton,West Ham,Chelsea,2.8,2.9,3.9,2.7,2.7,2.7,2.6,3.1,2.5,3.2,2.1,3.2,138.5
Idrissa,Gueye,MID,EVE,4800000,2,50,2.2,4.58333333333333E-07,1.04166666666667E-05,0,62853,4,37,0,0,0,1,0,10.4,262,-2,0,50,2,0.3,0,1.5,2,0,5,0,0,0.8,30134,0,0,0,0,1939,177,0,1,353,Crystal Palace,Watford,Burnley,Brighton,Stoke,1.9,1.2,1.2,1.9,1.2,1.2,1.4,1.4,1.9,1.3,1.7,1.3,63.4
